,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,25.0,148.168,148.247,60.0,0.0,R,2.0,127.13786000001244,171.5350444480006
1,25.0,148.247,148.33,60.0,-0.25,0.0,0.0,133.57521999999744,171.2011063980006
2,25.0,148.33,148.36,60.0,0.0,0.0,0.0,48.28020000000183,171.2011063980006
3,25.0,148.36,148.76,60.0,0.16,0.0,0.0,643.7359999999634,172.23108399800054
4,25.0,148.76,149.01,60.0,0.22,0.0,0.0,402.335,173.11622099800053
5,25.0,149.01,149.15,60.0,0.14,0.0,0.0,225.30760000002377,173.43165163800057
6,25.0,149.15,149.49,60.0,0.25,0.0,0.0,547.1756000000055,174.79959063800058
7,25.0,149.49,150.28,60.0,0.14,0.0,0.0,1271.378599999987,176.57952067800056
8,25.0,150.28,150.58,60.0,-0.13,0.0,0.0,482.8020000000183,175.95187807800053
9,25.0,150.58,150.79,60.0,-0.19,0.0,0.0,337.96139999996706,175.3097514180006
10,25.0,150.79,150.87,60.0,-0.09,0.0,0.0,128.74720000002011,175.19387893800058
11,25.0,150.87,150.94,60.0,0.0,0.0,0.0,112.65379999998902,175.19387893800058
12,25.0,150.94,151.02,60.0,0.09,0.0,0.0,128.74720000002011,175.3097514180006
13,25.0,151.02,151.17,60.0,0.2,0.0,0.0,241.4009999999634,175.79255341800052
14,25.0,151.17,151.42,60.0,0.25,0.0,0.0,402.335,176.79839091800054
15,25.0,151.42,151.45,60.0,0.25,0.0,0.0,48.28020000000183,176.91909141800053
16,25.0,151.45,151.89,60.0,0.33,0.0,0.0,708.1095999999962,179.25585309800053
17,25.0,151.89,151.97,60.0,0.19,0.0,0.0,128.74720000002011,179.50047277800056
18,25.0,151.97,152.06,60.0,0.04,0.0,0.0,144.84060000000548,179.55840901800056
19,25.0,152.06,152.1,60.0,0.04,0.0,0.0,64.37359999998719,179.58415845800056
20,25.0,152.1,152.4,60.0,0.11,0.0,0.0,482.8020000000183,180.11524065800057
21,25.0,152.4,152.44,60.0,0.19,0.0,0.0,64.37359999998719,180.23755049800056
22,25.0,152.44,152.59,60.0,0.24,0.0,0.0,241.4010000000092,180.81691289800057
23,25.0,152.59,152.63,60.0,0.2,0.0,0.0,64.37359999998719,180.94566009800053
24,25.0,152.63,152.67,60.0,0.1,0.0,0.0,64.37359999998719,181.0100336980005
25,25.0,152.67,153.16,60.0,0.0,0.0,0.0,788.5766000000147,181.0100336980005
26,25.0,153.16,153.23,60.0,0.09,0.0,0.0,112.65379999998902,181.1114221180005
27,25.0,153.23,153.38,60.0,0.2,0.0,0.0,241.4010000000092,181.5942241180005
28,25.0,153.38,153.48,60.0,0.31,0.0,0.0,160.93399999999085,182.0931195180005
29,25.0,153.48,153.76,60.0,0.43,0.0,0.0,450.6152000000018,184.0307648780005
30,25.0,153.76,153.781,60.0,0.22,R,0.5,33.79614000002415,184.10511638600056
31,25.0,153.781,153.84,60.0,0.22,0.0,0.0,94.95105999999598,184.31400871800057
32,25.0,153.84,154.03,60.0,0.0,0.0,0.0,305.7745999999963,184.31400871800057
33,25.0,154.03,154.18,60.0,0.2,0.0,0.0,241.4010000000092,184.7968107180006
34,25.0,154.18,154.35,60.0,0.4,0.0,0.0,273.58779999997984,185.8911619180005
35,25.0,154.35,154.5,60.0,0.37,0.0,0.0,241.4010000000092,186.7843456180005
36,25.0,154.5,154.6,60.0,0.43,0.0,0.0,160.93399999999085,187.4763618180005
37,25.0,154.6,154.63,60.0,0.29,0.0,0.0,48.28020000000183,187.6163743980005
38,25.0,154.63,154.77,60.0,0.21,0.0,0.0,225.30760000002377,188.08952035800056
39,25.0,154.77,154.88,60.0,-0.03,0.0,0.0,177.0273999999762,188.03641213800057
40,25.0,154.88,154.92,60.0,-0.24,0.0,0.0,64.37359999998719,187.8819154980006
41,25.0,154.92,154.99,60.0,-0.37,0.0,0.0,112.65380000003476,187.46509643800047
42,25.0,154.99,155.05,60.0,-0.47,0.0,0.0,96.56040000000364,187.01126255800045
43,25.0,155.05,155.22,60.0,-0.24,0.0,0.0,273.58779999997984,186.3546518380005
44,25.0,155.22,155.28,60.0,0.0,0.0,0.0,96.56040000000364,186.3546518380005
45,25.0,155.28,155.64,60.0,0.1,0.0,0.0,579.3623999999762,186.9340142380005
46,25.0,155.64,155.79,60.0,0.82,0.0,0.0,241.4010000000092,188.91350243800056
47,25.0,155.79,155.83,60.0,0.15,R,1.05,64.37360000003292,189.0100628380006
48,25.0,155.83,156.067,60.0,0.05,R,1.05,381.4135799999916,189.2007696280006
49,25.0,156.067,156.13,60.0,0.05,0.0,0.0,101.38841999998095,189.2514638380006
50,25.0,156.13,156.25,60.0,0.23,0.0,0.0,193.1208000000073,189.6956416780006
51,25.0,156.25,156.41,60.0,0.4,0.0,0.0,257.49439999999447,190.7256192780005
52,25.0,156.41,156.48,60.0,0.14,0.0,0.0,112.65379999998902,190.88333459800057
53,25.0,156.48,156.59,60.0,-0.12,0.0,0.0,177.02740000002194,190.6709017180005
54,25.0,156.59,156.97,60.0,0.0,0.0,0.0,611.5491999999927,190.6709017180005
55,25.0,156.97,157.08,60.0,-0.05,0.0,0.0,177.02740000002194,190.58238801800053
56,25.0,157.08,157.59,60.0,0.0,0.0,0.0,820.7633999999853,190.58238801800053
57,25.0,157.59,157.63,60.0,0.05,0.0,0.0,64.37359999998719,190.61457481800053
58,25.0,157.63,157.97,60.0,0.1,0.0,0.0,547.1756000000055,191.1617504180005
59,25.0,157.97,158.01,60.0,0.14,0.0,0.0,64.37359999998719,191.2518734580005
60,25.0,158.01,158.31,60.0,0.21,0.0,0.0,482.8020000000183,192.26575765800047
61,25.0,158.31,158.36,60.0,0.06,0.0,0.0,80.46700000001829,192.3140378580005
62,25.0,158.36,158.42,60.0,0.0,0.0,0.0,96.56039999995792,192.3140378580005
63,25.0,158.42,158.46,60.0,-0.09,0.0,0.0,64.37360000003292,192.2561016180005
64,25.0,158.46,158.59,60.0,-0.14,0.0,0.0,209.21419999999267,191.9632017380005
65,25.0,158.59,158.85,60.0,0.15,0.0,0.0,418.4283999999853,192.5908443380005
66,25.0,158.85,158.89,60.0,0.49,0.0,0.0,64.37359999998719,192.90627497800045
67,25.0,158.89,159.04,60.0,0.07,0.0,0.0,241.4010000000092,193.07525567800047
68,25.0,159.04,159.16,60.0,-0.31,0.0,0.0,193.1208000000073,192.47658119800045
69,25.0,159.16,159.35,60.0,-0.13,0.0,0.0,305.7745999999963,192.07907421800044
70,25.0,159.35,159.52,60.0,0.07,0.0,0.0,273.5878000000256,192.2705856780005
71,25.0,159.52,159.67,60.0,-0.21,0.0,0.0,241.4009999999634,191.7636435780005
72,25.0,159.67,159.98,60.0,-0.46,0.0,0.0,498.8954000000036,189.46872473800053
73,25.0,159.98,160.05,60.0,-0.44,0.0,0.0,112.65380000003476,188.9730480180004
74,25.0,160.05,160.43,60.0,0.13,0.0,0.0,611.5491999999927,189.7680619780004
75,25.0,160.43,160.6,60.0,0.72,0.0,0.0,273.58779999997984,191.73789413800023
76,25.0,160.6,160.79,60.0,0.75,0.0,0.0,305.7745999999963,194.0312036380002
77,25.0,160.79,160.9,60.0,0.38,0.0,0.0,177.02740000002194,194.70390775800027
78,25.0,160.9,161.23,60.0,0.0,0.0,0.0,531.0821999999744,194.70390775800027
79,25.0,161.23,161.34,60.0,0.16,0.0,0.0,177.02740000002194,194.9871515980003
80,25.0,161.34,161.47,60.0,0.31,0.0,0.0,209.21419999999267,195.6357156180003
81,25.0,161.47,161.55,60.0,0.14,0.0,0.0,128.74720000002011,195.8159616980003
82,25.0,161.55,161.85,60.0,0.0,0.0,0.0,482.8019999999725,195.8159616980003
83,25.0,161.85,162.17,60.0,-0.07,0.0,0.0,514.9887999999889,195.4554695380004
84,25.0,162.17,162.48,60.0,0.02,0.0,0.0,498.8954000000036,195.55524861800032
85,25.0,162.48,162.59,60.0,-0.33,0.0,0.0,177.02740000002194,194.97105819800024
86,25.0,162.59,162.78,60.0,-0.36,0.0,0.0,305.7745999999963,193.87026963800025
87,25.0,162.78,163.25,60.0,-0.03,0.0,0.0,756.3897999999981,193.64335269800023
88,25.0,163.25,163.4,60.0,0.22,0.0,0.0,241.4010000000092,194.17443489800027
89,25.0,163.4,163.46,60.0,0.5,0.0,0.0,96.56040000000364,194.6572368980003
90,25.0,163.46,163.61,60.0,0.1,0.0,0.0,241.4010000000092,194.8986378980003
91,25.0,163.61,163.75,60.0,-0.37,0.0,0.0,225.30759999997804,194.0649997780004
92,25.0,163.75,163.9,60.0,-0.07,0.0,0.0,241.4010000000092,193.8960190780004
93,25.0,163.9,164.12,60.0,-0.2,0.0,0.0,354.0547999999981,193.1879094780004
94,25.0,164.12,164.31,60.0,-0.28,0.0,0.0,305.7745999999963,192.33174059800035
95,25.0,164.31,164.54,60.0,-0.18,0.0,0.0,370.1481999999835,191.6654738380004
96,25.0,164.54,164.62,60.0,-0.09,0.0,0.0,128.74720000002011,191.5496013580004
97,25.0,164.62,164.98,60.0,0.02,0.0,0.0,579.3623999999762,191.6654738380004
98,25.0,164.98,165.17,60.0,-0.01,0.0,0.0,305.7745999999963,191.6348963780004
99,25.0,165.17,165.32,60.0,0.21,0.0,0.0,241.4010000000092,192.14183847800044
100,25.0,165.32,165.52,60.0,0.4,0.0,0.0,321.86800000002745,193.42931047800056
101,25.0,165.52,165.66,60.0,0.07,0.0,0.0,225.30759999997804,193.58702579800047
102,25.0,165.66,165.77,49.0,-0.28,0.0,0.0,177.02740000002194,193.0913490780005
103,25.0,165.77,165.88,49.0,-0.13,0.0,0.0,177.0273999999762,192.8612134580005
104,25.0,165.88,165.94,49.0,0.0,0.0,0.0,96.56040000000364,192.8612134580005
105,25.0,165.94,165.98,49.0,0.04,0.0,0.0,64.37359999998719,192.8869628980005
106,25.0,165.98,166.07,49.0,0.09,0.0,0.0,144.84060000000548,193.01731943800053
107,25.0,166.07,166.17,49.0,-0.02,0.0,0.0,160.93399999999085,192.9851326380005
108,25.0,166.17,166.25,49.0,-0.14,0.0,0.0,128.74720000002011,192.8048865580005
109,25.0,166.25,166.4,49.0,-0.31,0.0,0.0,241.4010000000092,192.05654345800048
110,25.0,166.4,166.59,49.0,-0.05,0.0,0.0,305.7745999999963,191.90365615800047
111,25.0,166.59,166.98,49.0,0.21,0.0,0.0,627.642599999978,193.2217056180004
112,25.0,166.98,167.04,49.0,0.03,0.0,0.0,96.56040000000364,193.2506737380004
113,25.0,167.04,167.12,49.0,-0.12,0.0,0.0,128.74720000002011,193.0961770980004
114,25.0,167.12,167.27,49.0,0.05,0.0,0.0,241.4010000000092,193.2168775980004
115,25.0,167.27,167.34,49.0,0.22,0.0,0.0,112.65379999998902,193.4647159580004
