,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,56.0,146.23,146.2,30.0,-0.82,R,3.0,48.28020000000183,7.067416610000111
1,56.0,146.2,145.376,30.0,-0.7,0.0,0.0,1326.096159999974,6.671518970000095
2,56.0,145.376,145.36,30.0,-0.7,R,6.0,25.74943999998573,-2.6111541499997224
3,56.0,145.36,145.31,30.0,-0.56,R,6.0,80.46700000001829,-2.7914002299996223
4,56.0,145.31,145.09,30.0,-0.6,R,6.0,354.0547999999981,-3.2420154299997246
5,56.0,145.09,144.76,25.0,-0.0,0.0,0.0,531.0822000000201,-5.366344229999713
6,56.0,144.76,144.394,25.0,0.3,0.0,0.0,589.0184399999765,-5.366344229999713
7,56.0,144.394,144.33,25.0,0.3,L,4.16666,102.99775999998865,-3.599288909999784
8,56.0,144.33,144.29,25.0,-0.49,L,4.16666,64.37360000003292,-3.290295629999818
9,56.0,144.29,141.958,25.0,-0.0,L,4.16666,3752.9808799999896,-3.60572626999998
10,56.0,141.958,141.84,25.0,-0.0,R,1.2,189.90211999999195,-3.60572626999998
11,56.0,141.84,141.742,25.0,-0.0,R,3.7,157.71532000002122,-3.60572626999998
12,56.0,141.742,141.654,25.0,-0.0,L,0.9,141.62191999999013,-3.60572626999998
13,56.0,144.29,141.232,25.0,0.19,0.0,0.0,4921.361719999988,-3.60572626999998
14,56.0,141.232,141.21,25.0,0.19,R,5.68,35.40547999998609,5.744860997999997
15,56.0,141.21,140.97,25.0,-0.41,0.0,0.0,386.2416000000146,5.812131409999971
16,56.0,140.97,140.64,25.0,-0.63,0.0,0.0,531.0822000000201,4.228540849999911
17,56.0,140.64,140.55,25.0,-0.48,0.0,0.0,144.84059999995975,0.8827229899997847
18,56.0,140.55,140.19,25.0,-0.0,0.0,0.0,579.3624000000219,0.187488109999978
19,56.0,140.19,139.44,25.0,0.05,0.0,0.0,1207.005,0.187488109999978
20,56.0,139.44,139.18,25.0,0.2,0.0,0.0,418.4283999999853,0.790990609999978
21,56.0,139.18,138.92,25.0,-0.17,0.0,0.0,418.4284000000311,1.6278474099999487
22,56.0,138.92,138.642,25.0,-0.0,L,0.75,447.3965199999864,0.9165191299998958
23,56.0,138.642,138.178,25.0,-0.0,R,2.51666,746.7337599999978,0.9165191299998958
24,56.0,139.0,137.813,25.0,-0.0,0.0,0.0,1910.2865800000188,0.9165191299998958
25,56.0,137.813,137.79,25.0,-0.0,L,1.61666,37.014819999993776,0.9165191299998958
26,56.0,137.79,137.531,25.0,-0.0,L,1.61666,416.8190599999776,0.9165191299998958
27,56.0,137.79,137.275,35.0,0.15,0.0,0.0,828.810099999978,0.9165191299998958
28,56.0,137.275,137.06,35.0,0.15,L,3.0,346.00810000000547,2.1597342799998627
29,56.0,137.06,136.96,35.0,-0.0,L,3.0,160.93399999999085,2.6787464299998707
30,56.0,136.96,136.31,35.0,-0.19,0.0,0.0,1046.071000000009,2.6787464299998707
31,56.0,136.31,135.807,35.0,-0.0,0.0,0.0,809.498020000023,0.6912115299998536
32,56.0,136.03,135.406,35.0,0.15,0.0,0.0,1004.2281599999924,0.6912115299998536
33,56.0,135.406,135.3,35.0,0.15,L,2.58333,170.5900399999912,2.1975537699998418
