,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7000.0,3.88,3.97,30.0,0.0,L,2.93333,144.84060000000048,0.0
1,7000.0,3.97,4.221,30.0,0.0,L,3.0,403.9443399999998,0.0
2,7000.0,4.221,4.354,30.0,0.0,L,1.50555,214.04222,0.0
3,7000.0,4.354,6.24,30.0,-0.27,0.0,0.0,3035.21524,-8.195081148
4,7000.0,6.24,6.33,30.0,-0.19,0.0,0.0,144.84059999999977,-8.470278288
5,7000.0,6.33,6.43,30.0,-0.15,0.0,0.0,160.93399999999943,-8.711679288
6,7000.0,6.43,6.52,30.0,0.0,0.0,0.0,144.84059999999977,-8.711679288
7,7000.0,6.52,6.61,30.0,-0.06,0.0,0.0,144.8406000000012,-8.798583648
8,7000.0,6.61,6.71,30.0,-0.02,0.0,0.0,160.93399999999943,-8.830770447999999
9,7000.0,6.71,6.8,30.0,0.17,0.0,0.0,144.84059999999977,-8.584541428
10,7000.0,6.8,6.89,30.0,0.29,0.0,0.0,144.84059999999977,-8.164503688
11,7000.0,6.89,6.99,30.0,0.26,0.0,0.0,160.93400000000085,-7.746075287999997
12,7000.0,6.99,7.08,30.0,0.35,0.0,0.0,144.84059999999977,-7.2391331879999985
13,7000.0,7.08,7.18,30.0,0.15,0.0,0.0,160.93399999999943,-6.997732188
14,7000.0,7.18,7.28,30.0,0.01,0.0,0.0,160.93400000000085,-6.981638788
15,7000.0,7.28,7.49,30.0,0.43,0.0,0.0,337.9613999999999,-5.528404768
16,7000.0,7.49,7.54,55.0,0.0,0.0,0.0,80.46699999999971,-5.528404768
17,7000.0,7.54,8.08,55.0,-0.3,0.0,0.0,869.0436,-8.135535568
18,7000.0,8.08,8.35,55.0,0.0,0.0,0.0,434.5217999999993,-8.135535568
19,7000.0,8.35,8.5,55.0,0.05,0.0,0.0,241.4010000000005,-8.014835068
20,7000.0,8.5,8.88,55.0,-0.04,0.0,0.0,611.5492000000012,-8.259454748000001
21,7000.0,8.88,9.27,55.0,0.0,0.0,0.0,627.642599999998,-8.259454748000001
22,7000.0,9.189,9.27,55.0,0.0,R,1.66666,130.35653999999923,-8.259454748000001
23,7000.0,9.27,9.385,55.0,0.19,R,1.66666,185.0741000000004,-7.907813958000001
24,7000.0,9.385,9.83,55.0,0.19,0.0,0.0,716.1563000000004,-6.547116988000001
25,7000.0,9.83,9.978,55.0,0.0,R,5.4,238.1823199999995,-6.547116988000001
26,7000.0,9.978,10.07,55.0,0.0,0.0,0.0,148.05928000000085,-6.547116988000001
27,7000.0,10.07,10.17,55.0,0.13,L,3.2,160.93399999999943,-6.337902788000002
28,7000.0,10.17,10.326,55.0,-0.3,L,3.2,251.0570400000009,-7.091073908000005
29,7000.0,10.326,10.45,55.0,-0.3,0.0,0.0,199.55815999999805,-7.689748387999999
30,7000.0,10.45,10.76,55.0,0.3,0.0,0.0,498.8954000000008,-6.193062187999997
31,7000.0,10.76,10.88,55.0,-0.21,L,2.06666,193.1208000000016,-6.598615868
32,7000.0,10.88,10.977,55.0,-0.29,L,2.06666,156.10597999999925,-7.051323209999998
33,7000.0,10.977,11.04,55.0,-0.29,0.0,0.0,101.38841999999812,-7.345349627999992
34,7000.0,11.04,11.16,55.0,0.49,0.0,0.0,193.1208000000016,-6.399057707999984
35,7000.0,11.16,11.22,55.0,0.0,0.0,0.0,96.5604000000008,-6.399057707999984
36,7000.0,11.22,11.4,55.0,-0.2,0.0,0.0,289.68119999999954,-6.978420107999983
37,7000.0,11.4,11.92,55.0,0.0,0.0,0.0,836.8567999999992,-6.978420107999983
38,7000.0,11.92,12.25,55.0,0.27,L,2.01666,531.0822000000001,-5.544498167999983
39,7000.0,12.25,12.284,55.0,0.0,L,2.01666,54.71756000000112,-5.544498167999983
40,7000.0,12.284,12.48,55.0,0.0,0.0,0.0,315.4306399999995,-5.544498167999983
41,7000.0,12.48,12.62,55.0,-0.2,0.0,0.0,225.30759999999805,-5.995113367999979
42,7000.0,12.62,14.6,55.0,0.0,0.0,0.0,3186.4932000000003,-5.995113367999979
43,7000.0,14.6,15.07,55.0,-0.21,0.0,0.0,756.389800000001,-7.5835319479999805
44,7000.0,14.728,14.855,55.0,0.0,R,0.5,204.38618000000108,-7.5835319479999805
45,7000.0,14.855,15.36,55.0,0.0,0.0,0.0,812.7166999999984,-7.5835319479999805
46,7000.0,15.36,15.473,55.0,0.17,L,2.34721,181.8554200000021,-7.274377733999977
47,7000.0,15.473,15.49,55.0,0.17,0.0,0.0,27.35877999999913,-7.227867807999978
48,7000.0,15.49,16.15,55.0,0.0,0.0,0.0,1062.1643999999974,-7.227867807999978
49,7000.0,15.778,16.44,55.0,0.18,0.0,0.0,1065.3830800000012,-5.310178263999976
50,7000.0,16.44,16.8,55.0,0.02,0.0,0.0,579.3623999999991,-5.194305783999976
51,7000.0,16.8,17.29,55.0,-0.22,0.0,0.0,788.5765999999975,-6.929174303999971
52,7000.0,17.12,17.29,55.0,0.0,L,1.41666,273.587799999997,-6.929174303999971
53,7000.0,17.29,17.309,55.0,0.0,L,1.41666,30.577460000003065,-6.929174303999971
54,7000.0,17.309,17.38,55.0,0.0,0.0,0.0,114.2631399999967,-6.929174303999971
55,7000.0,17.38,17.57,55.0,0.09,0.0,0.0,305.77460000000207,-6.6539771639999685
56,7000.0,17.57,17.86,55.0,0.0,0.0,0.0,466.7085999999986,-6.6539771639999685
57,7000.0,17.86,17.873,55.0,0.15,R,0.94444,20.921420000002698,-6.622595033999964
58,7000.0,17.873,18.05,55.0,0.15,0.0,0.0,284.8531799999993,-6.195315263999965
59,7000.0,18.05,18.33,55.0,0.0,0.0,0.0,450.6151999999961,-6.195315263999965
60,7000.0,18.33,18.61,55.0,0.2,0.0,0.0,450.6152000000018,-5.294084863999961
61,7000.0,18.61,19.15,55.0,0.0,0.0,0.0,869.0435999999986,-5.294084863999961
62,7000.0,19.15,19.219,55.0,-0.2,R,1.5,111.0444600000042,-5.516173783999969
63,7000.0,19.219,19.31,55.0,-0.2,0.0,0.0,146.44993999999602,-5.809073663999961
64,7000.0,19.31,19.37,55.0,-0.2,0.0,0.0,96.56040000000364,-6.0021944639999685
65,7000.0,19.37,20.02,55.0,0.0,0.0,0.0,1046.0709999999976,-6.0021944639999685
66,7000.0,19.936,20.48,55.0,0.29,0.0,0.0,875.4809600000008,-3.4632996799999667
67,7000.0,20.48,20.61,55.0,0.0,0.0,0.0,209.2141999999984,-3.4632996799999667
68,7000.0,20.61,20.81,55.0,-0.23,0.0,0.0,321.86799999999886,-4.203596079999964
69,7000.0,20.81,21.16,55.0,-0.29,0.0,0.0,563.2690000000023,-5.83707617999997
70,7000.0,21.16,21.34,55.0,-0.2,R,0.5,289.68119999999954,-6.416438579999969
71,7000.0,21.34,21.69,55.0,0.0,R,0.5,563.2690000000023,-6.416438579999969
72,7000.0,21.69,21.81,55.0,-0.46,R,0.5,193.12079999999588,-7.30479425999995
73,7000.0,21.81,21.93,55.0,0.0,R,0.5,193.1208000000016,-7.30479425999995
74,7000.0,21.93,22.007,55.0,0.3,R,0.5,123.91918000000278,-6.933036719999942
75,7000.0,22.007,22.29,55.0,0.3,0.0,0.0,455.4432199999962,-5.566707059999953
76,7000.0,22.29,22.37,55.0,0.0,0.0,0.0,128.74720000000298,-5.566707059999953
77,7000.0,22.37,22.42,55.0,-0.29,0.0,0.0,80.46700000000114,-5.800061359999956
78,7000.0,22.42,22.61,55.0,-0.15,0.0,0.0,305.7745999999963,-6.25872325999995
