,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7000.0,444.13,444.034,70.0,-0.02,0.0,0.0,154.49664000000584,65.44294205639999
1,7000.0,444.034,443.87,70.0,-0.02,L,2.95,263.9317599999795,65.41204272839998
2,7000.0,443.87,443.845,70.0,-0.13,0.0,0.0,40.233499999963406,65.35925637639998
3,7000.0,443.845,443.75,70.0,-0.13,R,5.55,152.8873000000439,65.30695282640004
4,7000.0,443.75,443.55,70.0,-0.24,0.0,0.0,321.8679999999817,65.10819933639998
5,7000.0,443.55,443.543,70.0,-0.0,0.0,0.0,11.265380000008047,64.33571613640002
6,7000.0,443.543,443.39,70.0,-0.0,R,1.00833,246.2290200000322,64.33571613640002
7,7000.0,443.39,442.92,70.0,-0.26,0.0,0.0,756.3897999999524,64.33571613640002
8,7000.0,442.92,442.72,70.0,0.03,0.0,0.0,321.8679999999817,62.36910265640015
9,7000.0,442.72,442.67,70.0,0.03,L,2.16666,80.46700000001829,62.46566305640015
10,7000.0,442.67,442.48,70.0,0.2,L,2.16666,305.7745999999963,62.48980315640015
11,7000.0,442.48,442.14,70.0,0.29,0.0,0.0,547.1756000000512,63.10135235640014
12,7000.0,442.14,441.987,70.0,0.02,0.0,0.0,246.2290199999407,64.68816159640029
13,7000.0,441.987,441.8,70.0,0.02,L,0.67499,300.946580000019,64.73740740040029
14,7000.0,441.8,441.55,70.0,0.05,L,0.67499,402.335,64.79759671640029
15,7000.0,441.55,441.47,70.0,-0.08,0.0,0.0,128.74719999997438,64.99876421640029
16,7000.0,441.47,441.097,70.0,0.25,0.0,0.0,600.283820000076,64.89576645640031
17,7000.0,441.097,441.0,70.0,0.25,R,1.1,156.1059799999678,66.3964760064005
18,7000.0,441.0,440.85,70.0,-0.07,0.0,0.0,241.4009999999634,66.78674095640042
19,7000.0,440.85,440.66,70.0,-0.22,0.0,0.0,305.7745999999963,66.61776025640044
20,7000.0,440.66,440.47,70.0,-0.0,0.0,0.0,305.7745999999963,65.94505613640045
21,7000.0,440.47,440.364,70.0,-0.29,0.0,0.0,170.5900400000827,65.94505613640045
22,7000.0,440.364,440.33,70.0,-0.29,R,1.71666,54.717559999986825,65.4503450204002
23,7000.0,440.33,439.84,70.0,-0.34,R,1.71666,788.5766000000147,65.29166409640024
24,7000.0,439.84,439.69,70.0,-0.29,0.0,0.0,241.4009999999634,62.61050365640019
25,7000.0,439.69,439.48,70.0,-0.1,0.0,0.0,337.96139999996706,61.9104407564003
26,7000.0,439.48,439.37,70.0,-0.4,0.0,0.0,177.02740000002194,61.57247935640033
27,7000.0,439.37,439.28,70.0,-0.0,0.0,0.0,144.8406000000512,60.86436975640024
28,7000.0,439.28,439.16,70.0,0.52,0.0,0.0,193.12079999991585,60.86436975640024
29,7000.0,439.16,439.05,70.0,-0.0,0.0,0.0,177.02740000002194,61.86859791639981
30,7000.0,439.05,438.889,70.0,-0.45,0.0,0.0,259.1037400000022,61.86859791639981
31,7000.0,438.91,438.52,70.0,-0.0,0.0,0.0,627.6426000000695,60.7026310863998
32,7000.0,438.52,438.346,70.0,-0.0,R,0.95833,280.02515999996484,60.7026310863998
33,7000.0,438.346,438.112,70.0,-0.0,L,3.21666,376.5855599999685,60.7026310863998
34,7000.0,438.63,437.798,70.0,0.21,0.0,0.0,1338.9708799999896,60.7026310863998
35,7000.0,437.8,437.63,70.0,0.08,0.0,0.0,273.5878000000256,63.51446993439978
36,7000.0,437.63,437.57,70.0,0.08,R,5.88333,96.56040000000364,63.7333401743998
37,7000.0,437.57,437.51,70.0,-0.3,R,5.88333,96.56040000000364,63.8105884943998
38,7000.0,437.51,437.38,70.0,-0.31,0.0,0.0,209.21419999999267,63.52090729439979
39,7000.0,437.38,437.352,70.0,-0.19,0.0,0.0,45.0615200000322,62.87234327439981
40,7000.0,437.352,437.18,70.0,-0.19,R,0.51666,276.8064799999495,62.78672638639975
41,7000.0,437.18,436.94,70.0,-0.0,0.0,0.0,386.2416000000146,62.26079407439985
42,7000.0,436.94,436.938,70.0,-0.37,0.0,0.0,3.2186800000153686,62.26079407439985
43,7000.0,436.938,436.72,70.0,-0.37,R,1.57499,350.83611999993707,62.24888495839979
44,7000.0,436.72,436.43,70.0,-0.23,0.0,0.0,466.7086000000329,60.95079131440002
45,7000.0,436.43,436.34,70.0,-0.32,0.0,0.0,144.8406000000512,59.877361534399945
46,7000.0,436.34,436.092,70.0,-0.12,0.0,0.0,399.1163199999846,59.41387161439978
47,7000.0,436.15,435.096,70.0,-0.01,0.0,0.0,1696.2443599999574,58.9349320303998
48,7000.0,435.43,434.67,70.0,-0.03,0.0,0.0,1223.0983999999853,58.76530759439981
49,7000.0,434.67,434.58,70.0,0.39,0.0,0.0,144.8406000000512,58.398378074399815
50,7000.0,434.58,434.01,70.0,-0.0,0.0,0.0,917.323799999989,58.963256414400014
51,7000.0,434.01,433.73,70.0,0.2,0.0,0.0,450.6151999999561,58.963256414400014
52,7000.0,433.73,433.44,70.0,-0.0,0.0,0.0,466.7086000000329,59.864486814399925
53,7000.0,433.44,433.1,70.0,-0.4,0.0,0.0,547.1755999999597,59.864486814399925
54,7000.0,433.1,432.689,70.0,-0.26,0.0,0.0,661.4387400000022,57.67578441440008
55,7000.0,433.02,431.62,70.0,-0.0013,0.0,0.0,2253.075999999963,55.95604369040008
56,7000.0,431.62,431.248,70.0,-0.02,0.0,0.0,598.6744800000226,55.92675370240008
57,7000.0,431.248,431.18,70.0,-0.02,R,1.49444,109.43511999997364,55.80701880640007
58,7000.0,431.18,430.75,70.0,-0.02,R,1.49444,692.0162000000109,55.78513178240008
59,7000.0,430.75,430.575,70.0,-0.0,R,1.49444,281.6345000000183,55.64672854240008
60,7000.0,430.75,430.001,70.0,-0.02,0.0,0.0,1205.395660000038,55.64672854240008
61,7000.0,430.001,429.67,70.0,-0.02,L,1.48333,532.6915399999363,55.40564941040007
62,7000.0,429.67,429.57,70.0,0.59,0.0,0.0,160.93400000003658,55.29911110240008
63,7000.0,429.57,429.552,70.0,-0.0,0.0,0.0,28.96811999995536,56.24862170240029
64,7000.0,429.552,429.54,70.0,-0.0,R,1.75,19.31208000000073,56.24862170240029
65,7000.0,429.54,429.5,70.0,0.37,R,1.75,64.37360000003292,56.24862170240029
66,7000.0,429.5,429.49,70.0,-0.0,R,1.75,16.093399999985362,56.48680402240041
67,7000.0,429.49,429.3,70.0,-0.06,R,1.75,305.7745999999963,56.48680402240041
68,7000.0,429.3,428.75,70.0,0.33,R,1.75,885.1370000000182,56.303339262400414
69,7000.0,428.75,428.497,70.0,0.59,0.0,0.0,407.1630199999773,59.22429136240047
70,7000.0,428.497,428.47,70.0,0.59,L,1.0,43.452179999978775,61.626553180400336
71,7000.0,428.47,428.38,70.0,0.45,L,1.0,144.8406000000512,61.88292104240021
72,7000.0,428.38,428.207,70.0,0.5,0.0,0.0,278.4158200000029,62.534703742400445
73,7000.0,428.207,428.18,70.0,0.5,R,1.03333,43.452179999978775,63.92678284240046
74,7000.0,428.18,428.04,70.0,0.44,R,1.03333,225.30759999997804,64.14404374240036
75,7000.0,428.04,427.682,70.0,0.49,0.0,0.0,576.1437200000065,65.13539718240025
76,7000.0,427.682,427.65,70.0,0.49,L,1.58333,51.49888000006293,67.95850141040029
77,7000.0,427.65,427.47,70.0,0.43,L,1.58333,289.6811999999195,68.2108459224006
78,7000.0,427.47,427.255,70.0,0.5,0.0,0.0,346.00810000005123,69.45647508240025
79,7000.0,427.255,427.22,70.0,0.5,R,2.03333,56.326899999948765,71.1865155824005
80,7000.0,427.22,427.04,70.0,0.39,R,2.03333,289.68120000001096,71.46815008240024
81,7000.0,427.04,426.738,70.0,0.29,0.0,0.0,486.0206800000336,72.59790676240029
82,7000.0,426.738,426.67,70.0,0.29,L,3.06666,109.43511999997364,74.00736673440038
83,7000.0,426.67,426.47,70.0,-0.0,L,3.06666,321.8679999999817,74.3247285824003
84,7000.0,426.47,426.31,70.0,-0.08,0.0,0.0,257.49440000004023,74.3247285824003
85,7000.0,426.31,426.28,70.0,-0.08,L,6.0,48.28020000004757,74.11873306240027
86,7000.0,426.28,425.95,70.0,-0.28,L,6.0,531.0821999999744,74.08010890240023
87,7000.0,425.95,425.66,70.0,-0.0,0.0,0.0,466.70859999994144,72.5930787424003
88,7000.0,425.66,425.61,70.0,-0.03,0.0,0.0,80.46700000001829,72.5930787424003
89,7000.0,425.61,425.19,70.0,-0.54,0.0,0.0,675.9228000000256,72.56893864240028
90,7000.0,425.19,425.17,70.0,-0.54,R,6.00833,32.186799999970724,68.91895552240014
91,7000.0,425.17,424.94,70.0,-0.35,0.0,0.0,370.1482000000293,68.7451468024003
92,7000.0,424.94,423.59,70.0,-0.49,0.0,0.0,2172.6090000000363,67.4496281024002
93,7000.0,423.59,423.35,70.0,-0.0,0.0,0.0,386.2415999999232,56.80384400240002
94,7000.0,423.35,423.25,70.0,0.1,0.0,0.0,160.93400000003658,56.80384400240002
95,7000.0,423.25,423.04,70.0,-0.0,0.0,0.0,337.96139999996706,56.96477800240006
96,7000.0,423.04,422.78,70.0,-0.52,0.0,0.0,418.4284000000768,56.96477800240006
97,7000.0,422.78,421.89,70.0,-0.0,0.0,0.0,1432.312599999978,54.78895032239966
98,7000.0,421.89,421.7,70.0,-0.16,0.0,0.0,305.7745999999963,54.78895032239966
99,7000.0,421.7,421.55,70.0,-0.0,0.0,0.0,241.4009999999634,54.29971096239967
100,7000.0,421.55,421.46,70.0,-0.19,0.0,0.0,144.8406000000512,54.29971096239967
101,7000.0,421.46,421.28,70.0,-0.0,0.0,0.0,289.68120000001096,54.02451382239957
102,7000.0,421.28,421.09,70.0,-0.0,0.0,0.0,305.7745999999963,54.02451382239957
103,7000.0,421.09,421.06,70.0,2.05,0.0,0.0,48.28019999995609,54.02451382239957
104,7000.0,421.06,420.91,70.0,-0.49,0.0,0.0,241.4009999999634,55.01425792239867
105,7000.0,420.91,420.7,70.0,-0.0,0.0,0.0,337.9614000000585,53.83139302239885
106,7000.0,420.7,420.51,70.0,0.19,0.0,0.0,305.7745999999963,53.83139302239885
107,7000.0,420.51,420.33,70.0,-0.59,0.0,0.0,289.68120000001096,54.412364762398845
108,7000.0,420.33,420.01,70.0,-0.0,0.0,0.0,514.9887999999889,52.70324568239878
109,7000.0,420.01,419.137,70.0,0.43,0.0,0.0,1404.9538199999845,52.70324568239878
110,7000.0,419.137,419.1,70.0,0.43,R,3.0625,59.54557999996414,58.74454710839871
111,7000.0,419.1,419.02,70.0,1.19,R,3.0625,128.74720000006585,59.00059310239856
112,7000.0,419.02,418.667,70.0,-0.49,0.0,0.0,568.0970200000139,60.53268478239934
113,7000.0,418.667,418.62,70.0,-0.49,L,3.2,75.6389799999495,57.74900938439927
114,7000.0,418.62,418.47,70.0,-0.35,L,3.2,241.4009999999634,57.37837838239952
115,7000.0,418.47,418.18,70.0,-0.47,0.0,0.0,466.7086000000329,56.533474882399645
116,7000.0,418.18,417.78,70.0,0.52,0.0,0.0,643.7360000000549,54.33994446239949
117,7000.0,417.78,417.761,70.0,-0.53,0.0,0.0,30.5774599999173,57.68737166239978
118,7000.0,417.761,417.59,70.0,-0.53,L,1.09721,275.197140000079,57.52531112440021
119,7000.0,417.59,417.4,70.0,-0.37,L,1.09721,305.7745999999963,56.06676628239979
120,7000.0,417.4,417.34,70.0,-0.29,L,1.09721,96.56040000000364,54.9354002623998
121,7000.0,417.34,417.207,70.0,-0.4,0.0,0.0,214.04221999997,54.6553751023998
122,7000.0,417.207,417.17,70.0,-0.4,L,2.60833,59.54557999996414,53.79920622239992
123,7000.0,417.17,416.95,70.0,-0.3,L,2.60833,354.0548000000439,53.56102390240006
124,7000.0,416.95,416.853,70.0,-0.39,0.0,0.0,156.1059799999678,52.49885950239993
125,7000.0,416.853,416.82,70.0,-0.39,R,1.71666,53.10822000002488,51.890046180400056
126,7000.0,416.82,416.17,70.0,-0.0,0.0,0.0,1046.0709999999633,51.68292412239996
127,7000.0,416.17,415.89,70.0,-0.2,0.0,0.0,450.61520000004754,51.68292412239996
128,7000.0,415.89,415.752,70.0,-0.0,0.0,0.0,222.08891999996263,50.781693722399865
129,7000.0,415.752,415.68,70.0,-0.0,R,1.03333,115.8724800000044,50.781693722399865
130,7000.0,415.68,415.49,70.0,-0.3,0.0,0.0,305.7745999999963,50.781693722399865
131,7000.0,415.49,414.991,70.0,-0.19,0.0,0.0,803.0606600000381,49.864369922399874
132,7000.0,415.11,414.49,70.0,-0.0,0.0,0.0,997.7908000000072,48.3385546683998
133,7000.0,414.49,413.76,70.0,-0.09,0.0,0.0,1174.8182000000293,48.3385546683998
134,7000.0,413.76,413.27,70.0,-0.0,0.0,0.0,788.5766000000147,47.28121828839978
135,7000.0,413.27,413.06,70.0,0.009,0.0,0.0,337.96139999996706,47.28121828839978
136,7000.0,413.06,412.72,70.0,-0.0,0.0,0.0,547.1755999999597,47.311634814399774
137,7000.0,412.72,412.65,70.0,-0.12,0.0,0.0,112.6538000000805,47.311634814399774
138,7000.0,412.65,412.12,70.0,-0.0,0.0,0.0,852.950199999956,47.17645025439968
139,7000.0,412.12,412.06,70.0,0.16,0.0,0.0,96.56040000000364,47.17645025439968
140,7000.0,412.06,411.98,70.0,-0.0,0.0,0.0,128.74719999997438,47.33094689439968
141,7000.0,411.98,411.93,70.0,-0.16,0.0,0.0,80.46700000001829,47.33094689439968
142,7000.0,411.93,411.6,70.0,-0.0,0.0,0.0,531.0821999999744,47.20219969439965
143,7000.0,411.6,411.47,70.0,0.48,0.0,0.0,209.21419999999267,47.20219969439965
144,7000.0,411.47,411.38,70.0,-0.0,0.0,0.0,144.8406000000512,48.206427854399614
145,7000.0,411.38,410.271,70.0,-0.6,0.0,0.0,1784.7580599999685,48.206427854399614
146,7000.0,411.23,409.05,70.0,-0.0,0.0,0.0,3508.3612000000107,37.49787949439981
147,7000.0,409.05,408.37,70.0,-0.03,0.0,0.0,1094.351200000011,37.49787949439981
148,7000.0,408.37,407.61,70.0,0.02,0.0,0.0,1223.0983999999853,37.1695741343998
149,7000.0,407.61,407.02,70.0,-0.0,0.0,0.0,949.5106000000512,37.4141938143998
150,7000.0,407.02,406.77,70.0,-0.02,0.0,0.0,402.335,37.4141938143998
151,7000.0,406.77,406.74,70.0,0.49,0.0,0.0,48.28019999995609,37.3337268143998
152,7000.0,406.74,406.63,70.0,-0.0,0.0,0.0,177.02740000002194,37.57029979439959
