,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7400.0,263.569,263.63,55.0,0.0,L,0.5,98.1697399999656,-111.22084366400068
1,7400.0,263.63,263.64,55.0,0.3,L,0.5,16.093399999985362,-111.17256346400072
2,7400.0,263.64,263.82,55.0,0.3,0.0,0.0,289.68120000001096,-110.30351986400068
3,7400.0,263.82,264.0,55.0,-0.39,0.0,0.0,289.68120000001096,-111.43327654400072
4,7400.0,264.0,264.2,55.0,0.0,0.0,0.0,321.8679999999817,-111.43327654400072
5,7400.0,264.2,264.214,55.0,-0.09,R,4.23,22.53076000001609,-111.45355422800075
6,7400.0,264.214,264.28,55.0,-0.09,0.0,0.0,106.21643999995828,-111.54914902400073
7,7400.0,264.28,264.5,55.0,0.0,0.0,0.0,354.0548000000439,-111.54914902400073
8,7400.0,264.468,264.62,55.0,-0.2,0.0,0.0,244.6196799999788,-112.03838838400068
9,7400.0,264.62,264.634,55.0,0.32,L,3.1,22.53076000001609,-111.96628995200062
10,7400.0,264.634,264.88,55.0,0.32,0.0,0.0,395.8976399999692,-110.69941750400072
11,7400.0,264.88,264.884,55.0,0.87,R,3.1,6.437360000030737,-110.64341247200043
12,7400.0,264.884,265.01,55.0,0.87,0.0,0.0,202.776839999962,-108.87925396400078
13,7400.0,265.01,265.32,55.0,0.59,0.0,0.0,498.8954000000036,-105.93577110400076
14,7400.0,265.32,265.49,55.0,0.5,R,2.13333,273.5878000000256,-104.56783210400064
15,7400.0,265.49,265.528,55.0,0.59,R,2.13333,61.15492000001756,-104.20701807600052
16,7400.0,265.528,266.08,55.0,0.59,0.0,0.0,888.3556799999421,-98.96571956400086
17,7400.0,266.08,266.2,55.0,0.49,L,2.26666,193.1208000000073,-98.01942764400084
18,7400.0,266.2,266.234,55.0,0.59,L,2.26666,54.717559999986825,-97.6965940400009
19,7400.0,266.234,267.54,55.0,0.59,0.0,0.0,2101.798040000064,-85.29598560400052
20,7400.0,267.54,267.62,55.0,0.07,L,0.33333,128.74719999997438,-85.20586256400054
21,7400.0,267.62,267.639,55.0,0.0,L,0.33333,30.57746000000878,-85.20586256400054
22,7400.0,267.639,267.87,55.0,0.0,0.0,0.0,371.7575399999912,-85.20586256400054
23,7400.0,267.87,268.06,55.0,-0.3,0.0,0.0,305.7745999999963,-86.12318636400053
24,7400.0,268.06,268.22,55.0,-0.59,0.0,0.0,257.49440000004023,-87.64240332400077
25,7400.0,268.22,268.33,55.0,-0.43,0.0,0.0,177.02739999993045,-88.40362114400047
26,7400.0,268.33,268.78,55.0,-0.27,0.0,0.0,724.2029999999817,-90.35896924400042
27,7400.0,268.78,269.07,55.0,-0.54,0.0,0.0,466.7086000000329,-92.8791956840006
28,7400.0,269.07,269.1,55.0,-0.59,R,1.0,48.28020000004757,-93.16404886400088
29,7400.0,269.1,269.47,55.0,-0.59,0.0,0.0,595.4558000000073,-96.67723808400092
30,7400.0,269.47,269.54,55.0,-0.3,0.0,0.0,112.65379999998902,-97.01519948400087
31,7400.0,269.54,270.16,55.0,0.0,0.0,0.0,997.7908000000072,-97.01519948400087
32,7400.0,270.16,270.45,55.0,0.49,0.0,0.0,466.70859999994144,-94.72832734400116
33,7400.0,270.45,270.515,55.0,0.6,R,0.66666,104.60709999999634,-94.1006847440012
34,7400.0,270.515,270.55,55.0,0.6,0.0,0.0,56.32690000004025,-93.76272334400096
35,7400.0,270.55,271.01,55.0,0.73,0.0,0.0,740.296399999967,-88.3585596240012
36,7400.0,271.01,271.05,55.0,0.6,L,0.83333,64.37360000003292,-87.972318024001
37,7400.0,271.05,271.21,55.0,0.44,L,0.83333,257.4943999999488,-86.83934266400122
38,7400.0,271.21,271.241,55.0,0.0,L,0.83333,49.88954000000951,-86.83934266400122
39,7400.0,271.241,271.25,55.0,0.0,0.0,0.0,14.48406000002342,-86.83934266400122
40,7400.0,271.25,271.34,55.0,0.99,0.0,0.0,144.84059999995975,-85.40542072400162
41,7400.0,271.34,271.49,55.0,0.0,0.0,0.0,241.4010000000549,-85.40542072400162
42,7400.0,271.49,271.75,55.0,0.58,0.0,0.0,418.4283999999853,-82.9785360040017
43,7400.0,271.75,271.78,55.0,0.15,0.0,0.0,48.28019999995609,-82.90611570400176
44,7400.0,271.78,271.97,55.0,0.0,0.0,0.0,305.7746000000878,-82.90611570400176
45,7400.0,271.97,272.123,55.0,-0.27,L,0.83333,246.2290199999407,-83.5709340580016
