,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,15.0,103.83,103.81,50.0,-0.69,R,2.16,32.1867999999936,77.85954733200069
1,15.0,103.81,103.79,50.0,-0.68,R,2.16,32.1867999999936,77.63745841200073
2,15.0,103.79,103.75,50.0,-0.0,R,2.16,64.37360000001006,77.41858817200077
3,15.0,103.75,103.73,50.0,0.51,R,2.16,32.1867999999936,77.41858817200077
4,15.0,103.73,103.63,50.0,0.69,R,2.16,160.93400000001373,77.58274085200074
5,15.0,103.63,103.52,50.0,-0.0,0.0,0.0,177.02739999999906,78.69318545200083
6,15.0,103.52,103.44,50.0,-0.1,0.0,0.0,128.74719999999724,78.69318545200083
7,15.0,103.44,103.41,50.0,-0.12,0.0,0.0,48.28020000000183,78.56443825200084
8,15.0,103.41,103.38,50.0,-1.07,0.0,0.0,48.28020000000183,78.50650201200084
9,15.0,103.38,103.28,50.0,-1.1,0.0,0.0,160.93399999999085,77.98990387200082
10,15.0,103.28,103.15,50.0,-1.14,0.0,0.0,209.21419999999267,76.21962987200092
11,15.0,103.15,103.07,50.0,-0.56,0.0,0.0,128.74720000002011,73.834587992001
12,15.0,103.07,102.96,50.0,-0.0,0.0,0.0,177.02739999999906,73.11360367200089
13,15.0,102.96,102.87,50.0,-0.05,0.0,0.0,144.8405999999826,73.11360367200089
14,15.0,102.87,102.74,50.0,-0.08,0.0,0.0,209.21420000001555,73.0411833720009
15,15.0,102.74,102.7,50.0,0.35,0.0,0.0,64.37359999998719,72.87381201200088
16,15.0,102.7,102.38,50.0,0.9,0.0,0.0,514.9888000000119,73.09911961200083
17,15.0,102.38,102.2,50.0,0.54,0.0,0.0,289.6811999999881,77.73401881200094
18,15.0,102.2,101.941,50.0,0.92,0.0,0.0,416.81906000000055,79.29829729200088
19,15.0,101.941,101.92,50.0,0.92,L,1.01666,33.79614000000128,83.13303264400089
20,15.0,101.92,101.73,50.0,1.14,L,1.01666,305.7745999999963,83.4439571320009
21,15.0,101.73,101.65,50.0,0.92,0.0,0.0,128.74719999999724,86.92978757200086
22,15.0,101.65,101.61,50.0,0.75,0.0,0.0,64.37360000001006,88.11426181200083
23,15.0,101.61,101.2,50.0,1.06,0.0,0.0,659.8293999999945,88.59706381200091
24,15.0,101.2,100.91,50.0,0.53,0.0,0.0,466.7086000000101,95.59125545200084
25,15.0,100.91,100.74,50.0,0.55,0.0,0.0,273.58780000000274,98.0648110320009
26,15.0,100.74,100.54,50.0,0.9,0.0,0.0,321.8679999999817,99.56954393200093
27,15.0,100.54,100.51,50.0,0.87,0.0,0.0,48.28020000000183,102.46635593200077
28,15.0,100.51,100.48,50.0,-0.98,0.0,0.0,48.28020000000183,102.88639367200078
29,15.0,100.48,100.299,50.0,-1.0,0.0,0.0,291.29053999999576,102.41324771200075
30,15.0,100.299,100.04,50.0,-1.0,L,0.55,416.81906000000055,99.5003423120008
31,15.0,100.04,99.99,50.0,-0.49,0.0,0.0,80.46700000001829,95.3321517120008
32,15.0,99.99,99.93,50.0,-0.4,0.0,0.0,96.5603999999808,94.93786341200072
33,15.0,99.93,99.91,50.0,-0.79,0.0,0.0,32.18680000001646,94.5516218120008
34,15.0,99.91,99.78,50.0,-0.34,0.0,0.0,209.21419999999267,94.29734609200068
35,15.0,99.78,99.7,50.0,-0.0,0.0,0.0,128.74719999999724,93.58601781200068
36,15.0,99.7,99.63,50.0,-0.95,0.0,0.0,112.65380000001188,93.58601781200068
37,15.0,99.63,99.47,50.0,-0.46,0.0,0.0,257.49439999999447,92.51580671200058
