,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,1.0,204.92,204.84,60.0,0.19,L,7.82444,128.74719999997438,-35.875745241400345
1,1.0,204.84,204.416,60.0,-0.0,0.0,0.0,682.3601600000105,-35.631125561400395
2,1.0,204.416,204.4,60.0,-0.0,L,3.31,25.74943999998573,-35.631125561400395
3,1.0,204.4,204.2,60.0,-0.42,L,3.31,321.86800000002745,-35.631125561400395
4,1.0,204.2,203.974,60.0,-0.33,0.0,0.0,363.71083999999854,-36.98297116140051
5,1.0,203.974,203.95,60.0,-0.33,R,1.38333,38.62416000000146,-38.18321693340051
6,1.0,203.95,203.7,60.0,-0.13,R,1.38333,402.335,-38.310676661400514
7,1.0,203.7,203.423,60.0,-0.0,R,1.38333,445.7871799999788,-38.83371216140051
8,1.0,203.423,200.711,60.0,-0.0,R,2.08333,4364.530079999982,-38.83371216140051
9,1.0,203.7,197.64,60.0,0.0031,0.0,0.0,9752.600400000005,-38.83371216140051
10,1.0,197.64,197.44,60.0,0.41,0.0,0.0,321.8679999999817,-38.531381549000514
11,1.0,197.44,196.95,60.0,0.63,0.0,0.0,788.5766000000147,-37.211722749000586
12,1.0,196.95,196.65,60.0,0.11,0.0,0.0,482.8019999999725,-32.243690169000494
13,1.0,196.65,196.404,60.0,-0.24,0.0,0.0,395.897640000015,-31.712607969000526
14,1.0,196.404,196.39,60.0,-0.24,R,1.55,22.53076000001609,-32.66276230500056
15,1.0,196.39,196.13,60.0,-0.85,R,1.55,418.4283999999853,-32.7168361290006
16,1.0,196.13,195.724,60.0,0.2,0.0,0.0,653.3920400000095,-36.27347752900047
17,1.0,195.78,195.289,60.0,0.35,0.0,0.0,790.1859400000222,-34.96669344900045
18,1.0,195.289,194.89,60.0,0.35,R,1.55,642.1266600000014,-32.20104265900037
19,1.0,194.89,193.678,60.0,0.4,0.0,0.0,1950.5200799999825,-29.953599349000367
20,1.0,193.678,193.64,60.0,0.4,R,0.61666,61.15492000001756,-22.15151902900044
21,1.0,193.64,193.53,60.0,0.34,R,0.61666,177.0273999999762,-21.90689934900037
22,1.0,193.53,193.04,60.0,0.4,0.0,0.0,788.5766000000147,-21.305006189000448
23,1.0,193.04,192.637,60.0,0.18,0.0,0.0,648.5640199999864,-18.150699789000388
24,1.0,192.637,192.6,60.0,0.18,R,1.06666,59.54558000000988,-16.983284553000413
25,1.0,192.6,192.39,60.0,0.35,R,1.06666,337.9614000000128,-16.876102509000393
26,1.0,192.39,192.077,60.0,0.4,0.0,0.0,503.7234199999809,-15.693237609000349
27,1.0,192.077,192.03,60.0,0.4,L,1.03333,75.63897999999524,-13.678343929000423
28,1.0,192.03,191.71,60.0,0.36,L,1.03333,514.9887999999889,-13.375788009000445
29,1.0,191.71,191.31,60.0,0.41,0.0,0.0,643.7360000000091,-11.521828329000485
30,1.0,191.31,191.2,60.0,0.36,0.0,0.0,177.02740000002194,-8.882510729000446
31,1.0,191.2,191.056,60.0,0.3,0.0,0.0,231.74495999996304,-8.245212089000367
32,1.0,191.056,190.8,60.0,0.3,R,1.6,411.99104000000034,-7.549977209000477
33,1.0,190.8,190.497,60.0,-0.0,0.0,0.0,487.6300199999956,-6.314004089000477
34,1.0,190.497,190.39,60.0,-0.0,L,1.53333,172.19938000004464,-6.314004089000477
35,1.0,190.39,190.16,60.0,0.31,L,1.53333,370.1481999999835,-6.314004089000477
36,1.0,190.16,189.7,60.0,-0.0,0.0,0.0,740.2964000000128,-5.166544669000528
37,1.0,189.7,189.443,60.0,0.38,0.0,0.0,413.6003799999623,-5.166544669000528
38,1.0,189.443,189.4,60.0,0.38,R,1.01666,69.20162000001024,-3.594863225000672
39,1.0,189.4,188.96,60.0,0.36,R,1.01666,708.1095999999962,-3.3318970690006324
40,1.0,188.96,188.57,60.0,0.4,0.0,0.0,627.6426000000238,-0.7827025090006461
41,1.0,188.57,188.47,60.0,0.53,0.0,0.0,160.93399999999085,1.7278678909994492
42,1.0,188.47,188.424,60.0,0.22,0.0,0.0,74.02963999998755,2.5808180909994007
43,1.0,188.424,188.4,60.0,0.22,L,1.05,38.62416000000146,2.7436832989993736
44,1.0,188.4,188.24,60.0,0.34,L,1.05,257.49439999999447,2.828656450999377
45,1.0,188.24,188.061,60.0,0.4,0.0,0.0,288.07186000000326,3.704137410999358
46,1.0,188.061,188.02,60.0,0.4,L,1.6,65.98293999999487,4.856424850999371
47,1.0,188.02,187.79,60.0,0.36,L,1.6,370.1482000000293,5.120356610999351
48,1.0,187.79,187.57,60.0,0.4,0.0,0.0,354.0547999999981,6.452890130999456
49,1.0,187.57,187.52,60.0,0.4,L,1.6,80.46699999997256,7.869109330999448
50,1.0,187.52,187.3,60.0,0.35,L,1.6,354.0547999999981,8.190977330999338
51,1.0,187.3,187.12,60.0,0.4,0.0,0.0,289.68120000001096,9.430169130999332
52,1.0,187.12,187.07,60.0,0.4,R,1.56666,80.46700000001829,10.588893930999376
53,1.0,187.07,186.79,60.0,0.36,R,1.56666,450.6152000000018,10.910761930999447
54,1.0,186.79,186.304,60.0,0.39,0.0,0.0,782.1392399999838,12.532976650999457
55,1.0,186.304,186.25,60.0,0.39,L,1.01666,86.9043600000033,15.583319686999392
56,1.0,186.25,185.91,60.0,0.37,0.0,0.0,547.1756000000055,15.922246690999405
57,1.0,185.91,184.87,60.0,0.52,0.0,0.0,1673.713599999987,17.946796410999426
58,1.0,184.87,184.81,60.0,-0.0,0.0,0.0,96.56040000000364,26.65010713099936
59,1.0,184.81,184.05,60.0,0.38,0.0,0.0,1223.0983999999853,26.65010713099936
60,1.0,184.05,183.7,60.0,-0.0,0.0,0.0,563.2690000000366,31.297881050999305
61,1.0,183.7,183.01,60.0,0.09,0.0,0.0,1110.4445999999962,31.297881050999305
62,1.0,183.01,182.37,60.0,0.33,0.0,0.0,1029.977599999978,32.2972811909993
63,1.0,182.37,182.18,60.0,-0.22,0.0,0.0,305.7745999999963,35.696207270999224
64,1.0,182.18,181.12,60.0,-0.0,0.0,0.0,1705.9004000000036,35.02350315099923
65,1.0,181.12,180.66,60.0,-0.09,0.0,0.0,740.2964000000128,35.02350315099923
66,1.0,180.66,180.441,60.0,-0.0,0.0,0.0,352.4454599999905,34.35723639099922
67,1.0,180.47,180.352,60.0,0.27,0.0,0.0,189.90211999999195,34.35723639099922
68,1.0,180.352,180.34,60.0,0.27,R,1.0,19.31208000000073,34.8699721149992
69,1.0,180.34,180.26,60.0,0.1,0.0,0.0,128.74720000002011,34.922114730999205
70,1.0,180.26,179.9,60.0,-0.43,0.0,0.0,579.3623999999762,35.050861930999226
