,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,1.0,392.84,392.36,60.0,-0.35,0.0,0.0,772.4831999999377,197.09137974139668
1,1.0,392.36,392.06,60.0,-0.2,0.0,0.0,482.8020000000183,194.3876885413969
2,1.0,392.06,391.741,60.0,-0.65,0.0,0.0,513.379460000027,193.42208454139688
3,1.0,391.741,391.72,60.0,-0.65,R,1.05,33.79613999993267,190.08511805139668
4,1.0,391.72,391.64,60.0,-0.8,R,1.05,128.74720000006585,189.86544314139712
5,1.0,391.64,391.57,60.0,-0.79,R,1.05,112.65379999998902,188.8354655413966
6,1.0,391.57,391.47,60.0,-0.33,R,1.05,160.93399999994512,187.94550052139667
7,1.0,391.47,391.32,60.0,-0.4,0.0,0.0,241.4010000000549,187.41441832139685
8,1.0,391.32,391.25,60.0,-0.39,0.0,0.0,112.65379999998902,186.44881432139664
9,1.0,391.25,391.21,60.0,-0.0,0.0,0.0,64.37360000003292,186.00946450139668
10,1.0,391.21,391.13,60.0,0.01,0.0,0.0,128.74719999997438,186.00946450139668
11,1.0,391.13,390.9,60.0,0.01,R,1.0,370.1482000000293,186.02233922139663
12,1.0,390.9,390.36,60.0,0.32,0.0,0.0,869.0435999999414,186.05935404139663
13,1.0,390.36,389.31,60.0,-0.59,0.0,0.0,1689.8070000000182,188.8402935613965
14,1.0,389.31,389.254,60.0,-0.55,0.0,0.0,90.12303999997292,178.87043226139636
15,1.0,389.254,388.93,60.0,-0.55,L,1.0,521.4261600000198,178.3747555413965
16,1.0,388.93,388.55,60.0,-0.32,L,1.0,611.5491999999927,175.50691166139637
17,1.0,388.55,387.934,60.0,0.33,0.0,0.0,991.3534399999766,173.5499542213964
18,1.0,387.98,387.44,60.0,-0.55,0.0,0.0,869.0436000000329,176.82142057339632
19,1.0,387.44,387.21,60.0,-0.84,0.0,0.0,370.1482000000293,172.04168077339614
20,1.0,387.21,386.93,60.0,-0.53,0.0,0.0,450.6151999999561,168.9324358933959
21,1.0,386.93,386.74,60.0,-0.42,0.0,0.0,305.7745999999963,166.54417533339614
22,1.0,386.74,386.38,60.0,-0.37,0.0,0.0,579.3624000000219,165.25992201339616
23,1.0,386.38,386.11,60.0,0.05,0.0,0.0,434.5217999999707,163.1162811333961
24,1.0,386.11,386.0,60.0,-0.26,0.0,0.0,177.02740000002194,163.33354203339607
25,1.0,386.0,385.944,60.0,-0.4,0.0,0.0,90.12303999997292,162.87327079339602
26,1.0,385.944,385.91,60.0,-0.4,L,1.05,54.717559999986825,162.51277863339612
27,1.0,385.91,385.6,60.0,-0.68,0.0,0.0,498.8954000000036,162.29390839339618
28,1.0,385.6,385.36,60.0,-0.56,0.0,0.0,386.2416000000146,158.90141967339616
29,1.0,385.36,385.19,60.0,-0.84,0.0,0.0,273.5878000000256,156.7384667133961
30,1.0,385.19,385.06,60.0,-0.51,0.0,0.0,209.21419999999267,154.44032919339588
31,1.0,385.06,385.049,60.0,0.25,0.0,0.0,17.702740000038787,153.37333677339592
32,1.0,385.049,384.94,60.0,0.25,R,1.0,175.41805999996853,153.41759362339602
33,1.0,384.94,384.87,60.0,0.02,R,1.0,112.65379999998902,153.85613877339594
34,1.0,384.87,384.24,60.0,0.61,0.0,0.0,1013.8841999999926,153.87866953339594
35,1.0,384.24,383.89,60.0,0.66,0.0,0.0,563.2690000000366,160.0633631533959
36,1.0,383.89,383.61,60.0,-0.59,0.0,0.0,450.6151999999561,163.78093855339614
37,1.0,383.61,383.538,60.0,-0.64,0.0,0.0,115.8724800000044,161.1223088733964
38,1.0,383.538,383.38,60.0,-0.64,L,1.01666,254.27572000002488,160.38072500139637
39,1.0,383.38,383.27,60.0,-0.77,L,1.01666,177.02740000002194,158.7533603933962
40,1.0,383.27,383.06,60.0,-0.57,0.0,0.0,337.96139999996706,157.39024941339605
41,1.0,383.06,382.85,60.0,-0.65,0.0,0.0,337.96139999996706,155.46386943339624
42,1.0,382.85,382.8,60.0,-0.74,0.0,0.0,80.46700000001829,153.26712033339646
43,1.0,382.8,382.64,60.0,-0.58,0.0,0.0,257.49440000004023,152.67166453339632
44,1.0,382.64,382.55,60.0,-0.58,R,1.01666,144.84059999995975,151.1781970133961
45,1.0,382.55,382.22,60.0,-0.6,R,1.01666,531.0821999999744,150.33812153339633
46,1.0,382.22,382.15,60.0,-0.67,R,1.01666,112.6538000000805,147.15162833339647
47,1.0,382.15,382.05,60.0,-0.51,R,1.01666,160.93399999994512,146.39684787339593
48,1.0,382.05,381.326,60.0,-0.0083,0.0,0.0,1165.162159999983,145.5760844733962
49,1.0,381.326,381.15,60.0,-0.0083,L,1.0,283.2438400000717,145.4793760141162
50,1.0,381.15,380.99,60.0,0.09,L,1.0,257.4943999999488,145.4558667753962
