,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,15.0,109.313,108.997,10.0,-0.0,L,1.75,508.551440000004,166.21714135200062
1,15.0,108.997,108.951,10.0,-0.0,R,1.01,74.02964000001043,166.21714135200062
2,15.0,108.951,107.733,10.0,-0.0,L,1.08,1960.1761199999828,166.21714135200062
3,15.0,107.733,107.439,10.0,-0.0,L,0.5,473.1459600000179,166.21714135200062
4,15.0,107.439,107.276,10.0,-0.0,L,0.5,262.3224199999947,166.21714135200062
5,15.0,107.276,106.969,10.0,-0.0,R,0.5,494.0673800000034,166.21714135200062
6,15.0,106.969,106.898,10.0,-0.0,R,1.5,114.2631399999967,166.21714135200062
7,15.0,109.07,106.78,50.0,-2.27,0.0,0.0,3685.388599999987,166.21714135200062
8,15.0,106.78,106.77,50.0,-0.8,0.0,0.0,16.09340000000823,82.55882013200093
9,15.0,106.77,106.65,50.0,-0.87,0.0,0.0,193.12079999998443,82.43007293200087
10,15.0,106.65,106.63,50.0,-0.4,0.0,0.0,32.18680000001646,80.749921972001
11,15.0,106.63,106.6,50.0,-0.0,0.0,0.0,48.28020000000183,80.62117477200094
12,15.0,106.6,106.52,50.0,0.39,0.0,0.0,128.74719999999724,80.62117477200094
13,15.0,106.52,106.37,50.0,0.99,0.0,0.0,241.40099999998623,81.12328885200093
14,15.0,106.37,106.24,50.0,-0.0,0.0,0.0,209.21420000001555,83.51315875200079
15,15.0,106.24,106.159,50.0,0.99,0.0,0.0,130.35653999998206,83.51315875200079
16,15.0,106.159,106.12,50.0,0.99,R,0.83333,62.76426000000237,84.80368849800061
17,15.0,106.12,106.03,50.0,0.89,R,0.83333,144.84060000000548,85.42505467200064
18,15.0,106.03,105.91,50.0,1.23,0.0,0.0,193.1208000000073,86.7141360120007
19,15.0,105.91,105.71,50.0,1.64,0.0,0.0,321.86800000000454,89.08952185200079
20,15.0,105.71,105.52,50.0,1.19,0.0,0.0,305.7745999999963,94.36815705200084
21,15.0,105.52,105.48,50.0,0.9,0.0,0.0,64.37359999998719,98.0068747920008
22,15.0,105.48,105.46,50.0,0.89,0.0,0.0,32.18680000001646,98.5862371920007
23,15.0,105.46,105.44,50.0,-0.9,0.0,0.0,32.1867999999936,98.87269971200084
24,15.0,105.44,105.4,50.0,-0.9,0.0,0.0,64.37359999998719,98.58301851200088
25,15.0,105.4,105.271,50.0,-1.3,0.0,0.0,207.60486000000785,98.003656112001
26,15.0,105.271,105.25,50.0,-1.3,R,0.58333,33.79614000000128,95.30479293200092
27,15.0,105.25,105.21,50.0,-0.99,R,0.58333,64.37360000001006,94.86544311200088
28,15.0,105.21,105.08,50.0,-0.0,R,0.58333,209.21419999999267,94.2281444720008
29,15.0,105.08,104.98,50.0,-0.11,0.0,0.0,160.93399999999085,94.2281444720008
30,15.0,104.98,104.95,50.0,-0.14,0.0,0.0,48.28020000000183,94.0511170720008
31,15.0,104.95,104.91,50.0,-1.11,0.0,0.0,64.37360000001006,93.9835247920008
32,15.0,104.91,104.87,50.0,-1.13,0.0,0.0,64.37359999998719,93.2689778320007
33,15.0,104.87,104.589,50.0,-1.51,0.0,0.0,452.2245400000095,92.54155615200084
34,15.0,104.589,104.46,50.0,-1.51,L,1.9,207.60486000000785,85.71296559800071
35,15.0,104.46,104.44,50.0,-1.48,L,1.9,32.1867999999936,82.57813221200058
36,15.0,104.44,104.42,50.0,-0.4,L,1.9,32.1867999999936,82.10176757200068
37,15.0,104.42,104.32,50.0,-0.0,L,1.9,160.93400000001373,81.9730203720007
38,15.0,104.32,104.247,50.0,-0.0,L,1.9,117.4818199999892,81.9730203720007
39,15.0,104.32,104.18,50.0,-0.14,0.0,0.0,225.30759999997804,81.9730203720007
40,15.0,104.18,104.17,50.0,-0.14,L,2.91,16.09340000000823,81.65758973200073
41,15.0,104.17,104.054,50.0,-0.0,L,2.91,186.68343999999945,81.63505897200072
