,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,3.0,206.85,206.79,60.0,-0.06,R,0.5,96.56040000000364,-7.703717459198993
1,3.0,206.79,206.74,60.0,0.1,R,0.5,80.46699999997256,-7.761653699198995
2,3.0,206.74,206.7,60.0,0.29,R,0.5,64.37360000003292,-7.681186699199022
3,3.0,206.7,206.66,60.0,0.15,R,0.5,64.37359999998719,-7.494503259198926
4,3.0,206.66,206.58,60.0,0.39,0.0,0.0,128.74719999997438,-7.397942859198945
5,3.0,206.58,206.55,60.0,0.3,0.0,0.0,48.28020000000183,-6.895828779199046
6,3.0,206.55,206.53,60.0,0.2,0.0,0.0,32.18680000001646,-6.75098817919904
7,3.0,206.53,206.49,60.0,-0.0,0.0,0.0,64.37359999998719,-6.686614579199008
8,3.0,206.49,206.45,60.0,-0.09,0.0,0.0,64.37360000003292,-6.686614579199008
9,3.0,206.45,206.41,60.0,-0.19,0.0,0.0,64.37359999998719,-6.744550819199037
10,3.0,206.41,206.32,60.0,-0.15,0.0,0.0,144.84060000000548,-6.866860659199013
11,3.0,206.32,206.19,60.0,-0.0,0.0,0.0,209.21419999999267,-7.084121559199021
12,3.0,206.19,206.13,60.0,0.16,0.0,0.0,96.56040000000364,-7.084121559199021
13,3.0,206.13,206.05,60.0,0.35,0.0,0.0,128.74719999997438,-6.929624919199015
14,3.0,206.05,206.045,60.0,0.2,0.0,0.0,8.046700000038422,-6.479009719199105
15,3.0,206.045,206.04,60.0,0.2,L,0.26666,8.046699999992681,-6.462916319199028
16,3.0,206.04,205.98,60.0,-0.0,L,0.26666,96.56040000000364,-6.446822919199042
17,3.0,205.98,205.94,60.0,-0.14,L,0.26666,64.37359999998719,-6.446822919199042
18,3.0,205.94,205.79,60.0,-0.39,0.0,0.0,241.4010000000092,-6.536945959199024
19,3.0,205.79,205.71,60.0,-0.17,0.0,0.0,128.74719999997438,-7.47840985919906
20,3.0,205.71,205.672,60.0,0.16,0.0,0.0,61.15492000001756,-7.697280099199017
21,3.0,205.672,205.66,60.0,0.16,R,0.66666,19.31208000000073,-7.599432227198989
22,3.0,205.66,205.58,60.0,-0.0,R,0.66666,128.74719999997438,-7.5685328991989875
23,3.0,205.58,205.47,60.0,-0.09,R,0.66666,177.02740000002194,-7.5685328991989875
24,3.0,205.47,205.41,60.0,-0.0,0.0,0.0,96.56040000000364,-7.727857559199007
25,3.0,205.41,205.3,60.0,0.09,0.0,0.0,177.0273999999762,-7.727857559199007
26,3.0,205.3,205.274,60.0,-0.0,0.0,0.0,41.84284000001683,-7.568532899199028
