,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,11.0,257.948,256.709,60.0,-0.0,R,1.0,1993.972259999961,384.0883030800008
1,11.0,256.709,256.18,60.0,-0.0,R,0.75,851.3408599999941,384.0883030800008
2,11.0,256.18,253.406,60.0,-0.0,L,1.0,4464.309160000002,384.0883030800008
3,11.0,253.406,252.185,60.0,-0.0,R,1.0,1965.0041400000057,384.0883030800008
4,11.0,252.185,251.473,60.0,-0.0,R,1.0,1145.8500799999824,384.0883030800008
5,11.0,251.473,250.687,60.0,-0.0,L,0.93333,1264.9412400000022,384.0883030800008
6,11.0,250.687,250.118,60.0,-0.0,R,1.0,915.7144600000272,384.0883030800008
7,11.0,250.118,248.961,60.0,-0.0,L,1.0,1862.006379999972,384.0883030800008
8,11.0,248.961,246.406,60.0,-0.0,R,0.33333,4111.863700000011,384.0883030800008
9,11.0,246.406,245.133,60.0,-0.0,R,1.0,2048.6898199999937,384.0883030800008
10,11.0,245.133,244.558,60.0,-0.0,L,1.03333,925.3705000000274,384.0883030800008
11,11.0,244.558,243.758,60.0,-0.0,L,2.05,1287.4719999999725,384.0883030800008
12,11.0,243.758,241.893,60.0,-0.0,R,2.03333,3001.4191000000146,384.0883030800008
13,11.0,241.893,240.815,60.0,-0.0,R,1.0,1734.8685200000048,384.0883030800008
14,11.0,240.815,237.302,60.0,-0.0,L,2.01666,5653.611420000008,384.0883030800008
15,11.0,237.302,235.748,60.0,-0.0,R,0.01,2500.914360000003,384.0883030800008
16,11.0,235.748,232.245,60.0,-0.0,L,1.03333,5637.518019999977,384.0883030800008
17,11.0,232.245,228.755,60.0,-0.0,R,1.0,5616.596600000014,384.0883030800008
18,11.0,228.755,227.86,60.0,-0.0,L,0.5,1440.3592999999707,384.0883030800008
19,11.0,227.86,225.245,60.0,-0.0,L,0.5,4208.424100000015,384.0883030800008
20,11.0,225.245,223.422,60.0,-0.0,R,0.5,2933.826820000012,384.0883030800008
21,11.0,223.422,222.72,60.0,-0.0,R,1.03333,1129.756679999997,384.0883030800008
22,11.0,222.72,221.696,60.0,-0.0,L,1.0,1647.9641600000014,384.0883030800008
23,11.0,221.696,220.948,60.0,-0.0,R,0.83333,1203.7863199999845,384.0883030800008
24,11.0,220.948,219.078,60.0,-0.0,L,0.5,3009.465800000007,384.0883030800008
25,11.0,219.078,217.264,60.0,-0.0,R,0.25,2919.3427599999886,384.0883030800008
26,11.0,217.264,216.151,60.0,-0.0,L,1.01666,1791.195419999999,384.0883030800008
27,11.0,216.151,213.837,60.0,-0.0,R,1.0,3724.012760000034,384.0883030800008
28,11.0,213.837,212.078,60.0,-0.0,R,1.0,2830.8290599999777,384.0883030800008
29,11.0,212.078,208.75,60.0,-0.0,R,1.03333,5355.883520000005,384.0883030800008
30,11.0,208.75,206.923,60.0,-0.0,R,0.66,2940.264179999997,384.0883030800008
31,11.0,206.923,204.364,60.0,-0.0,R,0.48833,4118.301059999996,384.0883030800008
32,11.0,204.364,202.736,60.0,-0.0,L,1.0,2620.005520000023,384.0883030800008
33,11.0,202.736,197.83,60.0,-0.0,R,1.23,7895.422039999963,384.0883030800008
34,11.0,197.83,194.335,60.0,-0.0,L,1.0,5624.643300000007,384.0883030800008
35,11.0,194.335,192.835,60.0,-0.0,L,1.0,2414.01,384.0883030800008
36,11.0,192.835,192.605,60.0,-0.0,R,0.33333,370.1482000000293,384.0883030800008
37,11.0,192.605,191.692,60.0,-0.0,L,0.33333,1469.3274199999717,384.0883030800008
38,11.0,191.692,191.529,60.0,-0.0,L,0.5,262.3224200000176,384.0883030800008
39,11.0,191.529,189.539,60.0,-0.0,R,0.5,3202.586600000014,384.0883030800008
40,11.0,188.919,188.86,60.0,-0.36,R,0.33333,94.95105999999598,-48.00596846399918
41,11.0,188.86,188.744,60.0,-0.0,R,0.33333,186.6834400000223,-48.34779227999917
42,11.0,188.86,187.82,60.0,0.08,0.0,0.0,1673.7136000000328,-48.34779227999917
43,11.0,187.82,187.34,60.0,0.33,0.0,0.0,772.4831999999835,-47.00882139999914
44,11.0,187.34,186.87,60.0,-0.0,0.0,0.0,756.3897999999981,-44.4596268399992
