,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,5.0,95.19,95.33,35.0,0.53,0.0,0.0,225.3076000000009,203.3762064961992
1,5.0,95.32,95.4,35.0,0.55,0.0,0.0,128.74720000002011,204.08431609619933
2,5.0,95.4,95.48,35.0,0.53,0.0,0.0,128.74719999999724,204.7666762561993
3,5.0,95.48,95.56,35.0,0.64,L,3.0,128.74719999999724,205.59065833619928
4,5.0,95.56,95.86,35.0,0.64,0.0,0.0,482.8019999999954,208.68059113619924
5,5.0,95.86,96.51,35.0,0.61,R,1.33333,1046.071000000009,215.0616242361993
6,5.0,96.51,96.52,35.0,0.29,R,1.33333,16.093399999985362,215.10829509619924
7,5.0,96.52,97.39,35.0,0.29,0.0,0.0,1400.1258000000073,219.1686599161993
8,5.0,97.39,97.484,35.0,0.19,L,2.0,151.2779599999905,219.45608804019923
9,5.0,97.484,98.34,35.0,0.19,0.0,0.0,1377.595040000014,222.07351861619927
10,5.0,98.34,98.81,35.0,0.29,0.0,0.0,756.3897999999981,224.26704903619927
11,5.0,98.81,99.26,35.0,0.22,L,1.5,724.2030000000045,225.86029563619928
12,5.0,99.26,99.265,35.0,-0.14,L,1.5,8.046699999992681,225.84903025619928
13,5.0,99.265,99.45,35.0,-0.14,0.0,0.0,297.7279000000037,225.4322111961993
14,5.0,99.45,99.98,35.0,-0.04,0.0,0.0,852.9502000000018,225.0910311161993
15,5.0,99.98,100.005,35.0,0.0,R,2.0,40.23349999998628,225.0910311161993
16,5.0,100.005,100.14,35.0,0.0,0.0,0.0,217.26090000000823,225.0910311161993
17,5.0,100.14,100.89,35.0,0.2,0.0,0.0,1207.005,227.5050411161993
18,5.0,100.89,101.12,35.0,0.0,L,2.0,370.1482000000064,227.5050411161993
19,5.0,101.12,101.14,35.0,-0.1,L,2.0,32.1867999999936,227.4728543161993
20,5.0,101.14,101.163,35.0,-0.14,L,2.0,37.014819999993776,227.4210335681993
21,5.0,101.163,101.33,35.0,-0.14,0.0,0.0,268.75978000000254,227.0447698761993
22,5.0,101.33,101.71,35.0,-0.09,0.0,0.0,611.5491999999927,226.4943755961993
23,5.0,101.71,102.16,35.0,-0.05,0.0,0.0,724.2030000000045,226.1322740961993
24,5.0,102.16,102.198,35.0,-0.15,L,2.00333,61.15491999999469,226.0405417161993
25,5.0,102.198,102.43,35.0,-0.15,0.0,0.0,373.36688000002175,225.48049139619928
26,5.0,102.43,103.167,35.0,-0.02,R,2.45833,1186.0835799999916,225.24327468019925
27,5.0,103.167,103.18,35.0,-0.02,0.0,0.0,20.92142000000841,225.2390903961993
28,5.0,103.18,103.2,35.0,-0.1,0.0,0.0,32.1867999999936,225.20690359619925
29,5.0,103.2,104.23,35.0,0.0,0.0,0.0,1657.6202000000017,225.20690359619925
30,5.0,103.543,103.731,35.0,0.0,L,1.55,302.555919999981,225.20690359619925
31,5.0,103.731,104.23,35.0,0.0,L,1.08333,803.0606600000151,225.20690359619925
32,5.0,104.23,104.252,35.0,0.15,L,1.08333,35.40547999998609,225.26001181619924
