,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,35.0,0.45,0.61,60.0,0.0,0.0,0.0,257.4943999999999,0.0
1,35.0,0.55,1.58,60.0,0.46,0.0,0.0,1657.6202,7.625052920000001
2,35.0,1.58,1.78,60.0,0.5,0.0,0.0,321.86799999999994,9.23439292
3,35.0,1.78,1.795,60.0,0.61,R,2.18,24.14009999999984,9.38164753
4,35.0,1.795,2.17,60.0,0.61,0.0,0.0,603.5024999999999,13.06301278
5,35.0,2.17,2.352,60.0,0.61,R,2.75,292.8998799999999,14.849702048
6,35.0,2.352,3.7,60.0,0.61,0.0,0.0,2169.3903200000004,28.082983
7,35.0,3.7,3.783,60.0,0.6,R,3.25,133.57521999999958,28.88443432
8,35.0,3.783,4.61,60.0,0.6,0.0,0.0,1330.924180000001,36.869979400000005
9,35.0,4.61,4.62,60.0,0.58,0.0,0.0,16.093399999999654,36.96332112
10,35.0,4.62,5.06,60.0,0.6,0.0,0.0,708.1095999999992,41.21197872
11,35.0,5.06,5.2,60.0,0.6,L,2.5,225.3076000000009,42.56382432
12,35.0,5.2,5.8,60.0,0.6,0.0,0.0,965.6039999999994,48.35744832
13,35.0,5.75,9.82,60.0,0.59,0.0,0.0,6550.0138,87.00252974
14,35.0,6.689,7.112,60.0,0.0,L,3.18,680.7508200000001,87.00252974
15,35.0,7.112,7.713,60.0,0.0,L,2.5,967.21334,87.00252974
16,35.0,7.713,8.565,60.0,0.0,L,3.13,1371.157679999999,87.00252974
17,35.0,8.565,9.154,60.0,0.0,L,2.06,947.9012600000008,87.00252974
18,35.0,9.154,9.782,60.0,0.0,R,2.13,1010.66552,87.00252974
19,35.0,9.782,9.96,60.0,0.6,0.0,0.0,286.4625200000013,88.72130486
20,35.0,9.96,11.48,60.0,0.59,0.0,0.0,2446.1968,103.15386598
21,35.0,10.284,11.144,60.0,0.0,R,3.18,1384.032399999999,103.15386598
22,35.0,11.144,11.68,60.0,0.5,0.0,0.0,862.6062399999993,107.46689718
23,35.0,11.68,12.04,60.0,0.0,0.0,0.0,579.3623999999991,107.46689718
24,35.0,12.04,12.06,60.0,0.3,0.0,0.0,32.18680000000217,107.56345758
25,35.0,12.06,12.49,60.0,0.6,0.0,0.0,692.0161999999995,111.71555478
26,35.0,12.49,12.6,60.0,0.3,0.0,0.0,177.02739999999906,112.24663698
27,35.0,12.6,12.93,60.0,0.16,0.0,0.0,531.0822000000001,113.0963685
28,35.0,12.93,13.221,60.0,0.0,R,0.56,468.3179400000006,113.0963685
29,35.0,13.221,13.32,60.0,0.0,0.0,0.0,159.3246600000003,113.0963685
30,35.0,13.32,13.36,60.0,0.29,0.0,0.0,64.37359999999862,113.28305194
31,35.0,13.36,13.64,60.0,0.58,0.0,0.0,450.6152000000018,115.89662010000002
32,35.0,13.64,13.66,60.0,0.19,0.0,0.0,32.18679999999931,115.95777502
33,35.0,13.66,13.69,60.0,0.2,0.0,0.0,48.28019999999897,116.05433542000002
34,35.0,13.69,14.07,60.0,0.0,0.0,0.0,611.5492000000012,116.05433542000002
35,35.0,14.07,14.15,60.0,0.0,0.0,0.0,128.7472000000001,116.05433542000002
36,35.0,14.15,14.21,60.0,0.39,0.0,0.0,96.5604000000008,116.43092098000002
37,35.0,14.21,14.31,60.0,0.7,0.0,0.0,160.93399999999943,117.55745898000002
38,35.0,14.31,14.37,60.0,0.5,0.0,0.0,96.56039999999794,118.04026098
39,35.0,14.37,14.67,60.0,0.59,0.0,0.0,482.8020000000011,120.88879278000002
40,35.0,14.67,14.78,60.0,0.56,0.0,0.0,177.02739999999906,121.88014622
41,35.0,14.78,14.98,60.0,0.4,0.0,0.0,321.8680000000017,123.16761822000002
42,35.0,14.98,15.36,60.0,0.25,0.0,0.0,611.5491999999983,124.69649122
43,35.0,15.36,15.5,60.0,0.0,0.0,0.0,225.3076000000009,124.69649122
44,35.0,15.5,15.53,60.0,0.0,0.0,0.0,48.28019999999897,124.69649122
45,35.0,15.53,15.55,60.0,-0.13,0.0,0.0,32.18680000000217,124.65464838
46,35.0,15.55,15.94,60.0,0.6,0.0,0.0,627.642599999998,128.42050398
47,35.0,15.94,16.03,60.0,0.39,0.0,0.0,144.8406000000026,128.98538232
48,35.0,16.03,16.05,60.0,0.31,0.0,0.0,32.18679999999931,129.0851614
49,35.0,16.05,16.28,60.0,0.16,0.0,0.0,370.1482000000007,129.67739852
50,35.0,16.28,16.8,60.0,0.0,0.0,0.0,836.8567999999992,129.67739852
51,35.0,16.8,16.84,60.0,0.09,0.0,0.0,64.37359999999862,129.73533476
52,35.0,16.84,16.86,60.0,0.1,0.0,0.0,32.18679999999931,129.76752156
53,35.0,16.86,17.16,60.0,0.59,0.0,0.0,482.8020000000011,132.61605336000002
54,35.0,17.16,17.29,60.0,0.4,0.0,0.0,209.2141999999984,133.45291016000002
55,35.0,17.29,17.92,60.0,0.33,0.0,0.0,1013.884200000004,136.79872802000003
56,35.0,17.92,18.29,60.0,0.4,0.0,0.0,595.4557999999959,139.18055122
57,35.0,18.29,18.39,60.0,0.2,0.0,0.0,160.93400000000227,139.50241922
58,35.0,18.39,18.83,60.0,0.25,0.0,0.0,708.1095999999962,141.27269322
59,35.0,18.83,19.1,60.0,0.3,0.0,0.0,434.521800000005,142.57625862000003
60,35.0,19.1,19.23,60.0,0.39,0.0,0.0,209.2141999999984,143.39219400000002
61,35.0,19.23,19.25,60.0,0.2,0.0,0.0,32.18679999999931,143.45656760000003
62,35.0,19.25,19.71,60.0,0.0,0.0,0.0,740.2964000000013,143.45656760000003
63,35.0,19.71,19.77,60.0,0.19,0.0,0.0,96.56039999999794,143.64003236000002
64,35.0,19.77,19.78,60.0,0.3,0.0,0.0,16.093400000002514,143.68831256
65,35.0,19.78,19.8,60.0,0.4,0.0,0.0,32.18679999999931,143.81705976
66,35.0,19.8,20.47,60.0,0.6,0.0,0.0,1078.257799999997,150.28660656
67,35.0,20.47,20.64,60.0,0.51,0.0,0.0,273.58780000000274,151.68190434000002
68,35.0,20.64,20.85,60.0,0.2,0.0,0.0,337.96140000000133,152.35782714
69,35.0,20.85,21.21,60.0,0.5,0.0,0.0,579.3623999999991,155.25463914
70,35.0,21.21,21.4,60.0,0.35,0.0,0.0,305.7745999999963,156.32485024
71,35.0,21.4,21.74,60.0,0.2,0.0,0.0,547.1755999999997,157.41920144
72,35.0,21.74,21.75,60.0,0.4,0.0,0.0,16.093400000002514,157.48357504
73,35.0,21.75,22.26,60.0,0.6,0.0,0.0,820.7634000000024,162.40815544000003
74,35.0,22.26,22.28,60.0,0.3,0.0,0.0,32.18679999999931,162.50471584000002
75,35.0,22.28,22.69,60.0,0.19,0.0,0.0,659.8294000000002,163.7583917
76,35.0,22.69,22.71,60.0,0.1,0.0,0.0,32.18679999999931,163.7905785
77,35.0,22.71,22.91,60.0,0.0,0.0,0.0,321.86799999999886,163.7905785
78,35.0,22.91,23.29,60.0,0.39,0.0,0.0,611.5491999999983,166.17562038
79,35.0,23.29,23.48,60.0,0.3,0.0,0.0,305.77460000000207,167.09294418000002
80,35.0,23.48,23.67,60.0,0.45,0.0,0.0,305.77460000000207,168.46892988000002
81,35.0,23.67,24.62,60.0,0.6,0.0,0.0,1528.872999999999,177.64216788000002
82,35.0,24.117,26.66,60.0,0.6,0.0,0.0,4092.551619999999,202.1974776
83,35.0,25.17,26.66,60.0,0.0,R,1.0,2397.9165999999973,202.1974776
84,35.0,26.66,26.72,60.0,0.53,R,1.0,96.56039999999794,202.70924772
85,35.0,26.72,26.77,60.0,0.0,R,1.0,80.46700000000114,202.70924772
86,35.0,26.77,27.147,60.0,0.0,R,1.0,606.7211799999982,202.70924772
87,35.0,27.147,27.58,60.0,0.0,0.0,0.0,696.8442199999997,202.70924772
88,35.0,27.58,27.61,60.0,0.0,L,1.0,48.28020000000183,202.70924772
89,35.0,27.61,27.64,60.0,0.47,L,1.0,48.28020000000183,202.93616466
90,35.0,27.64,27.76,60.0,0.48,L,1.0,193.1208000000016,203.8631445
91,35.0,27.76,27.95,60.0,0.6,L,1.0,305.7745999999963,205.6977921
92,35.0,27.95,28.36,60.0,0.6,0.0,0.0,659.8294000000002,209.6567685
93,35.0,28.36,28.41,60.0,0.64,R,1.06,80.46700000000114,210.1717573
94,35.0,28.41,28.45,60.0,0.0,R,1.06,64.37359999999862,210.1717573
95,35.0,28.45,28.722,60.0,0.0,R,1.06,437.7404800000032,210.1717573
96,35.0,28.722,29.55,60.0,0.0,0.0,0.0,1332.533519999999,210.1717573
97,35.0,29.55,29.57,60.0,0.3,0.0,0.0,32.18679999999931,210.2683177
98,35.0,29.57,29.85,60.0,0.59,0.0,0.0,450.6152000000018,212.92694738
99,35.0,29.85,29.95,60.0,0.51,L,1.5,160.93399999999656,213.74771078
100,35.0,29.95,29.97,60.0,0.5,L,1.5,32.18679999999931,213.90864478
101,35.0,29.97,29.999,60.0,0.65,L,1.5,46.67085999999986,214.21200537
102,35.0,29.999,30.01,60.0,0.65,0.0,0.0,17.702740000004482,214.32707318
103,35.0,30.01,30.03,60.0,0.51,0.0,0.0,32.18679999999931,214.49122586
104,35.0,30.03,30.05,60.0,0.0,0.0,0.0,32.18679999999931,214.49122586
105,35.0,30.05,30.21,60.0,0.0,0.0,0.0,257.4944000000002,214.49122586
106,35.0,30.21,30.23,60.0,0.0,L,1.5,32.18679999999931,214.49122586
107,35.0,30.23,30.25,60.0,-0.61,L,1.5,32.18679999999931,214.29488638
108,35.0,30.25,30.34,60.0,-0.49,L,1.5,144.84059999999977,213.58516744
109,35.0,30.34,30.41,60.0,-0.6,L,1.5,112.65380000000046,212.90924464000005
110,35.0,30.41,30.68,60.0,-0.6,0.0,0.0,434.5217999999993,210.30211384000003
111,35.0,30.68,30.7,60.0,-0.58,0.0,0.0,32.18679999999931,210.11543040000004
112,35.0,30.7,30.71,60.0,0.0,0.0,0.0,16.093400000002514,210.11543040000004
113,35.0,30.71,31.0,60.0,0.0,0.0,0.0,466.7085999999986,210.11543040000004
114,35.0,31.0,31.02,60.0,0.0,L,1.5,32.18679999999931,210.11543040000004
115,35.0,31.02,31.06,60.0,-0.53,L,1.5,64.37359999999862,209.77425032000005
116,35.0,31.06,31.16,60.0,-0.52,L,1.5,160.93400000000227,208.93739352000003
117,35.0,31.16,31.248,60.0,-0.6,L,1.5,141.62192000000155,208.087662
118,35.0,31.248,31.47,60.0,-0.6,0.0,0.0,357.2734799999964,205.9440211200001
119,35.0,31.47,31.59,60.0,-0.55,L,1.18,193.1208000000016,204.8818567200001
120,35.0,31.59,31.624,60.0,-0.59,L,1.18,54.71755999999826,204.55902311600008
121,35.0,31.624,31.96,60.0,-0.59,0.0,0.0,540.7382400000033,201.36866750000007
122,35.0,31.96,32.08,60.0,-0.53,R,1.5,193.12079999999588,200.34512726000008
123,35.0,32.08,32.137,60.0,-0.6,R,1.5,91.73238000000347,199.79473298000005
124,35.0,32.137,32.23,60.0,-0.6,0.0,0.0,149.66861999999423,198.89672126000008
125,35.0,32.23,32.26,60.0,-0.61,0.0,0.0,48.28020000000183,198.60221204000007
126,35.0,32.26,32.29,60.0,0.0,0.0,0.0,48.28020000000183,198.60221204000007
127,35.0,32.29,32.453,60.0,-0.05,R,0.5,262.3224200000061,198.47105083000005
128,35.0,32.453,32.81,60.0,-0.05,0.0,0.0,574.5343799999989,198.1837836400001
129,35.0,32.81,32.82,60.0,0.0,0.0,0.0,16.093399999996798,198.1837836400001
130,35.0,32.82,32.84,60.0,-0.6,0.0,0.0,32.18680000000503,197.99066284000003
131,35.0,32.84,32.92,60.0,-0.3,R,1.13,128.74719999999724,197.60442124
132,35.0,32.92,32.95,60.0,-0.46,R,1.13,48.28020000000183,197.38233232
