,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,33.0,38.56,38.56,50.0,-0.4,R,2.15,432.9124600000088,190.48952910000003
1,33.0,38.56,37.921,50.0,-0.4,0.0,0.0,1028.3682600000045,188.75787926
2,33.0,37.921,37.206,50.0,-0.0,L,1.1,1150.678099999994,184.64440621999995
3,33.0,37.206,36.296,50.0,-0.0,L,1.05,1464.4994000000058,184.64440621999995
4,33.0,36.296,35.571,50.0,-0.0,R,0.56,1166.7715000000023,184.64440621999995
5,33.0,35.571,34.752,50.0,-0.0,R,2.08,1318.049459999993,184.64440621999995
6,33.0,34.752,33.364,50.0,-0.0,R,1.03,2233.7639200000085,184.64440621999995
7,33.0,38.22,31.916,50.0,-0.62,0.0,0.0,10145.279359999997,184.64440621999995
8,33.0,31.916,31.75,50.0,-0.62,R,1.03,267.1504400000006,121.74367418799996
9,33.0,31.75,31.45,50.0,-0.0,0.0,0.0,482.8020000000011,120.08734145999996
10,33.0,31.45,31.17,50.0,-0.59,0.0,0.0,450.6151999999961,120.08734145999996
11,33.0,31.17,31.013,50.0,-0.0,0.0,0.0,252.66638000000003,117.42871178
12,33.0,31.013,30.96,50.0,-0.0,L,1.1,85.29502000000132,117.42871178
13,33.0,30.96,29.368,50.0,-0.0,L,1.1,2562.069280000004,117.42871178
14,33.0,30.96,28.47,50.0,-0.62,0.0,0.0,4007.256600000003,117.42871178
15,33.0,28.47,28.12,50.0,-0.34,0.0,0.0,563.2689999999966,92.58372085999996
16,33.0,28.12,28.03,50.0,-0.0,0.0,0.0,144.84059999999977,90.66860625999998
17,33.0,28.03,27.74,50.0,0.2,0.0,0.0,466.7086000000043,90.66860625999998
18,33.0,27.74,27.045,50.0,-0.0,0.0,0.0,1118.491299999995,91.60202345999998
19,33.0,27.23,26.48,50.0,-0.03,0.0,0.0,1207.005,91.60202345999998
20,33.0,26.48,26.33,50.0,-0.06,0.0,0.0,241.40100000000345,91.23992196
21,33.0,26.33,25.97,50.0,0.04,0.0,0.0,579.3623999999991,91.09508135999998
22,33.0,25.97,25.65,50.0,-0.18,0.0,0.0,514.9888000000004,91.32682631999998
23,33.0,25.65,25.23,50.0,0.14,0.0,0.0,675.922799999997,90.39984647999998
24,33.0,25.23,25.09,50.0,-0.0,0.0,0.0,225.3076000000009,91.34613839999996
25,33.0,25.09,24.961,50.0,0.16,0.0,0.0,207.60486000000213,91.34613839999996
26,33.0,24.961,24.86,50.0,0.16,L,2.01,162.54333999999852,91.67830617599998
27,33.0,24.86,24.63,50.0,-0.16,L,2.01,370.1482000000007,91.93837551999998
28,33.0,24.63,24.47,50.0,-0.0,L,2.01,257.4944000000002,91.34613839999996
29,33.0,24.47,24.36,50.0,-0.13,0.0,0.0,177.02739999999906,91.34613839999996
