,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,50.0,32.09,32.012,50.0,-0.53,0.0,0.0,125.52852000000476,2.03018241000004
1,50.0,32.012,32.01,50.0,-0.53,R,0.5,3.2186800000039333,1.3648812540000148
2,50.0,32.01,31.276,50.0,-0.0,R,0.5,1181.255559999997,1.347822249999994
3,50.0,31.276,30.577,50.0,-0.0,R,1.51666,1124.9286599999969,1.347822249999994
4,50.0,30.577,30.349,50.0,-0.0,L,3.25,366.92952000000247,1.347822249999994
5,50.0,30.349,29.887,50.0,-0.0,R,2.66666,743.5150799999996,1.347822249999994
6,50.0,32.01,29.426,50.0,-0.0,0.0,0.0,4158.534559999999,1.347822249999994
7,50.0,29.426,29.09,50.0,-0.0,R,0.5,540.7382399999976,1.347822249999994
8,50.0,29.09,28.71,50.0,-0.25,0.0,0.0,611.5491999999983,1.347822249999994
9,50.0,28.71,28.407,50.0,-0.0,0.0,0.0,487.6300200000013,-0.181050750000002
10,50.0,28.407,28.4,50.0,-0.0,L,3.33333,11.265380000002333,-0.181050750000002
11,50.0,28.4,28.02,50.0,0.19,0.0,0.0,611.5491999999983,-0.181050750000002
12,50.0,28.02,27.83,50.0,0.1,0.0,0.0,305.77460000000207,0.9808927299999948
13,50.0,27.83,27.81,50.0,0.09,0.0,0.0,32.18679999999931,1.286667329999997
14,50.0,27.81,27.793,50.0,0.1,0.0,0.0,27.35877999999913,1.3156354499999965
15,50.0,27.793,27.79,50.0,0.1,L,1.75,4.828020000000183,1.3429942299999953
16,50.0,27.79,27.77,50.0,-0.0,L,1.75,32.18679999999931,1.3478222499999954
17,50.0,27.77,27.75,50.0,-0.0,L,1.75,32.18679999999931,1.3478222499999954
18,50.0,27.75,27.27,50.0,-0.0,0.0,0.0,772.4832000000007,1.3478222499999954
19,50.0,27.27,27.25,50.0,-0.0,0.0,0.0,32.18679999999931,1.3478222499999954
20,50.0,27.25,27.23,50.0,-0.0,0.0,0.0,32.18679999999931,1.3478222499999954
21,50.0,27.23,27.21,50.0,-0.1,0.0,0.0,32.18679999999931,1.3478222499999954
22,50.0,27.21,27.209,50.0,-0.0,0.0,0.0,1.6093400000019666,1.315635449999996
23,50.0,27.209,27.19,50.0,-0.0,R,2.0,30.577459999997345,1.315635449999996
24,50.0,27.19,27.17,50.0,-0.06,R,2.0,32.18679999999931,1.315635449999996
25,50.0,27.17,26.946,50.0,-0.0,R,2.0,360.4921600000003,1.2963233699999963
26,50.0,26.946,26.54,50.0,-0.0,R,2.0,653.3920400000038,1.2963233699999963
27,50.0,26.54,26.293,50.0,-0.0,L,1.26666,397.50697999999977,1.2963233699999963
28,50.0,26.293,26.122,50.0,-0.0,R,2.8,275.19713999999897,1.2963233699999963
29,50.0,26.122,25.923,50.0,-0.0,L,3.1,320.2586600000026,1.2963233699999963
30,50.0,25.923,25.737,50.0,-0.0,L,3.0,299.3372399999999,1.2963233699999963
31,50.0,25.737,25.511,50.0,-0.0,R,3.13333,363.71083999999854,1.2963233699999963
32,50.0,27.17,25.369,50.0,-0.0,0.0,0.0,2898.421340000003,1.2963233699999963
33,50.0,25.369,25.27,50.0,-0.0,L,4.18333,159.3246600000003,1.2963233699999963
34,50.0,25.27,24.871,50.0,-0.0,L,4.18333,642.1266600000014,1.2963233699999963
35,50.0,25.27,24.71,50.0,-0.0,0.0,0.0,901.230399999998,1.2963233699999963
36,50.0,24.71,24.564,50.0,-0.1,0.0,0.0,234.96364000000128,1.2963233699999963
37,50.0,24.564,24.48,50.0,-0.1,R,4.35,135.1845599999994,1.0613597299999953
38,50.0,24.48,24.107,50.0,-0.0,0.0,0.0,600.2838200000017,0.9261751699999958
39,50.0,24.107,24.01,50.0,-0.0,L,0.5,156.10597999999638,0.9261751699999958
40,50.0,24.01,23.477,50.0,0.05,0.0,0.0,857.778220000002,0.9261751699999958
41,50.0,23.477,23.131,50.0,-0.0,L,4.05,556.8316400000001,1.3550642799999968
42,50.0,23.81,22.72,50.0,-0.0,0.0,0.0,1754.1805999999997,1.3550642799999968
43,50.0,22.72,22.694,50.0,0.18,0.0,0.0,41.84283999999968,1.3550642799999968
44,50.0,22.694,22.37,50.0,0.18,R,2.1,521.4261599999969,1.430381391999996
45,50.0,22.37,22.242,50.0,-0.0,R,2.1,205.99552000000017,2.3689484799999905
46,50.0,22.37,21.987,50.0,-0.0,0.0,0.0,616.3772200000043,2.3689484799999905
47,50.0,22.08,21.8,50.0,-0.19,0.0,0.0,450.6151999999961,2.3689484799999905
48,50.0,21.8,21.766,50.0,-0.0,0.0,0.0,54.71756000000398,1.5127795999999978
49,50.0,21.766,21.33,50.0,-0.0,R,1.1,701.6722399999999,1.5127795999999978
50,50.0,21.33,20.913,50.0,-0.04,0.0,0.0,671.0947799999968,1.5127795999999978
51,50.0,20.913,20.57,50.0,-0.0,R,1.1,552.00362,1.2443416879999991
52,50.0,20.96,20.344,50.0,-0.0,0.0,0.0,991.3534399999994,1.2443416879999991
53,50.0,20.344,20.04,50.0,-0.0,L,2.7,489.2393600000033,1.2443416879999991
54,50.0,20.04,19.85,50.0,0.05,0.0,0.0,305.7745999999963,1.2443416879999991
55,50.0,19.85,19.322,50.0,-0.0,0.0,0.0,849.7315200000036,1.3972289879999973
56,50.0,19.322,19.27,50.0,-0.0,R,0.66666,83.68567999999935,1.3972289879999973
57,50.0,19.27,18.952,50.0,-0.05,0.0,0.0,511.7701199999965,1.3972289879999973
58,50.0,18.952,18.88,50.0,-0.05,L,0.5,115.8724800000044,1.141343927999999
59,50.0,18.88,18.427,50.0,-0.0,L,0.5,729.031019999999,1.0834076879999968
60,50.0,18.427,18.011,50.0,-0.0,L,1.08333,669.4854400000006,1.0834076879999968
61,50.0,18.88,17.764,50.0,-0.0,0.0,0.0,1796.0234399999993,1.0834076879999968
62,50.0,17.86,17.56,50.0,-0.26,0.0,0.0,482.8020000000011,1.0834076879999968
63,50.0,17.56,17.18,50.0,-0.0,0.0,0.0,611.5491999999983,-0.171877512000006
64,50.0,17.18,17.005,50.0,0.25,0.0,0.0,281.63450000000114,-0.171877512000006
65,50.0,17.005,16.82,50.0,0.25,L,5.0,297.727899999998,0.5322087379999968
66,50.0,16.82,16.582,50.0,0.04,0.0,0.0,383.02291999999926,1.2765284879999916
67,50.0,16.582,16.43,50.0,0.04,R,1.25,244.61968000000164,1.4297376559999913
68,50.0,16.43,15.96,50.0,-0.0,0.0,0.0,756.3897999999981,1.527585527999992
69,50.0,15.96,15.751,50.0,0.25,0.0,0.0,336.35206000000227,1.527585527999992
70,50.0,15.751,15.56,50.0,0.25,R,3.0,307.3839399999983,2.368465677999997
71,50.0,15.56,15.5,50.0,-0.0,R,3.0,96.5604000000008,3.136925527999993
72,50.0,15.5,15.252,50.0,-0.0,R,3.0,399.1163199999989,3.136925527999993
73,50.0,15.5,14.9,50.0,-0.06,0.0,0.0,965.6039999999994,3.136925527999993
74,50.0,14.9,14.72,50.0,-0.0,0.0,0.0,289.68119999999954,2.5575631279999937
75,50.0,14.72,14.574,50.0,0.2,0.0,0.0,234.96364000000128,2.5575631279999937
