,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,3000.0,207.7,207.69,10.0,-0.0,L,1.5,16.093399999985362,-111.49608908420193
1,3000.0,207.69,207.371,10.0,-0.0,L,1.5,513.3794599999813,-111.49608908420193
2,3000.0,207.69,206.552,10.0,0.1,0.0,0.0,1831.428920000008,-111.49608908420193
3,3000.0,206.61,206.32,10.0,-0.0,0.0,0.0,466.7086000000329,-109.6646601642019
4,3000.0,206.32,206.19,10.0,0.24,0.0,0.0,209.21419999999267,-109.6646601642019
5,3000.0,206.19,206.102,10.0,0.34,0.0,0.0,141.62191999999013,-109.16254608420192
6,3000.0,206.102,205.94,10.0,0.34,L,5.03333,260.7130800000099,-108.68103155620196
7,3000.0,205.94,205.87,10.0,0.39,0.0,0.0,112.65379999998902,-107.79460708420191
8,3000.0,205.87,205.85,10.0,0.52,0.0,0.0,32.18680000001646,-107.35525726420197
9,3000.0,205.85,205.83,10.0,0.6,0.0,0.0,32.186799999970724,-107.18788590420188
10,3000.0,205.83,205.764,10.0,0.75,0.0,0.0,106.216440000004,-106.99476510420206
11,3000.0,205.82,205.468,10.0,0.62,0.0,0.0,566.4876800000062,-106.19814180420202
12,3000.0,205.468,205.39,10.0,0.62,R,7.0,125.52852000000476,-102.68591818820198
13,3000.0,205.39,205.0,10.0,-0.43,0.0,0.0,627.642599999978,-101.90764136420196
14,3000.0,205.0,204.86,10.0,-0.0,0.0,0.0,225.30759999997804,-104.60650454420184
15,3000.0,204.86,204.61,10.0,-0.29,0.0,0.0,402.335,-104.60650454420184
16,3000.0,204.61,204.417,10.0,-0.01,0.0,0.0,310.6026200000194,-105.77327604420184
17,3000.0,204.417,204.39,10.0,-0.01,L,3.0,43.45218000002451,-105.80433630620183
18,3000.0,204.39,204.28,10.0,0.13,L,3.0,177.0273999999762,-105.80868152420184
19,3000.0,204.28,204.24,10.0,-0.0,0.0,0.0,64.37359999998719,-105.57854590420187
20,3000.0,204.24,204.19,10.0,-0.0,0.0,0.0,80.46700000001829,-105.57854590420187
21,3000.0,204.19,203.72,10.0,0.35,0.0,0.0,756.3897999999981,-105.57854590420187
22,3000.0,203.72,203.3,10.0,0.009,0.0,0.0,675.9227999999798,-102.93118160420188
23,3000.0,203.3,203.28,10.0,0.2,0.0,0.0,32.18680000001646,-102.87034855220188
24,3000.0,203.28,203.27,10.0,0.2,0.0,0.0,16.093399999985362,-102.80597495220184
25,3000.0,203.27,203.25,10.0,-0.0,0.0,0.0,32.18680000001646,-102.77378815220187
26,3000.0,203.25,203.23,10.0,0.4,0.0,0.0,32.18680000001646,-102.77378815220187
27,3000.0,203.23,203.21,10.0,0.4,0.0,0.0,32.186799999970724,-102.6450409522018
28,3000.0,203.21,203.19,10.0,0.42,0.0,0.0,32.18680000001646,-102.51629375220192
29,3000.0,203.19,203.17,10.0,0.39,0.0,0.0,32.18680000001646,-102.38110919220186
30,3000.0,203.17,203.16,10.0,0.3,0.0,0.0,16.093399999985362,-102.2555806722018
31,3000.0,203.16,203.15,10.0,0.3,L,3.16666,16.093399999985362,-102.20730047220184
32,3000.0,203.15,203.13,10.0,0.1,L,3.16666,32.18680000001646,-102.1590202722019
33,3000.0,203.13,203.11,10.0,0.19,L,3.16666,32.186799999970724,-102.12683347220188
34,3000.0,203.11,202.87,10.0,-0.0,0.0,0.0,386.2416000000146,-102.06567855220192
35,3000.0,202.87,202.3,10.0,0.04,0.0,0.0,917.323799999989,-102.06567855220192
36,3000.0,202.3,202.05,10.0,-0.0,0.0,0.0,402.335,-101.69874903220192
37,3000.0,202.05,202.03,10.0,0.1,0.0,0.0,32.18680000001646,-101.69874903220192
38,3000.0,202.03,201.92,10.0,0.16,0.0,0.0,177.02740000002194,-101.66656223220193
39,3000.0,201.92,201.64,10.0,0.39,0.0,0.0,450.6152000000018,-101.38331839220189
40,3000.0,201.64,201.43,10.0,-0.0,0.0,0.0,337.96139999996706,-99.62591911220188
41,3000.0,201.43,201.03,10.0,0.57,0.0,0.0,643.7360000000091,-99.62591911220188
42,3000.0,201.03,200.9,10.0,0.14,0.0,0.0,209.21419999999267,-95.95662391220182
43,3000.0,200.9,200.73,10.0,-0.56,0.0,0.0,273.5878000000256,-95.66372403220184
44,3000.0,200.73,200.71,10.0,-0.3,0.0,0.0,32.186799999970724,-97.19581571220198
45,3000.0,200.71,200.67,10.0,-0.2,0.0,0.0,64.37360000003292,-97.2923761122019
46,3000.0,200.67,200.63,10.0,-0.1,0.0,0.0,64.37359999998719,-97.42112331220196
47,3000.0,200.63,200.122,10.0,-0.0,0.0,0.0,817.54471999997,-97.48549691220194
48,3000.0,200.14,199.46,10.0,0.16,0.0,0.0,1094.3511999999653,-97.48549691220194
49,3000.0,199.46,198.7,10.0,0.1,0.0,0.0,1223.098400000031,-95.734534992202
50,3000.0,198.7,197.641,10.0,0.21,0.0,0.0,1704.291059999996,-94.51143659220196
51,3000.0,198.13,197.079,10.0,0.07,0.0,0.0,1691.4163399999802,-90.93242536620198
52,3000.0,197.079,197.0,10.0,0.07,L,2.0,127.13786000001244,-89.74843392820199
53,3000.0,197.0,196.79,10.0,0.03,0.0,0.0,337.9614000000128,-89.65943742620198
54,3000.0,196.79,196.71,10.0,0.03,R,1.96666,128.74719999997438,-89.55804900620197
55,3000.0,196.71,196.39,10.0,0.1,0.0,0.0,514.9888000000348,-89.51942484620197
56,3000.0,196.39,196.37,10.0,0.19,0.0,0.0,32.186799999970724,-89.00443604620193
57,3000.0,196.37,196.084,10.0,0.3,0.0,0.0,460.2712400000022,-88.94328112620198
58,3000.0,196.14,195.86,10.0,0.33,0.0,0.0,450.6151999999561,-87.56246740620197
59,3000.0,195.86,195.284,10.0,0.07,0.0,0.0,926.9798400000352,-86.07543724620211
60,3000.0,195.284,195.12,10.0,0.07,L,2.0,263.9317599999795,-85.42655135820209
61,3000.0,195.12,195.1,10.0,0.2,0.0,0.0,32.18680000001646,-85.24179912620211
62,3000.0,195.1,195.01,10.0,0.3,0.0,0.0,144.84060000000548,-85.17742552620207
63,3000.0,195.01,194.91,10.0,0.15,0.0,0.0,160.93399999999085,-84.74290372620206
64,3000.0,194.91,194.74,10.0,0.45,0.0,0.0,273.58779999997984,-84.50150272620208
65,3000.0,194.74,194.31,10.0,-0.0,0.0,0.0,692.0162000000109,-83.27035762620217
66,3000.0,194.31,194.29,10.0,0.1,0.0,0.0,32.18680000001646,-83.27035762620217
67,3000.0,194.29,193.76,10.0,0.19,0.0,0.0,852.9502000000018,-83.23817082620215
68,3000.0,193.76,193.674,10.0,0.54,0.0,0.0,138.40323999997474,-81.61756544620215
69,3000.0,193.674,193.67,10.0,0.54,R,0.46666,6.437360000030737,-80.87018795020228
70,3000.0,193.67,193.59,10.0,-0.0,0.0,0.0,128.74719999997438,-80.83542620620211
71,3000.0,193.59,193.362,10.0,0.29,0.0,0.0,366.9295200000139,-80.83542620620211
72,3000.0,193.362,193.36,10.0,0.29,L,2.0,3.2186799999696283,-79.77133059820207
73,3000.0,193.36,193.16,10.0,0.2,L,2.0,321.86800000002745,-79.76199642620216
74,3000.0,193.16,192.651,10.0,0.16,0.0,0.0,819.1540599999777,-79.1182604262021
75,3000.0,192.651,192.65,10.0,0.16,R,1.0,1.6093400000076843,-77.80761393020214
76,3000.0,192.65,192.27,10.0,0.27,R,1.0,611.5491999999927,-77.80503898620212
77,3000.0,192.27,192.14,10.0,0.6,R,1.0,209.2142000000384,-76.15385614620214
78,3000.0,192.14,192.03,10.0,0.3,R,1.0,177.0273999999762,-74.89857094620191
79,3000.0,192.03,191.85,10.0,-0.0,R,1.0,289.68120000001096,-74.36748874620199
80,3000.0,191.85,191.48,10.0,0.3,0.0,0.0,595.4558000000073,-74.36748874620199
81,3000.0,191.48,191.38,10.0,0.59,0.0,0.0,160.93399999999085,-72.58112134620197
82,3000.0,191.38,191.25,10.0,0.28,0.0,0.0,209.21419999999267,-71.63161074620203
83,3000.0,191.25,191.176,10.0,-0.0,0.0,0.0,119.09116000001976,-71.04581098620204
84,3000.0,191.176,191.17,10.0,-0.0,L,1.0,9.656040000000363,-71.04581098620204
85,3000.0,191.17,191.13,10.0,0.44,L,1.0,64.37359999998719,-71.04581098620204
86,3000.0,191.13,190.653,10.0,0.53,0.0,0.0,767.6551800000062,-70.7625671462021
87,3000.0,190.653,190.6,10.0,0.53,R,1.01666,85.2950199999956,-66.69399469220207
88,3000.0,190.6,189.987,10.0,-0.0,R,1.01666,986.5254199999991,-66.24193108620209
89,3000.0,190.6,189.608,10.0,0.66,0.0,0.0,1596.4652799999842,-66.24193108620209
90,3000.0,189.608,189.42,10.0,0.66,R,1.01666,302.5559200000267,-55.70526023820219
91,3000.0,189.42,189.04,10.0,0.82,0.0,0.0,611.5491999999927,-53.70839116620202
92,3000.0,189.04,188.757,10.0,0.65,0.0,0.0,455.4432199999792,-48.69368772620208
93,3000.0,188.757,188.66,10.0,0.65,R,1.98333,156.10598000001357,-45.73330679620221
94,3000.0,188.66,188.59,10.0,-0.27,R,1.98333,112.65379999998902,-44.71861792620213
95,3000.0,188.59,188.333,10.0,-0.0,R,1.98333,413.600380000008,-45.0227831862021
96,3000.0,188.333,187.841,10.0,-0.0,R,2.1,791.7952799999842,-45.0227831862021
97,3000.0,188.59,187.707,10.0,-1.33,0.0,0.0,1421.0472200000156,-45.0227831862021
98,3000.0,187.707,187.33,10.0,-1.33,L,3.0,606.7211799999696,-63.92271121220231
99,3000.0,187.33,187.131,10.0,-0.56,0.0,0.0,320.25866000001974,-71.99210290620191
100,3000.0,187.15,186.152,10.0,-0.15,0.0,0.0,1606.1213200000302,-73.78555140220202
101,3000.0,186.28,185.71,10.0,-0.27,0.0,0.0,917.323799999989,-76.19473338220206
102,3000.0,185.71,185.63,10.0,0.26,0.0,0.0,128.74720000002011,-78.67150764220203
103,3000.0,185.63,185.58,10.0,-0.0,0.0,0.0,80.46699999997256,-78.33676492220198
104,3000.0,185.58,185.27,10.0,-0.2,0.0,0.0,498.8954000000036,-78.33676492220198
105,3000.0,185.27,184.967,10.0,-0.0,0.0,0.0,487.6300199999956,-79.33455572220198
106,3000.0,184.967,184.82,10.0,-0.0,L,1.0,236.57298000003183,-79.33455572220198
107,3000.0,184.82,184.61,10.0,-0.49,0.0,0.0,337.96139999996706,-79.33455572220198
108,3000.0,184.61,184.54,10.0,-0.47,0.0,0.0,112.65380000003476,-80.99056658220182
109,3000.0,184.54,184.31,10.0,-0.2,0.0,0.0,370.1481999999835,-81.52003944220199
110,3000.0,184.31,184.21,10.0,-0.0,0.0,0.0,160.93399999999085,-82.26033584220195
111,3000.0,184.21,184.12,10.0,-0.0,R,2.06666,144.84060000000548,-82.26033584220195
112,3000.0,184.12,183.9,10.0,-0.16,0.0,0.0,354.0547999999981,-82.26033584220195
113,3000.0,183.9,183.67,10.0,-0.66,0.0,0.0,370.1482000000293,-82.82682352220195
114,3000.0,183.67,183.17,10.0,-0.03,0.0,0.0,804.67,-85.26980164220214
115,3000.0,183.17,182.42,10.0,-0.24,0.0,0.0,1207.005,-85.51120264220214
116,3000.0,182.42,182.096,10.0,-0.2,0.0,0.0,521.426159999974,-88.40801464220213
117,3000.0,182.096,182.04,10.0,-0.2,R,1.51666,90.12304000001866,-89.45086696220208
118,3000.0,182.04,181.571,10.0,0.49,0.0,0.0,754.7804599999904,-89.63111304220212
119,3000.0,181.66,180.96,10.0,-0.33,0.0,0.0,1126.5379999999816,-85.93268878820216
120,3000.0,180.96,180.94,10.0,-0.29,0.0,0.0,32.18680000001646,-89.6502641882021
121,3000.0,180.94,180.92,10.0,-0.1,0.0,0.0,32.18680000001646,-89.74360590820216
122,3000.0,180.92,180.54,10.0,-0.0,0.0,0.0,611.5491999999927,-89.77579270820218
123,3000.0,180.54,180.52,10.0,-0.1,0.0,0.0,32.186799999970724,-89.77579270820218
124,3000.0,180.52,180.5,10.0,-0.31,0.0,0.0,32.18680000001646,-89.80797950820215
125,3000.0,180.5,180.39,10.0,-0.39,0.0,0.0,177.02740000002194,-89.9077585882022
126,3000.0,180.39,180.37,10.0,-0.29,0.0,0.0,32.186799999970724,-90.59816544820228
127,3000.0,180.37,180.35,10.0,-0.2,0.0,0.0,32.18680000001646,-90.6915071682022
128,3000.0,180.35,180.33,10.0,-0.1,0.0,0.0,32.186799999970724,-90.75588076820225
129,3000.0,180.33,180.24,10.0,-0.0,0.0,0.0,144.84060000000548,-90.7880675682022
130,3000.0,180.24,180.22,10.0,-0.1,0.0,0.0,32.18680000001646,-90.7880675682022
131,3000.0,180.22,180.209,10.0,-0.29,0.0,0.0,17.702739999993046,-90.82025436820224
132,3000.0,180.209,180.2,10.0,-0.29,L,1.0,14.48406000002342,-90.8715923142022
133,3000.0,180.2,180.03,10.0,-0.4,0.0,0.0,273.58779999997984,-90.91359608820228
134,3000.0,180.03,179.97,10.0,-0.29,0.0,0.0,96.56040000000364,-92.0079472882022
135,3000.0,179.97,179.78,10.0,-0.2,0.0,0.0,305.7745999999963,-92.2879724482022
136,3000.0,179.78,179.33,10.0,-0.31,0.0,0.0,724.2029999999817,-92.8995216482022
137,3000.0,179.33,179.31,10.0,-0.09,0.0,0.0,32.18680000001646,-95.14455094820214
138,3000.0,179.31,179.18,10.0,-0.0,0.0,0.0,209.21419999999267,-95.17351906820215
139,3000.0,179.18,179.04,10.0,-0.19,0.0,0.0,225.30760000002377,-95.17351906820215
140,3000.0,179.04,178.82,10.0,-0.06,0.0,0.0,354.0547999999981,-95.6016035082022
141,3000.0,178.82,178.447,10.0,-0.27,0.0,0.0,600.2838199999846,-95.8140363882022
142,3000.0,178.53,178.16,10.0,-0.12,0.0,0.0,595.4558000000073,-97.43480270220216
