,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7100.0,14.45,14.44,70.0,-0.42,R,1.83,16.093399999999654,7.322014197999999
1,7100.0,14.44,14.4,70.0,-0.28,R,1.83,64.37359999999862,7.254421918
2,7100.0,14.4,14.29,70.0,-0.4,R,1.83,177.02740000000193,7.074175838000004
3,7100.0,14.29,14.07,70.0,-0.24,R,1.83,354.0547999999981,6.366066237999997
4,7100.0,14.07,13.753,70.0,-0.4,0.0,0.0,510.1607800000003,5.516334718000001
5,7100.0,13.753,13.69,70.0,-0.4,R,1.96666,101.38842000000098,3.475691598
6,7100.0,13.69,13.6,70.0,-0.24,R,1.96666,144.84059999999977,3.0701379179999964
7,7100.0,13.6,13.54,70.0,-0.62,R,1.96666,96.5604000000008,2.7225204779999967
8,7100.0,13.54,13.106,70.0,-0.31,0.0,0.0,698.4535599999988,2.123845997999992
9,7100.0,13.52,12.89,70.0,-0.0,0.0,0.0,1013.8841999999984,-0.0413600380000045
10,7100.0,12.89,12.67,70.0,0.32,0.0,0.0,354.054800000001,-0.0413600380000045
11,7100.0,12.67,12.57,70.0,-0.0,0.0,0.0,160.93399999999943,1.0916153219999989
12,7100.0,12.57,12.53,70.0,-0.0,L,0.5,64.37360000000149,1.0916153219999989
13,7100.0,12.53,12.36,70.0,0.13,L,0.5,273.58779999999985,1.0916153219999989
14,7100.0,12.36,12.27,70.0,-0.0,0.0,0.0,144.84059999999977,1.447279461999999
15,7100.0,12.27,12.17,70.0,0.03,0.0,0.0,160.93399999999943,1.447279461999999
16,7100.0,12.17,11.98,70.0,0.37,0.0,0.0,305.7745999999992,1.4955596619999985
17,7100.0,11.98,11.89,70.0,0.51,0.0,0.0,144.84059999999977,2.6269256819999955
18,7100.0,11.89,11.85,70.0,-0.0,0.0,0.0,64.37360000000149,3.3656127419999944
19,7100.0,11.85,11.77,70.0,-0.14,0.0,0.0,128.7472000000001,3.3656127419999944
20,7100.0,11.77,11.755,70.0,-0.2,0.0,0.0,24.140099999998053,3.185366661999994
21,7100.0,11.755,11.74,70.0,-0.2,L,1.0,24.14010000000092,3.137086461999998
22,7100.0,11.74,11.61,70.0,-0.2,L,1.0,209.21420000000128,3.088806261999996
23,7100.0,11.61,11.51,70.0,-0.01,L,1.0,160.93399999999943,2.6703778619999934
24,7100.0,11.51,11.23,70.0,0.2,0.0,0.0,450.6151999999989,2.654284461999993
25,7100.0,11.23,11.09,70.0,0.11,0.0,0.0,225.3076000000009,3.5555148619999914
26,7100.0,11.09,10.96,70.0,-0.47,0.0,0.0,209.2141999999984,3.8033532219999926
27,7100.0,10.96,10.81,70.0,-0.46,0.0,0.0,241.4010000000005,2.8200464820000004
28,7100.0,10.81,10.7,70.0,-0.13,0.0,0.0,177.02740000000193,1.709601881999998
29,7100.0,10.7,10.58,70.0,-0.19,0.0,0.0,193.12079999999872,1.4794662619999956
30,7100.0,10.58,10.2,70.0,-0.03,0.0,0.0,611.5492000000012,1.112536741999998
31,7100.0,10.2,10.13,70.0,0.05,0.0,0.0,112.6537999999976,0.9290719819999976
32,7100.0,10.13,10.07,70.0,-0.09,0.0,0.0,96.5604000000008,0.9853988819999966
33,7100.0,10.07,9.88,70.0,-0.27,0.0,0.0,305.7745999999992,0.8984945219999959
34,7100.0,9.88,9.77,70.0,-0.0,0.0,0.0,177.02740000000193,0.0729031019999981
35,7100.0,9.77,9.65,70.0,0.04,0.0,0.0,193.12079999999872,0.0729031019999981
36,7100.0,9.65,9.551,70.0,-0.04,0.0,0.0,159.3246600000003,0.1501514219999976
37,7100.0,9.551,9.54,70.0,-0.04,L,0.33333,17.702740000001622,0.0864215579999974
38,7100.0,9.54,9.43,70.0,0.03,L,0.33333,177.02739999999906,0.0793404619999968
39,7100.0,9.43,9.41,70.0,-0.14,0.0,0.0,32.18679999999931,0.1324486819999965
40,7100.0,9.41,9.33,70.0,-0.16,0.0,0.0,128.7472000000001,0.0873871619999974
41,7100.0,9.33,8.71,70.0,-0.08,0.0,0.0,997.7907999999989,-0.1186083580000026
42,7100.0,8.71,8.628,70.0,-0.0,0.0,0.0,131.9658800000012,-0.9168409980000016
43,7100.0,8.628,8.5,70.0,-0.0,L,0.66,205.99552000000017,-0.9168409980000016
44,7100.0,8.5,8.292,70.0,-0.0,L,0.66,334.7427200000003,-0.9168409980000016
45,7100.0,8.5,8.146,70.0,0.1,0.0,0.0,569.7063599999987,-0.9168409980000016
46,7100.0,8.146,8.13,70.0,0.1,R,0.66666,25.74944000000002,-0.3471346380000029
47,7100.0,8.13,7.98,70.0,0.56,R,0.66666,241.4010000000005,-0.3213851980000028
