,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,55.0,102.1,102.1,49.0,0.2,L,4.0,302.555919999981,95.97556584399996
1,55.0,102.1,101.339,49.0,0.2,0.0,0.0,1224.707739999993,96.58067768399992
2,55.0,101.339,101.24,49.0,0.2,R,6.0,159.32466000000602,99.0300931639999
3,55.0,101.24,101.057,49.0,-0.0,R,6.0,294.50921999998826,99.3487424839999
4,55.0,101.057,100.866,49.0,-0.0,L,10.0,307.38394000000403,99.3487424839999
5,55.0,101.24,100.626,49.0,-0.2,0.0,0.0,988.134759999984,99.3487424839999
6,55.0,100.626,100.6,49.0,-0.2,L,10.0,41.84284000001683,97.37247296399993
7,55.0,100.6,100.35,49.0,-0.54,0.0,0.0,402.335,97.2887872839999
8,55.0,100.35,100.08,49.0,-0.49,0.0,0.0,434.5217999999936,95.1161782839999
9,55.0,100.08,100.046,49.0,-0.51,0.0,0.0,54.717559999986825,92.98702146399994
10,55.0,100.046,100.01,49.0,-0.51,R,6.0,57.93624000000219,92.707961908
11,55.0,100.01,99.95,49.0,-1.2,R,6.0,96.56040000000364,92.412487084
12,55.0,99.95,99.9,49.0,-1.17,R,6.0,80.46699999999542,91.25376228399996
13,55.0,99.9,99.87,49.0,-1.49,0.0,0.0,48.28020000000183,90.312298384
14,55.0,99.87,99.84,49.0,-1.49,L,6.0,48.28020000000183,89.59292340399998
15,55.0,99.84,99.78,49.0,-1.27,L,6.0,96.56040000000364,88.87354842399995
16,55.0,99.78,99.674,49.0,-1.49,0.0,0.0,170.5900399999912,87.6472313439999
17,55.0,99.674,99.65,49.0,-1.49,R,10.0,38.62416000000146,85.10543974800004
18,55.0,99.65,99.48,49.0,-1.1,R,10.0,273.58780000000274,84.52993976400002
19,55.0,99.48,99.449,49.0,-1.49,0.0,0.0,49.88954000000951,81.52047396399999
20,55.0,99.449,99.43,49.0,-1.49,R,4.0,30.577459999985912,80.77711981799985
21,55.0,99.43,99.36,49.0,-1.34,R,4.0,112.65380000001188,80.32151566400006
22,55.0,99.36,99.207,49.0,-1.5,0.0,0.0,246.2290200000093,78.8119547439999
23,55.0,99.207,99.18,49.0,-1.5,L,8.5,43.452179999978775,75.11851944399976
24,55.0,99.18,98.92,49.0,-1.15,L,8.5,418.4284000000082,74.46673674400007
25,55.0,98.92,98.639,49.0,-1.5,0.0,0.0,452.2245400000095,69.65481014399998
26,55.0,98.639,98.61,49.0,-1.5,R,10.0,46.67085999999414,62.87144204399984
27,55.0,98.61,98.54,49.0,-1.09,R,10.0,112.65379999998902,62.17137914399993
28,55.0,98.54,98.474,49.0,-1.49,0.0,0.0,106.216440000004,60.943452724000046
29,55.0,98.474,98.45,49.0,-1.49,L,8.0,38.62416000000146,59.36082776799999
30,55.0,98.45,98.36,49.0,-1.18,L,8.0,144.84060000000548,58.78532778399996
31,55.0,98.36,98.263,49.0,-1.49,0.0,0.0,156.10597999999067,57.076208703999896
32,55.0,98.263,98.24,49.0,-1.49,L,3.0,37.01482000001665,54.75022960200003
33,55.0,98.24,98.13,49.0,-1.38,L,3.0,177.02739999999906,54.19870878399978
34,55.0,98.13,98.026,49.0,-1.49,0.0,0.0,167.3713599999987,51.7557306639998
35,55.0,98.026,98.0,49.0,-1.49,R,5.0,41.84283999999396,49.26189739999982
36,55.0,98.0,97.92,49.0,-1.3,R,5.0,128.74719999999724,48.63843908399991
37,55.0,97.92,97.876,49.0,-1.51,0.0,0.0,70.81095999999506,46.96472548399994
38,55.0,97.876,97.85,49.0,-1.51,L,8.0,41.84284000001683,45.89547998800002
39,55.0,97.85,97.78,49.0,-1.18,L,8.0,112.65379999998902,45.263653103999765
40,55.0,97.78,97.525,49.0,-1.49,0.0,0.0,410.38169999999263,43.9343382639999
41,55.0,97.525,97.5,49.0,-1.49,R,6.0,40.23350000000914,37.81965093400001
42,55.0,97.5,97.41,49.0,-1.26,R,6.0,144.84060000000548,37.220171783999874
43,55.0,97.41,97.365,49.0,-1.48,0.0,0.0,72.42030000000274,35.3951802239998
44,55.0,97.365,97.34,49.0,-1.48,R,8.0,40.23349999998628,34.32335978399976
45,55.0,97.34,97.22,49.0,-1.18,R,8.0,193.1208000000073,33.727903983999965
46,55.0,97.22,97.073,49.0,-1.45,0.0,0.0,236.57298000000893,31.44907854399988
47,55.0,97.073,97.05,49.0,-1.45,L,10.0,37.014819999993776,28.01877033399976
48,55.0,97.05,96.96,49.0,-1.19,L,10.0,144.84060000000548,27.482055443999844
49,55.0,96.96,96.9,49.0,-1.49,0.0,0.0,96.5603999999808,25.75845230399978
50,55.0,96.9,96.79,49.0,-1.11,0.0,0.0,177.02739999999906,24.319702344000063
