,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,1281.0,14.01,14.16,40.0,0.07,0.0,0.0,241.4010000000005,0.1689807000000004
1,1281.0,14.16,14.29,40.0,0.0,0.0,0.0,209.2141999999984,0.1689807000000004
2,1281.0,14.29,14.54,40.0,-0.01,0.0,0.0,402.335,0.1287472000000004
3,1281.0,14.54,14.67,40.0,0.0,0.0,0.0,209.21420000000128,0.1287472000000004
4,1281.0,14.67,14.81,40.0,-0.02,0.0,0.0,225.3076000000009,0.0836856800000002
5,1281.0,14.81,14.96,40.0,0.0,0.0,0.0,241.4010000000005,0.0836856800000002
6,1281.0,14.96,15.03,40.0,-0.24,0.0,0.0,112.6537999999976,-0.186683439999994
7,1281.0,15.03,15.15,40.0,0.0,0.0,0.0,193.1208000000016,-0.186683439999994
8,1281.0,15.15,15.24,40.0,1.99,0.0,0.0,144.84059999999977,2.6956445000000016
9,1281.0,15.24,15.3,40.0,-0.29,0.0,0.0,96.5604000000008,2.4156193399999992
10,1281.0,15.3,15.51,40.0,0.05,0.0,0.0,337.9613999999985,2.5846000399999984
11,1281.0,15.51,15.98,40.0,0.0039,0.0,0.0,756.389800000001,2.6140992421999987
12,1281.0,15.98,16.09,40.0,0.01,L,1.03,177.02739999999906,2.6318019821999985
13,1281.0,16.09,16.34,40.0,0.0076,L,1.03,402.335,2.6623794421999984
14,1281.0,16.34,16.42,40.0,-0.1,L,1.03,128.74720000000298,2.5336322421999955
15,1281.0,16.42,16.68,40.0,0.02,L,1.03,418.4283999999968,2.617317922199995
16,1281.0,16.68,16.689,40.0,-0.01,L,1.03,14.484060000000548,2.6158695161999947
17,1281.0,16.689,17.04,40.0,-0.01,0.0,0.0,564.8783399999985,2.559381682199995
18,1281.0,17.04,17.23,40.0,-0.01,0.0,0.0,305.77460000000207,2.5288042221999945
19,1281.0,17.23,17.38,40.0,0.0,0.0,0.0,241.4009999999977,2.5288042221999945
20,1281.0,17.38,17.44,40.0,0.09,0.0,0.0,96.56040000000364,2.6157085821999977
21,1281.0,17.44,17.61,40.0,-0.02,0.0,0.0,273.587799999997,2.5609910221999983
22,1281.0,17.61,17.8,40.0,0.0,0.0,0.0,305.77460000000207,2.5609910221999983
23,1281.0,17.8,18.17,40.0,0.0099,0.0,0.0,595.4558000000015,2.619941146399998
24,1281.0,18.17,18.36,40.0,0.02,0.0,0.0,305.7745999999963,2.681096066399998
25,1281.0,18.36,18.62,40.0,0.03,0.0,0.0,418.4284000000025,2.806624586399999
26,1281.0,18.62,18.68,40.0,-0.1,0.0,0.0,96.56039999999794,2.710064186400001
27,1281.0,18.68,18.87,40.0,0.0,0.0,0.0,305.77460000000207,2.710064186400001
28,1281.0,18.87,18.94,40.0,-0.05,0.0,0.0,112.65380000000046,2.653737286400001
29,1281.0,18.94,19.3,40.0,0.0,0.0,0.0,579.3623999999991,2.653737286400001
30,1281.0,19.3,19.5,40.0,0.01,0.0,0.0,321.86799999999886,2.685924086400001
31,1281.0,19.5,19.59,40.0,0.11,0.0,0.0,144.84059999999977,2.8452487464000007
32,1281.0,19.59,19.75,40.0,0.3,0.0,0.0,257.4944000000002,3.617731946400001
33,1281.0,19.75,19.88,40.0,-0.02,0.0,0.0,209.2141999999984,3.5758891064000013
34,1281.0,19.88,19.98,40.0,0.0,0.0,0.0,160.93400000000227,3.5758891064000013
35,1281.0,19.98,20.15,40.0,0.0,0.0,0.0,273.587799999997,3.5758891064000013
36,1281.0,20.15,20.2,40.0,0.03,0.0,0.0,80.46700000000114,3.6000292064000017
37,1281.0,20.2,20.26,40.0,-0.06,0.0,0.0,96.56040000000364,3.5420929664
38,1281.0,20.26,20.43,40.0,0.05,0.0,0.0,273.587799999997,3.678886866399998
39,1281.0,20.43,20.64,40.0,-0.03,0.0,0.0,337.96140000000133,3.5774984463999973
40,1281.0,20.64,20.92,40.0,0.01,0.0,0.0,450.6152000000018,3.622559966399997
41,1281.0,20.92,21.11,40.0,-0.29,0.0,0.0,305.7745999999963,2.735813626400008
42,1281.0,21.11,21.17,40.0,-0.03,0.0,0.0,96.56040000000364,2.7068455064000068
43,1281.0,21.17,22.06,40.0,0.01,0.0,0.0,1432.3125999999952,2.850076766400006
44,1281.0,22.06,22.53,40.0,-0.01,0.0,0.0,756.3898000000039,2.774437786400006
45,1281.0,22.53,22.82,40.0,0.0,0.0,0.0,466.7085999999986,2.774437786400006
46,1281.0,22.82,23.2,40.0,0.01,0.0,0.0,611.5491999999983,2.8355927064000057
47,1281.0,23.2,23.48,40.0,-0.05,0.0,0.0,450.6152000000018,2.610285106400005
48,1281.0,23.48,23.67,40.0,-0.03,0.0,0.0,305.77460000000207,2.518552726400004
49,1281.0,23.67,23.86,40.0,-0.02,0.0,0.0,305.7745999999963,2.4573978064000044
50,1281.0,23.86,25.0,40.0,-0.0033,0.0,0.0,1834.647600000001,2.3968544356000043
51,1281.0,24.33,24.696,60.0,0.0,R,0.83,589.0184400000052,2.3968544356000043
52,1281.0,24.696,25.1,60.0,-0.03,0.0,0.0,650.1733599999998,2.201802427600005
53,1281.0,25.1,25.21,60.0,-0.07,0.0,0.0,177.02739999999906,2.0778832476000053
54,1281.0,25.21,25.32,60.0,0.03,L,0.95,177.02739999999906,2.130991467600005
55,1281.0,25.32,25.43,60.0,0.01,L,0.95,177.02739999999906,2.148694207600005
56,1281.0,25.43,25.53,60.0,-0.01,L,0.95,160.93400000000227,2.1326008076000047
57,1281.0,25.53,25.615,60.0,0.03,L,0.95,136.79389999999566,2.173638977600004
58,1281.0,25.615,25.64,60.0,0.03,0.0,0.0,40.23350000000343,2.1857090276000046
59,1281.0,25.64,25.75,60.0,-0.05,0.0,0.0,177.02739999999906,2.097195327600005
60,1281.0,25.75,25.86,60.0,0.0,0.0,0.0,177.02739999999906,2.097195327600005
61,1281.0,25.86,25.97,60.0,0.01,0.0,0.0,177.02739999999906,2.114898067600005
62,1281.0,25.97,26.32,60.0,0.01,0.0,0.0,563.2690000000023,2.171224967600005
63,1281.0,26.32,26.51,60.0,-0.01,0.0,0.0,305.77460000000207,2.1406475076000047
64,1281.0,26.51,26.7,60.0,0.0,0.0,0.0,305.7745999999963,2.1406475076000047
65,1281.0,26.7,27.08,60.0,-0.005,0.0,0.0,611.5491999999983,2.1100700476000047
66,1281.0,27.08,27.27,60.0,0.0099,0.0,0.0,305.77460000000207,2.140341733000005
67,1281.0,27.27,27.44,60.0,0.01,0.0,0.0,273.58780000000274,2.167700513000005
68,1281.0,27.44,27.74,60.0,-0.0062,0.0,0.0,482.8019999999954,2.1377667890000054
69,1281.0,27.74,27.93,60.0,0.0,0.0,0.0,305.77460000000207,2.1377667890000054
70,1281.0,27.93,27.99,60.0,0.06,L,1.25,96.56039999999794,2.195703029000004
71,1281.0,27.99,28.4,60.0,-0.01,L,1.25,659.8294000000002,2.129720089000004
72,1281.0,28.4,28.59,60.0,-0.01,L,1.25,305.77460000000207,2.099142629000004
73,1281.0,28.59,28.78,60.0,0.02,L,1.25,305.77460000000207,2.160297549000004
74,1281.0,28.78,28.97,60.0,-0.02,L,1.25,305.7745999999963,2.0991426290000046
75,1281.0,28.97,29.11,60.0,0.05,L,1.25,225.3076000000009,2.211796429000005
76,1281.0,29.11,29.121,60.0,0.0,L,1.25,17.702739999998766,2.211796429000005
77,1281.0,29.121,29.33,60.0,0.0,0.0,0.0,336.35205999999937,2.211796429000005
78,1281.0,29.33,29.41,60.0,-0.09,0.0,0.0,128.74720000000298,2.095923949000002
79,1281.0,29.41,29.54,60.0,-0.02,R,1.0,209.2141999999984,2.0540811090000024
80,1281.0,29.54,29.706,60.0,0.01,R,1.0,267.1504400000006,2.0807961530000023
81,1281.0,29.706,29.92,60.0,0.01,0.0,0.0,344.3987600000035,2.1152360290000027
82,1281.0,29.92,29.938,60.0,0.0,L,1.0,28.96811999999538,2.1152360290000027
83,1281.0,29.938,30.3,60.0,0.0,0.0,0.0,582.581080000003,2.1152360290000027
84,1281.0,30.3,30.39,60.0,-0.07,R,1.25,144.84059999999977,2.013847609000003
85,1281.0,30.39,30.954,60.0,0.0,R,1.25,907.66776,2.013847609000003
86,1281.0,30.954,31.47,60.0,0.0,0.0,0.0,830.4194399999972,2.013847609000003
87,1281.0,31.47,31.59,60.0,0.26,R,1.0,193.1208000000016,2.515961689000007
88,1281.0,31.59,31.765,60.0,-0.05,R,1.0,281.63450000000114,2.3751444390000067
89,1281.0,31.765,31.83,60.0,-0.05,0.0,0.0,104.60709999999634,2.3228408890000085
90,1281.0,31.83,31.93,60.0,0.09,0.0,0.0,160.93400000000227,2.4676814890000105
91,1281.0,31.93,31.98,60.0,0.23,0.0,0.0,80.46700000000114,2.652755589000013
92,1281.0,31.98,32.05,60.0,0.73,0.0,0.0,112.65379999999472,3.4751283289999746
93,1281.0,32.05,32.13,60.0,2.76,0.0,0.0,128.7472000000087,7.028551049000214
94,1281.0,32.13,32.21,60.0,-0.59,0.0,0.0,128.74719999999724,6.26894256900023
95,1281.0,32.21,32.25,60.0,-0.14,0.0,0.0,64.37359999999862,6.178819529000232
96,1281.0,32.25,32.32,60.0,-0.07,0.0,0.0,112.65380000000046,6.099961869000231
97,1281.0,32.32,32.848,60.0,0.0,L,0.96,849.7315199999979,6.099961869000231
98,1281.0,32.848,33.48,60.0,0.0,0.0,0.0,1017.1028799999966,6.099961869000231
99,1281.0,33.48,34.65,60.0,-0.0032,0.0,0.0,1882.927800000003,6.039708179400232
100,1281.0,34.65,35.0,60.0,0.0,0.0,0.0,563.2690000000023,6.039708179400232
101,1281.0,35.0,35.41,60.0,-0.03,0.0,0.0,659.8293999999945,5.841759359400234
102,1281.0,35.41,35.584,60.0,-0.02,R,1.05,280.0251600000106,5.785754327400231
103,1281.0,35.584,35.77,60.0,-0.02,0.0,0.0,299.3372399999999,5.725886879400231
104,1281.0,35.77,36.47,60.0,-0.03,0.0,0.0,1126.5379999999932,5.3879254794002325
105,1281.0,36.47,36.77,60.0,0.04,0.0,0.0,482.8020000000069,5.581046279400235
106,1281.0,36.77,36.83,60.0,0.19,0.0,0.0,96.5603999999922,5.764511039400221
107,1281.0,36.83,36.87,60.0,-0.34,0.0,0.0,64.37359999999862,5.545640799400226
108,1281.0,36.87,37.31,60.0,-0.02,0.0,0.0,708.1096000000077,5.404018879400224
109,1281.0,37.31,37.5,60.0,0.0,0.0,0.0,305.7745999999963,5.404018879400224
110,1281.0,37.5,37.61,60.0,0.03,0.0,0.0,177.02739999999906,5.457127099400224
111,1281.0,37.61,37.67,60.0,0.37,0.0,0.0,96.56040000000364,5.814400579400237
