,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,39.0,17.53,17.42,60.0,-0.66,L,1.53333,177.02739999999906,61.1214457279999
1,39.0,17.42,17.34,60.0,-0.24,L,1.53333,128.74720000000298,59.95306488799991
2,39.0,17.34,17.31,60.0,-0.51,L,1.53333,48.28020000000183,59.6440716079999
3,39.0,17.31,17.23,60.0,-1.12,L,1.53333,128.74719999999724,59.39784258799989
4,39.0,17.23,17.12,60.0,-0.66,L,1.53333,177.02739999999906,57.95587394799992
5,39.0,17.12,17.04,60.0,-0.99,0.0,0.0,128.74720000000298,56.78749310799993
6,39.0,17.04,16.96,60.0,-0.75,0.0,0.0,128.74719999999724,55.5128958279999
7,39.0,16.96,16.89,60.0,-0.49,0.0,0.0,112.65380000000046,54.54729182799992
8,39.0,16.89,16.836,60.0,-0.0,0.0,0.0,86.9043600000033,53.99528820799992
9,39.0,16.836,16.61,60.0,-0.0,L,2.03333,363.71083999999854,53.99528820799992
10,39.0,16.61,16.55,60.0,-0.33,L,2.03333,96.56039999999794,53.99528820799992
11,39.0,16.55,16.4,60.0,-0.0,0.0,0.0,241.40100000000345,53.67663888799993
12,39.0,16.4,16.36,60.0,-0.24,0.0,0.0,64.37359999999862,53.67663888799993
13,39.0,16.36,16.32,60.0,-0.49,0.0,0.0,64.37359999999862,53.52214224799993
14,39.0,16.32,16.28,60.0,-0.99,0.0,0.0,64.37359999999862,53.206711607999935
15,39.0,16.28,16.21,60.0,-0.75,0.0,0.0,112.65380000000046,52.56941296799995
16,39.0,16.21,16.194,60.0,-0.37,0.0,0.0,25.74944000000288,51.72450946799995
17,39.0,16.194,16.13,60.0,-0.37,R,3.56666,102.99776000000008,51.62923653999994
18,39.0,16.13,16.09,60.0,-0.99,R,3.56666,64.37359999999862,51.24814482799994
19,39.0,16.09,16.02,60.0,-0.5,R,3.56666,112.65380000000046,50.610846187999954
20,39.0,16.02,15.94,60.0,-0.37,R,3.56666,128.7472000000001,50.04757718799995
21,39.0,15.94,15.87,60.0,-0.69,R,3.56666,112.65380000000046,49.57121254799995
22,39.0,15.87,15.62,60.0,-0.36,0.0,0.0,402.335,48.79390132799995
23,39.0,15.62,15.55,60.0,-0.37,0.0,0.0,112.6537999999976,47.34549532799995
24,39.0,15.55,15.47,60.0,-0.74,0.0,0.0,128.7472000000001,46.928676267999954
25,39.0,15.47,15.43,60.0,-0.0,0.0,0.0,64.37360000000149,45.975946987999954
26,39.0,15.43,15.38,60.0,-0.49,0.0,0.0,80.46699999999828,45.975946987999954
27,39.0,15.38,15.2,60.0,-0.27,0.0,0.0,289.6812000000024,45.58165868799996
28,39.0,15.2,15.03,60.0,-0.5,0.0,0.0,273.58779999999985,44.79951944799996
29,39.0,15.03,15.011,60.0,-0.0,0.0,0.0,30.577460000000205,43.43158044799996
30,39.0,15.011,14.96,60.0,-0.0,L,3.06666,82.07633999999739,43.43158044799996
31,39.0,14.96,14.92,60.0,1.25,L,3.06666,64.37360000000149,43.43158044799996
