,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,2.0,60.222,60.59,60.0,0.14,0.0,0.0,592.2371200000033,58.01026964
1,2.0,60.59,60.84,60.0,0.29,0.0,0.0,402.335,59.17704114000001
2,2.0,60.84,61.12,60.0,0.0,0.0,0.0,450.6151999999904,59.17704114000001
3,2.0,61.12,61.151,60.0,0.06,R,0.5,49.88954000000951,59.20697486400001
4,2.0,61.151,61.5,60.0,0.06,0.0,0.0,561.6596599999946,59.54397066000001
5,2.0,61.5,62.26,60.0,0.12,0.0,0.0,1223.098399999997,61.01168874
6,2.0,62.26,63.02,60.0,0.24,0.0,0.0,1223.0984000000085,63.94712490000002
7,2.0,63.02,63.33,60.0,0.0,R,2.02083,498.8953999999922,63.94712490000002
8,2.0,63.33,63.58,60.0,0.0,0.0,0.0,402.335,63.94712490000002
9,2.0,63.58,64.34,60.0,0.16,0.0,0.0,1223.0984000000085,65.90408234000003
10,2.0,64.055,64.91,60.0,0.05,0.0,0.0,1375.9856999999834,66.59207519000002
11,2.0,64.91,64.981,60.0,0.2,R,1.03333,114.2631399999967,66.82060147000001
12,2.0,64.981,65.1,60.0,0.2,0.0,0.0,191.51145999999963,67.20362439000002
13,2.0,65.1,65.25,60.0,0.39,0.0,0.0,241.4010000000092,68.14508829000005
14,2.0,65.25,65.44,60.0,0.0,0.0,0.0,305.7745999999963,68.14508829000005
15,2.0,65.44,66.04,60.0,0.2,0.0,0.0,965.6040000000136,70.07629629000007
16,2.0,66.04,66.42,60.0,0.04,0.0,0.0,611.5491999999927,70.32091597000007
17,2.0,66.42,67.42,60.0,0.32,0.0,0.0,1609.34,75.47080397000008
18,2.0,67.143,67.74,50.0,0.0,0.0,0.0,960.7759799999906,75.47080397000008
19,2.0,67.74,67.996,50.0,0.39,L,3.03333,411.99104000000034,77.07756902600008
20,2.0,67.996,68.32,50.0,0.39,0.0,0.0,521.4261599999969,79.11113105000007
21,2.0,68.32,68.7,50.0,0.0,0.0,0.0,611.5492000000155,79.11113105000007
22,2.0,68.7,68.84,50.0,0.4,R,2.06666,225.3076000000009,80.01236145000007
23,2.0,68.84,69.26,50.0,0.4,0.0,0.0,675.9228000000027,82.71605265000008
24,2.0,69.26,69.74,50.0,0.0,0.0,0.0,772.4831999999835,82.71605265000008
25,2.0,69.697,70.75,50.0,0.39,0.0,0.0,1694.6350199999956,89.32512922800007
26,2.0,70.501,70.683,50.0,0.0,L,2.0,292.89988000000346,89.32512922800007
27,2.0,70.683,70.88,50.0,0.0,0.0,0.0,317.0399799999815,89.32512922800007
28,2.0,70.88,75.93,50.0,0.59,0.0,0.0,8127.167000000018,137.27541452800017
29,2.0,71.159,72.878,50.0,0.0,R,1.73,2766.45545999999,137.27541452800017
30,2.0,72.878,73.265,50.0,0.0,R,2.05,622.8145800000007,137.27541452800017
31,2.0,73.265,73.576,50.0,0.0,L,2.0,500.5047399999884,137.27541452800017
32,2.0,73.576,74.032,50.0,0.0,R,2.01666,733.8590400000049,137.27541452800017
33,2.0,74.032,74.867,50.0,0.0,L,2.135,1343.7989000000127,137.27541452800017
34,2.0,74.867,75.544,50.0,0.0,R,2.16666,1089.523179999988,137.27541452800017
35,2.0,75.544,76.19,50.0,0.0,0.0,0.0,1039.6336400000012,137.27541452800017
36,2.0,76.16,77.65,50.0,-0.18,0.0,0.0,2397.9166000000146,132.95916464800015
37,2.0,77.304,78.85,30.0,-0.51,0.0,0.0,2488.0396399999872,120.27016248400022
38,2.0,78.391,78.85,30.0,0.0,R,1.01666,738.6870599999822,120.27016248400022
39,2.0,78.85,78.969,30.0,-0.28,R,1.01666,191.51145999999963,119.73393039600022
40,2.0,78.969,79.69,30.0,-0.28,0.0,0.0,1160.3341400000058,116.4849948040002
41,2.0,79.484,80.46,30.0,0.0,0.0,0.0,1570.7158399999985,116.4849948040002
42,2.0,80.356,83.66,60.0,0.57,0.0,0.0,5317.259360000003,146.7933731560002
43,2.0,80.975,81.367,60.0,0.0,R,2.03333,630.8612800000162,146.7933731560002
44,2.0,81.367,82.101,60.0,0.0,R,2.15,1181.2555599999914,146.7933731560002
45,2.0,82.101,82.668,60.0,0.0,R,0.16,912.4957800000116,146.7933731560002
46,2.0,82.668,84.72,60.0,0.19,0.0,0.0,3302.365679999988,153.06786794800018
47,2.0,84.72,85.18,60.0,0.07,0.0,0.0,740.2964000000128,153.5860754280002
48,2.0,85.18,85.28,60.0,0.0,0.0,0.0,160.93399999999085,153.5860754280002
49,2.0,85.28,85.66,60.0,-0.19,0.0,0.0,611.5491999999927,152.4241319480002
50,2.0,85.66,86.08,60.0,0.0,0.0,0.0,675.9228000000027,152.4241319480002
51,2.0,86.08,86.72,60.0,0.41,0.0,0.0,1029.9776000000008,156.6470401080002
52,2.0,86.72,87.83,60.0,0.23,0.0,0.0,1786.367399999999,160.7556851280002
53,2.0,87.83,89.53,60.0,0.03,0.0,0.0,2735.878000000004,161.5764485280002
54,2.0,89.53,90.67,60.0,0.24,0.0,0.0,1834.647600000001,165.9796027680002
55,2.0,90.67,92.29,60.0,0.25,0.0,0.0,2607.130800000007,172.49742976800022
56,2.0,92.29,92.395,60.0,-0.12,L,0.50305,168.98069999998353,172.29465292800023
57,2.0,92.395,93.23,60.0,-0.12,0.0,0.0,1343.7989000000127,170.68209424800023
58,2.0,93.23,94.75,60.0,0.3,0.0,0.0,2446.1967999999933,178.0206846480002
59,2.0,94.75,95.3,60.0,0.4,0.0,0.0,885.1369999999954,181.56123264800016
60,2.0,95.3,95.53,60.0,-0.41,0.0,0.0,370.1482000000064,180.04362502800015
61,2.0,95.53,95.68,60.0,0.0,0.0,0.0,241.4010000000092,180.04362502800015
62,2.0,95.68,95.84,60.0,0.3,0.0,0.0,257.49439999999447,180.81610822800013
