,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,2.0,454.473,454.26,60.0,-0.0,L,1.0125,342.7894200000358,996.3278777531935
1,2.0,454.26,454.07,60.0,0.15,0.0,0.0,305.7745999999963,996.3278777531935
2,2.0,454.07,453.112,60.0,-0.0,0.0,0.0,1541.7477199999516,996.7865396531936
3,2.0,453.59,452.71,60.0,0.95,0.0,0.0,1416.2191999999925,996.7865396531936
4,2.0,452.71,452.55,60.0,0.25,0.0,0.0,257.4943999999488,1010.2406220531936
5,2.0,452.55,452.36,60.0,0.59,0.0,0.0,305.7745999999963,1010.8843580531936
6,2.0,452.36,451.992,60.0,0.7,0.0,0.0,592.2371199999919,1012.6884281931935
7,2.0,451.992,451.99,60.0,0.7,R,1.01666,3.2186800000153686,1016.8340880331934
8,2.0,451.99,451.63,60.0,0.57,R,1.01666,579.3624000000219,1016.8566187931935
9,2.0,451.63,451.28,60.0,0.72,0.0,0.0,563.2690000000366,1020.1589844731936
10,2.0,451.28,451.19,60.0,0.59,0.0,0.0,144.84059999995975,1024.214521273194
11,2.0,451.19,451.09,60.0,0.39,0.0,0.0,160.93400000003658,1025.0690808131938
12,2.0,451.09,451.0,60.0,0.2,0.0,0.0,144.84059999995975,1025.696723413194
13,2.0,451.0,450.91,60.0,-0.0,0.0,0.0,144.84059999995975,1025.9864046131938
14,2.0,450.91,450.72,60.0,-0.2,0.0,0.0,305.7745999999963,1025.9864046131938
15,2.0,450.72,450.57,60.0,-0.0,0.0,0.0,241.4010000000549,1025.374855413194
16,2.0,450.57,450.38,60.0,0.2,0.0,0.0,305.7745999999963,1025.374855413194
17,2.0,450.38,450.3,60.0,0.24,0.0,0.0,128.74719999997438,1025.9864046131938
18,2.0,450.3,450.15,60.0,0.49,0.0,0.0,241.4010000000549,1026.2953978931937
19,2.0,450.15,449.96,60.0,0.6,0.0,0.0,305.7745999999963,1027.478262793194
20,2.0,449.96,449.77,60.0,0.2,0.0,0.0,305.7745999999963,1029.312910393194
21,2.0,449.77,449.47,60.0,0.5,0.0,0.0,482.8019999999268,1029.924459593194
22,2.0,449.47,449.397,60.0,0.24,0.0,0.0,117.4818200000578,1032.3384695931936
23,2.0,449.397,449.32,60.0,0.24,R,1.01666,123.91917999999708,1032.620425961194
24,2.0,449.32,448.82,60.0,-0.0,0.0,0.0,804.67,1032.917831993194
25,2.0,448.82,448.6,60.0,-0.4,0.0,0.0,354.0547999999524,1032.917831993194
26,2.0,448.6,448.39,60.0,-0.19,0.0,0.0,337.9614000000585,1031.501612793194
27,2.0,448.39,448.26,60.0,-0.0,0.0,0.0,209.21419999999267,1030.859486133194
28,2.0,448.26,448.07,60.0,0.19,0.0,0.0,305.7745999999963,1030.859486133194
29,2.0,448.07,447.84,60.0,-0.0,0.0,0.0,370.1482000000293,1031.440457873194
30,2.0,447.84,447.8,60.0,-0.29,0.0,0.0,64.37359999994145,1031.440457873194
31,2.0,447.8,447.55,60.0,-0.6,0.0,0.0,402.335,1031.2537744331942
32,2.0,447.55,447.52,60.0,-0.29,0.0,0.0,48.28020000004757,1028.8397644331942
33,2.0,447.52,447.513,60.0,-0.0,0.0,0.0,11.265380000008047,1028.699751853194
34,2.0,447.513,447.35,60.0,-0.0,R,0.58333,262.32241999992607,1028.699751853194
35,2.0,447.35,446.97,60.0,-0.09,0.0,0.0,611.5491999999927,1028.699751853194
36,2.0,446.97,446.59,60.0,-0.0,0.0,0.0,611.5492000000842,1028.149357573194
37,2.0,446.59,446.4,60.0,0.2,0.0,0.0,305.7745999999963,1028.149357573194
38,2.0,446.4,446.21,60.0,-0.0,0.0,0.0,305.7745999999963,1028.760906773194
39,2.0,446.21,446.02,60.0,-0.2,0.0,0.0,305.7745999999963,1028.760906773194
40,2.0,446.02,445.83,60.0,-0.0,0.0,0.0,305.7745999999963,1028.149357573194
41,2.0,445.83,445.64,60.0,0.2,0.0,0.0,305.7745999999963,1028.149357573194
42,2.0,445.64,445.07,60.0,0.3,0.0,0.0,917.323799999989,1028.760906773194
43,2.0,445.07,444.9,60.0,0.19,0.0,0.0,273.5878000000256,1031.512878173194
44,2.0,444.9,444.87,60.0,0.41,0.0,0.0,48.28019999995609,1032.032694993194
45,2.0,444.87,444.79,60.0,0.59,0.0,0.0,128.74719999997438,1032.2306438131936
46,2.0,444.79,444.75,60.0,0.95,0.0,0.0,64.37360000003292,1032.9902522931934
47,2.0,444.75,444.22,60.0,-0.0,0.0,0.0,852.950199999956,1033.6018014931938
48,2.0,444.22,444.16,60.0,0.19,0.0,0.0,96.56040000000364,1033.6018014931938
49,2.0,444.16,443.37,60.0,0.24,0.0,0.0,1271.378600000033,1033.785266253194
50,2.0,443.37,443.31,60.0,0.33,0.0,0.0,96.56040000000364,1036.836574893194
51,2.0,443.31,443.08,60.0,0.5,0.0,0.0,370.1482000000293,1037.155224213194
52,2.0,443.08,442.99,60.0,0.2,0.0,0.0,144.84059999995975,1039.0059652131945
53,2.0,442.99,442.8,60.0,0.09,0.0,0.0,305.7745999999963,1039.2956464131942
54,2.0,442.8,442.76,60.0,0.3,0.0,0.0,64.37360000003292,1039.5708435531942
55,2.0,442.76,442.52,60.0,0.6,0.0,0.0,386.2416000000146,1039.7639643531943
56,2.0,442.52,442.48,60.0,0.29,0.0,0.0,64.37359999994145,1042.0814139531944
57,2.0,442.48,442.04,60.0,0.17,0.0,0.0,708.1095999999962,1042.2680973931942
58,2.0,442.04,442.01,60.0,-2.0,0.0,0.0,48.28020000004757,1043.4718837131943
59,2.0,442.01,441.95,60.0,0.33,0.0,0.0,96.56040000000364,1042.5062797131934
60,2.0,441.95,441.76,60.0,1.34,0.0,0.0,305.7745999999963,1042.8249290331937
61,2.0,441.76,441.74,60.0,0.52,0.0,0.0,32.186799999970724,1046.9223086731934
62,2.0,441.74,441.63,60.0,0.39,0.0,0.0,177.02740000002194,1047.0896800331932
63,2.0,441.63,441.47,60.0,0.19,0.0,0.0,257.4943999999488,1047.7800868931934
64,2.0,441.47,441.38,60.0,0.5,0.0,0.0,144.8406000000512,1048.2693262531932
65,2.0,441.38,439.959,60.0,0.69,0.0,0.0,2286.872139999988,1048.9935292531934
66,2.0,439.96,439.58,60.0,0.64,0.0,0.0,611.5491999999927,1064.7729470191932
67,2.0,439.58,439.2,60.0,0.7,0.0,0.0,611.5491999999927,1068.6868618991932
68,2.0,439.2,439.03,60.0,0.59,0.0,0.0,273.5878000000256,1072.9677062991932
69,2.0,439.03,438.99,60.0,0.29,0.0,0.0,64.37359999994145,1074.5818743191933
70,2.0,438.99,438.82,60.0,-0.0,0.0,0.0,273.5878000000256,1074.768557759193
71,2.0,438.82,438.78,60.0,0.34,0.0,0.0,64.37360000003292,1074.768557759193
72,2.0,438.78,437.985,60.0,0.7,0.0,0.0,1279.4252999999342,1074.9874279991932
73,2.0,437.985,437.95,60.0,0.7,L,1.01666,56.32690000004025,1083.943405099193
74,2.0,437.95,437.57,60.0,0.65,L,1.01666,611.5491999999927,1084.3376933991929
75,2.0,437.57,437.36,60.0,0.6,0.0,0.0,337.96139999996706,1088.312763199193
76,2.0,437.36,434.048,60.0,0.7,0.0,0.0,5330.134080000019,1090.340531599193
77,2.0,434.048,434.03,60.0,0.7,R,2.0,28.96812000004684,1127.6514701591927
78,2.0,434.03,433.65,60.0,0.59,R,2.0,611.5491999999927,1127.854246999193
79,2.0,433.65,433.42,60.0,-0.0,R,2.0,370.1481999999378,1131.462387279193
80,2.0,433.65,433.12,60.0,0.7,0.0,0.0,852.950199999956,1131.462387279193
81,2.0,433.12,433.06,60.0,0.06,0.0,0.0,96.56040000000364,1137.4330386791928
82,2.0,433.06,432.17,60.0,-0.6,0.0,0.0,1432.312599999978,1137.4909749191927
83,2.0,432.17,431.64,60.0,-0.14,0.0,0.0,852.9502000000475,1128.8970993191929
84,2.0,431.64,431.51,60.0,-0.57,0.0,0.0,209.21419999999267,1127.7029690391928
85,2.0,431.51,431.26,60.0,-0.37,0.0,0.0,402.335,1126.510448099193
86,2.0,431.26,431.21,60.0,-0.19,0.0,0.0,80.46700000001829,1125.0218085991928
87,2.0,431.21,431.203,60.0,-0.0,0.0,0.0,11.265380000008047,1124.8689212991928
88,2.0,431.203,431.15,60.0,-0.0,R,0.6,85.2950199999956,1124.8689212991928
89,2.0,431.15,431.11,60.0,-0.2,R,0.6,64.37359999994145,1124.8689212991928
90,2.0,431.11,431.09,60.0,-0.09,R,0.6,32.186800000062206,1124.740174099193
91,2.0,431.09,431.06,60.0,-0.0,R,0.6,48.28019999995609,1124.711205979193
92,2.0,431.06,430.825,60.0,-0.0,R,0.6,378.194900000022,1124.711205979193
93,2.0,430.825,430.73,60.0,-0.0,R,1.5,152.88729999995243,1124.711205979193
94,2.0,431.06,430.66,60.0,-0.1,0.0,0.0,643.7359999999634,1124.711205979193
95,2.0,430.66,430.49,60.0,-0.29,0.0,0.0,273.5878000000256,1124.067469979193
96,2.0,430.49,427.897,60.0,-0.59,0.0,0.0,4173.018620000028,1123.274065359193
97,2.0,427.897,427.86,60.0,-0.59,L,1.03333,59.54557999996414,1098.6532555011927
98,2.0,427.86,427.8,60.0,-0.23,L,1.03333,96.56040000000364,1098.301936579193
99,2.0,427.8,426.99,60.0,-0.6,0.0,0.0,1303.5654000000036,1098.0798476591929
100,2.0,426.99,426.89,60.0,-0.49,0.0,0.0,160.93400000003658,1090.258455259193
101,2.0,426.89,426.69,60.0,-0.0,0.0,0.0,321.8679999999817,1089.4698786591928
102,2.0,426.69,424.49,60.0,-0.6,0.0,0.0,3540.5479999999816,1089.4698786591928
103,2.0,424.49,424.3,60.0,-0.19,0.0,0.0,305.7745999999963,1068.2265906591929
104,2.0,424.3,423.35,60.0,-0.6,0.0,0.0,1528.8729999999816,1067.6456189191929
105,2.0,423.35,423.22,60.0,-0.0,0.0,0.0,209.21419999999267,1058.472380919193
106,2.0,423.22,422.97,60.0,-0.3,0.0,0.0,402.335,1058.472380919193
107,2.0,422.97,422.78,60.0,-0.4,0.0,0.0,305.7746000000878,1057.265375919193
108,2.0,422.78,422.519,60.0,-0.6,0.0,0.0,420.0377399999473,1056.0422775191928
109,2.0,422.519,422.35,60.0,-0.6,R,0.75,271.9784599999722,1053.522051079193
110,2.0,422.35,422.33,60.0,-0.2,R,0.75,32.186800000062206,1051.8901803191932
111,2.0,422.33,421.274,60.0,-0.0,0.0,0.0,1699.4630399999728,1051.825806719193
112,2.0,421.75,420.61,60.0,-0.39,0.0,0.0,1834.647599999978,1051.825806719193
113,2.0,420.61,420.48,60.0,-0.0,0.0,0.0,209.21419999999267,1044.6706810791932
114,2.0,420.48,420.29,60.0,0.09,0.0,0.0,305.7745999999963,1044.6706810791932
115,2.0,420.29,420.12,60.0,-0.0,0.0,0.0,273.5878000000256,1044.9458782191932
116,2.0,420.12,419.74,60.0,-0.39,0.0,0.0,611.5491999999927,1044.9458782191932
117,2.0,419.74,419.66,60.0,-0.24,0.0,0.0,128.74719999997438,1042.5608363391932
118,2.0,419.66,419.38,60.0,-0.0,0.0,0.0,450.61520000004754,1042.251843059193
119,2.0,419.38,418.9,60.0,-0.6,0.0,0.0,772.4832000000292,1042.251843059193
120,2.0,418.9,418.71,60.0,-0.29,0.0,0.0,305.7745999999963,1037.6169438591933
121,2.0,418.71,418.47,60.0,-0.0,0.0,0.0,386.2415999999232,1036.730197519193
122,2.0,418.47,417.99,60.0,-0.59,0.0,0.0,772.4832000000292,1036.730197519193
123,2.0,417.99,417.77,60.0,-0.5,0.0,0.0,354.0548000000439,1032.1725466391931
124,2.0,417.77,417.58,60.0,-0.3,0.0,0.0,305.7745999999963,1030.402272639193
125,2.0,417.58,417.39,60.0,-0.4,0.0,0.0,305.7745999999963,1029.4849488391928
126,2.0,417.39,417.2,60.0,-0.29,0.0,0.0,305.7745999999963,1028.2618504391928
127,2.0,417.2,417.01,60.0,0.1,0.0,0.0,305.7745999999963,1027.3751040991929
128,2.0,417.01,416.88,60.0,-0.0,0.0,0.0,209.21419999999267,1027.6808786991928
129,2.0,416.88,416.69,60.0,-0.5,0.0,0.0,305.7745999999963,1027.6808786991928
130,2.0,416.69,416.59,60.0,-0.19,0.0,0.0,160.93400000003658,1026.1520056991928
131,2.0,416.59,416.4,60.0,-0.0,0.0,0.0,305.7745999999963,1025.846231099193
132,2.0,416.4,416.21,60.0,0.19,0.0,0.0,305.7745999999963,1025.846231099193
133,2.0,416.21,416.18,60.0,-0.0,0.0,0.0,48.28019999995609,1026.427202839193
134,2.0,416.18,416.06,60.0,-0.33,0.0,0.0,193.1208000000073,1026.427202839193
135,2.0,416.06,415.87,60.0,-0.59,0.0,0.0,305.7745999999963,1025.7899041991927
136,2.0,415.87,415.76,60.0,-0.5,0.0,0.0,177.02740000002194,1023.9858340591928
137,2.0,415.76,415.68,60.0,-0.24,0.0,0.0,128.74719999997438,1023.1006970591928
138,2.0,415.68,415.61,60.0,-0.0,0.0,0.0,112.65379999998902,1022.7917037791927
139,2.0,415.61,415.5,60.0,-0.5,0.0,0.0,177.02740000002194,1022.7917037791927
140,2.0,415.5,414.74,60.0,-0.59,0.0,0.0,1223.0983999999853,1021.9065667791926
141,2.0,414.74,414.7,60.0,-0.49,0.0,0.0,64.37360000003292,1014.6902862191928
142,2.0,414.7,414.59,60.0,-0.0,0.0,0.0,177.02740000002194,1014.3748555791926
143,2.0,414.59,414.4,60.0,0.19,0.0,0.0,305.7745999999963,1014.3748555791926
144,2.0,414.4,414.28,60.0,-0.0,0.0,0.0,193.1208000000073,1014.9558273191926
145,2.0,414.28,414.09,60.0,-0.59,0.0,0.0,305.7745999999963,1014.9558273191926
146,2.0,414.09,413.6,60.0,-0.5,0.0,0.0,788.5765999999231,1013.1517571791926
147,2.0,413.6,413.41,60.0,-0.0,0.0,0.0,305.7745999999963,1009.208874179193
148,2.0,413.41,413.22,60.0,-0.3,0.0,0.0,305.7745999999963,1009.208874179193
149,2.0,413.22,413.13,60.0,-0.19,0.0,0.0,144.8406000000512,1008.291550379193
150,2.0,413.13,413.03,60.0,-0.4,0.0,0.0,160.93400000003658,1008.016353239193
151,2.0,413.03,412.84,60.0,-0.19,0.0,0.0,305.7745999999963,1007.3726172391928
152,2.0,412.84,412.65,60.0,-0.3,0.0,0.0,305.7745999999963,1006.7916454991928
153,2.0,412.65,412.46,60.0,-0.39,0.0,0.0,305.7745999999963,1005.8743216991928
154,2.0,412.46,412.27,60.0,-0.2,0.0,0.0,305.7745999999963,1004.6818007591928
155,2.0,412.27,412.2,60.0,-0.0,0.0,0.0,112.65379999998902,1004.0702515591928
156,2.0,412.2,411.73,60.0,-0.6,0.0,0.0,756.3897999999524,1004.0702515591928
157,2.0,411.73,411.57,60.0,-0.0,0.0,0.0,257.49440000004023,999.5319127591932
158,2.0,411.57,411.1,60.0,-0.6,0.0,0.0,756.3897999999524,999.5319127591932
159,2.0,411.1,410.99,60.0,-0.0,0.0,0.0,177.02740000002194,994.9935739591936
160,2.0,410.99,410.76,60.0,-0.5,0.0,0.0,370.1482000000293,994.9935739591936
161,2.0,410.76,410.57,60.0,-0.0,0.0,0.0,305.7745999999963,993.1428329591934
162,2.0,410.57,410.19,60.0,-0.25,0.0,0.0,611.5491999999927,993.1428329591934
163,2.0,410.19,410.0,60.0,-0.39,0.0,0.0,305.7745999999963,991.6139599591934
164,2.0,410.0,409.91,60.0,-0.2,0.0,0.0,144.84059999995975,990.4214390191934
165,2.0,409.91,409.72,60.0,-0.49,0.0,0.0,305.7745999999963,990.1317578191936
166,2.0,409.72,409.53,60.0,-0.4,0.0,0.0,305.7746000000878,988.6334622791936
167,2.0,409.53,409.25,60.0,-0.0,0.0,0.0,450.6151999999561,987.4103638791933
168,2.0,409.25,409.06,60.0,-0.49,0.0,0.0,305.7745999999963,987.4103638791933
169,2.0,409.06,408.96,60.0,-0.3,0.0,0.0,160.93400000003658,985.9120683391932
170,2.0,408.96,408.79,60.0,-0.49,0.0,0.0,273.58779999993413,985.4292663391932
171,2.0,408.79,408.58,60.0,-0.0,0.0,0.0,337.9614000000585,984.0886861191934
172,2.0,408.58,408.39,60.0,-0.29,0.0,0.0,305.7745999999963,984.0886861191934
173,2.0,408.39,408.11,60.0,-0.4,0.0,0.0,450.6151999999561,983.2019397791936
174,2.0,408.11,407.92,60.0,-0.3,0.0,0.0,305.7745999999963,981.3994789791936
175,2.0,407.92,407.82,60.0,-0.19,0.0,0.0,160.93400000003658,980.4821551791936
176,2.0,407.82,407.63,60.0,-0.5,0.0,0.0,305.7745999999963,980.1763805791936
177,2.0,407.63,407.35,60.0,-0.0,0.0,0.0,450.6151999999561,978.6475075791936
178,2.0,407.35,407.26,60.0,-0.19,0.0,0.0,144.8406000000512,978.6475075791936
179,2.0,407.26,406.59,60.0,-0.59,0.0,0.0,1078.2578000000256,978.3723104391936
180,2.0,406.59,406.4,60.0,-0.0,0.0,0.0,305.7745999999963,972.0105894191936
181,2.0,406.4,406.06,60.0,0.49,0.0,0.0,547.1755999999597,972.0105894191936
182,2.0,406.06,406.01,60.0,-0.0,0.0,0.0,80.46700000001829,974.6917498591932
183,2.0,406.01,405.82,60.0,-0.5,0.0,0.0,305.7745999999963,974.6917498591932
184,2.0,405.82,405.67,60.0,-0.19,0.0,0.0,241.4009999999634,973.1628768591931
185,2.0,405.67,405.65,60.0,-0.39,0.0,0.0,32.186800000062206,972.7042149591932
186,2.0,405.65,405.27,60.0,-0.59,0.0,0.0,611.5491999999927,972.5786864391932
187,2.0,405.27,405.19,60.0,-0.5,0.0,0.0,128.74719999997438,968.9705461591932
188,2.0,405.19,405.0,60.0,-0.29,0.0,0.0,305.7745999999963,968.3268101591932
189,2.0,405.0,404.81,60.0,-0.2,0.0,0.0,305.7745999999963,967.4400638191934
190,2.0,404.81,404.62,60.0,-0.29,0.0,0.0,305.7745999999963,966.8285146191934
191,2.0,404.62,404.25,60.0,-0.45,0.0,0.0,595.4558000000073,965.9417682791934
192,2.0,404.25,403.87,60.0,-0.24,0.0,0.0,611.5491999999927,963.2622171791934
193,2.0,403.87,403.68,60.0,-0.39,0.0,0.0,305.7745999999963,961.7944990991934
194,2.0,403.68,403.49,60.0,-0.3,0.0,0.0,305.7745999999963,960.6019781591934
195,2.0,403.49,403.11,60.0,-0.59,0.0,0.0,611.5491999999927,959.6846543591936
196,2.0,403.11,403.03,60.0,-0.0,0.0,0.0,128.74720000006585,956.0765140791935
197,2.0,403.03,402.81,60.0,-0.49,0.0,0.0,354.0547999999524,956.0765140791935
198,2.0,402.81,402.62,60.0,-0.15,0.0,0.0,305.7745999999963,954.3416455591938
199,2.0,402.62,402.54,60.0,-0.12,0.0,0.0,128.74719999997438,953.8829836591938
200,2.0,402.54,402.27,60.0,-0.5,0.0,0.0,434.52180000006217,953.7284870191938
201,2.0,402.27,402.1,60.0,-0.0,0.0,0.0,273.58779999993413,951.5558780191936
202,2.0,402.1,401.84,60.0,-0.5,0.0,0.0,418.4284000000768,951.5558780191936
203,2.0,401.84,401.73,60.0,-0.0,0.0,0.0,177.02739999993045,949.4637360191932
204,2.0,401.73,401.5,60.0,-0.49,0.0,0.0,370.1482000000293,949.4637360191932
205,2.0,401.5,401.42,60.0,-0.0,0.0,0.0,128.74719999997438,947.650009839193
206,2.0,401.42,401.33,60.0,0.39,0.0,0.0,144.8406000000512,947.650009839193
207,2.0,401.33,401.21,60.0,-0.0,0.0,0.0,193.1208000000073,948.2148881791932
208,2.0,401.21,400.65,60.0,-0.6,0.0,0.0,901.2304000000036,948.2148881791932
209,2.0,400.65,400.57,60.0,-0.49,0.0,0.0,128.74719999997438,942.8075057791932
210,2.0,400.57,400.38,60.0,-0.3,0.0,0.0,305.7745999999963,942.1766444991932
211,2.0,400.38,400.19,60.0,-0.2,0.0,0.0,305.7745999999963,941.2593206991932
212,2.0,400.19,399.96,60.0,-0.24,0.0,0.0,370.1482000000293,940.6477714991933
213,2.0,399.96,399.59,60.0,-0.35,0.0,0.0,595.4558000000073,939.7594158191932
214,2.0,399.59,399.21,60.0,-0.49,0.0,0.0,611.5491999999927,937.6753205191932
215,2.0,399.21,399.02,60.0,-0.29,0.0,0.0,305.7745999999963,934.6787294391931
216,2.0,399.02,398.54,60.0,-0.2,0.0,0.0,772.4831999999377,933.7919830991932
217,2.0,398.54,398.43,60.0,-0.0,0.0,0.0,177.02740000002194,932.2470166991934
218,2.0,398.43,398.41,60.0,-0.19,0.0,0.0,32.186799999970724,932.2470166991934
219,2.0,398.41,397.88,60.0,-0.6,0.0,0.0,852.9502000000475,932.1858617791936
220,2.0,397.88,397.69,60.0,-0.2,0.0,0.0,305.7745999999963,927.0681605791932
221,2.0,397.69,397.5,60.0,-0.59,0.0,0.0,305.7745999999963,926.4566113791932
222,2.0,397.5,397.31,60.0,-0.5,0.0,0.0,305.7745999999963,924.6525412391932
223,2.0,397.31,397.12,60.0,-0.0,0.0,0.0,305.7745999999963,923.1236682391932
224,2.0,397.12,396.37,60.0,-0.6,0.0,0.0,1207.005,923.1236682391932
225,2.0,396.37,396.18,60.0,-0.39,0.0,0.0,305.7745999999963,915.8816382391932
226,2.0,396.18,396.01,60.0,-0.0,0.0,0.0,273.5878000000256,914.6891172991932
227,2.0,396.01,395.82,60.0,0.2,0.0,0.0,305.7745999999963,914.6891172991932
228,2.0,395.82,395.78,60.0,-0.0,0.0,0.0,64.37360000003292,915.3006664991932
229,2.0,395.78,395.76,60.0,-0.2,0.0,0.0,32.186799999970724,915.3006664991932
230,2.0,395.76,395.479,60.0,-0.6,0.0,0.0,452.2245400000095,915.2362928991932
231,2.0,395.479,395.05,60.0,-0.6,L,1.0,690.4068599999575,912.5229456591932
232,2.0,395.05,394.67,60.0,-0.09,0.0,0.0,611.5491999999927,908.3805044991934
233,2.0,394.67,393.92,60.0,-0.6,0.0,0.0,1207.005,907.8301102191934
234,2.0,393.92,393.76,60.0,-0.49,0.0,0.0,257.49440000004023,900.5880802191934
235,2.0,393.76,393.61,60.0,-0.0,0.0,0.0,241.4009999999634,899.3263576591933
236,2.0,393.61,393.54,60.0,-0.24,0.0,0.0,112.65379999998902,899.3263576591933
237,2.0,393.54,393.37,60.0,-0.59,0.0,0.0,273.5878000000256,899.0559885391933
238,2.0,393.37,393.35,60.0,-0.59,R,1.01666,32.186799999970724,897.4418205191931
239,2.0,393.35,392.97,60.0,-0.55,R,1.01666,611.5491999999927,897.2519183991933
240,2.0,392.97,392.78,60.0,-0.59,0.0,0.0,305.7746000000878,893.8883977991933
241,2.0,392.78,392.59,60.0,-0.1,0.0,0.0,305.7745999999963,892.0843276591928
242,2.0,392.59,392.4,60.0,-0.49,0.0,0.0,305.7745999999963,891.7785530591929
243,2.0,392.4,392.21,60.0,-0.2,0.0,0.0,305.7745999999963,890.2802575191929
244,2.0,392.21,392.02,60.0,-0.4,0.0,0.0,305.7745999999963,889.6687083191929
245,2.0,392.02,391.83,60.0,-0.09,0.0,0.0,305.7745999999963,888.4456099191929
246,2.0,391.83,391.64,60.0,-0.6,0.0,0.0,305.7745999999963,888.1704127791928
247,2.0,391.64,391.44,60.0,-0.4,0.0,0.0,321.8679999999817,886.3357651791929
248,2.0,391.45,390.32,60.0,-0.59,0.0,0.0,1818.5541999999923,885.0482931791929
249,2.0,390.32,390.24,60.0,-0.24,0.0,0.0,128.74719999997438,874.318823399193
250,2.0,390.24,390.13,60.0,-0.0,0.0,0.0,177.02740000002194,874.009830119193
251,2.0,390.13,390.091,60.0,0.24,0.0,0.0,62.76425999997951,874.009830119193
252,2.0,390.091,389.9,60.0,0.24,L,1.01666,307.38394000004973,874.160464343193
253,2.0,389.9,389.88,60.0,-0.0,L,1.01666,32.186799999970724,874.8981857991931
254,2.0,389.88,389.84,60.0,-0.5,L,1.01666,64.37360000003292,874.8981857991931
255,2.0,389.84,389.09,60.0,-0.59,0.0,0.0,1207.005,874.576317799193
256,2.0,389.09,389.01,60.0,-0.24,0.0,0.0,128.74719999997438,867.454988299193
257,2.0,389.01,388.84,60.0,-0.0,0.0,0.0,273.5878000000256,867.145995019193
258,2.0,388.84,388.54,60.0,0.25,0.0,0.0,482.8019999999268,867.145995019193
259,2.0,388.54,388.52,60.0,-0.0,0.0,0.0,32.186800000062206,868.3530000191929
260,2.0,388.52,388.42,60.0,-0.39,0.0,0.0,160.93399999994512,868.3530000191929
261,2.0,388.42,388.382,60.0,-0.2,0.0,0.0,61.15492000001756,867.7253574191931
262,2.0,388.382,388.33,60.0,-0.2,R,1.01666,83.68568000003366,867.603047579193
263,2.0,388.33,387.1,60.0,-0.59,0.0,0.0,1979.4881999999377,867.4356762191929
264,2.0,387.1,386.91,60.0,-0.5,0.0,0.0,305.7745999999963,855.7566958391933
265,2.0,386.91,386.555,60.0,-0.3,0.0,0.0,571.3157000000292,854.2278228391933
266,2.0,386.72,384.877,60.0,-0.59,0.0,0.0,2966.0136200000284,852.5138757391933
267,2.0,384.877,384.63,60.0,-0.59,L,1.0,397.5069800000227,835.0143953811931
