,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,3.0,143.95,143.99,60.0,-0.19,0.0,0.0,64.37360000003292,-14.966540131999666
1,3.0,143.99,144.01,60.0,-0.5,0.0,0.0,32.186799999970724,-15.12747413199952
2,3.0,144.01,144.12,60.0,-0.28,0.0,0.0,177.02740000002194,-15.62315085199958
3,3.0,144.12,144.16,60.0,-0.2,0.0,0.0,64.37359999998719,-15.751898051999556
4,3.0,144.16,144.2,60.0,-0.09,0.0,0.0,64.37359999998719,-15.809834291999543
5,3.0,144.2,144.27,60.0,-0.04,0.0,0.0,112.65380000003476,-15.854895811999556
6,3.0,144.27,144.5,60.0,0.0,0.0,0.0,370.1481999999835,-15.854895811999556
7,3.0,144.5,144.54,60.0,-0.09,R,3.23,64.37359999998719,-15.912832051999544
8,3.0,144.54,144.64,60.0,-0.19,R,3.23,160.93399999999085,-16.218606651999526
9,3.0,144.64,144.67,60.0,0.0,R,3.23,48.28020000000183,-16.218606651999526
10,3.0,144.67,144.69,60.0,0.3,R,3.23,32.18680000001646,-16.122046251999475
11,3.0,144.69,144.73,60.0,0.1,R,3.23,64.37359999998719,-16.05767265199949
12,3.0,144.73,144.732,60.0,0.19,R,3.23,3.2186800000153686,-16.05155715999946
13,3.0,144.732,144.79,60.0,0.19,0.0,0.0,93.34171999998829,-15.874207891999484
14,3.0,144.79,144.84,60.0,0.36,0.0,0.0,80.46700000001829,-15.584526691999418
15,3.0,144.84,144.86,60.0,0.0,R,3.23,32.18680000001646,-15.584526691999418
16,3.0,144.86,144.88,60.0,0.0,0.0,0.0,32.186799999970724,-15.584526691999418
17,3.0,144.88,144.94,60.0,0.16,0.0,0.0,96.56040000000364,-15.430030051999411
18,3.0,144.909,144.94,60.0,0.0,L,1.9,49.88954000000951,-15.430030051999411
19,3.0,144.94,145.001,60.0,-0.04,L,1.9,98.16974000001134,-15.469297947999417
20,3.0,145.001,145.01,60.0,-0.04,0.0,0.0,14.484059999977678,-15.475091571999409
21,3.0,145.01,145.13,60.0,-0.1,0.0,0.0,193.1208000000073,-15.668212371999417
22,3.0,145.13,145.16,60.0,0.0,R,3.03,48.28020000000183,-15.668212371999417
23,3.0,145.16,145.18,60.0,-0.19,R,3.03,32.18680000001646,-15.729367291999448
24,3.0,145.18,145.203,60.0,0.1,R,3.03,37.014819999993776,-15.692352471999454
25,3.0,145.203,145.22,60.0,0.1,0.0,0.0,27.358779999993413,-15.66499369199946
26,3.0,145.22,145.28,60.0,0.0,0.0,0.0,96.56040000000364,-15.66499369199946
27,3.0,145.28,145.32,60.0,-0.09,0.0,0.0,64.37359999998719,-15.722929931999449
28,3.0,145.32,145.39,60.0,0.0,R,2.96,112.65379999998902,-15.722929931999449
29,3.0,145.39,145.43,60.0,-0.1,R,2.96,64.37360000003292,-15.787303531999482
30,3.0,145.43,145.51,60.0,0.0,R,2.96,128.74719999997438,-15.787303531999482
31,3.0,145.51,145.58,60.0,0.09,R,2.96,112.65380000003476,-15.685915111999453
32,3.0,145.58,145.596,60.0,0.0,R,2.96,25.74943999998573,-15.685915111999453
33,3.0,145.596,145.62,60.0,0.0,0.0,0.0,38.62416000000146,-15.685915111999453
34,3.0,145.62,145.7,60.0,0.09,0.0,0.0,128.74719999997438,-15.570042631999474
35,3.0,145.7,145.81,60.0,0.0,0.0,0.0,177.02740000002194,-15.570042631999474
36,3.0,145.81,146.04,60.0,0.14,0.0,0.0,370.1481999999835,-15.051835151999498
37,3.0,146.04,146.11,60.0,-0.04,0.0,0.0,112.65380000003476,-15.096896671999511
38,3.0,146.11,146.186,60.0,0.0,L,1.5,122.30983999998938,-15.096896671999511
39,3.0,146.186,146.23,60.0,0.0,0.0,0.0,70.81095999997218,-15.096896671999511
40,3.0,146.23,146.28,60.0,0.09,0.0,0.0,80.46700000001829,-15.024476371999494
41,3.0,146.28,146.32,60.0,-0.09,0.0,0.0,64.37359999998719,-15.082412611999482
42,3.0,146.32,146.36,60.0,0.1,R,1.0,64.37360000003292,-15.018039011999448
43,3.0,146.36,146.43,60.0,0.0,R,1.0,112.65379999998902,-15.018039011999448
44,3.0,146.43,146.49,60.0,-0.09,R,1.0,96.56040000000364,-15.104943371999452
45,3.0,146.49,146.55,60.0,0.0,R,1.0,96.56040000000364,-15.104943371999452
46,3.0,146.55,146.64,60.0,0.09,R,1.0,144.84059999995975,-14.974586831999488
47,3.0,146.64,146.697,60.0,0.0,R,1.0,91.73238000002634,-14.974586831999488
48,3.0,146.697,146.76,60.0,0.0,0.0,0.0,101.38841999998095,-14.974586831999488
49,3.0,146.76,146.85,60.0,0.09,0.0,0.0,144.84060000000548,-14.844230291999484
50,3.0,146.85,146.98,60.0,-0.09,0.0,0.0,209.21419999999267,-15.032523071999478
51,3.0,146.98,147.02,60.0,0.0,0.0,0.0,64.37360000003292,-15.032523071999478
52,3.0,147.02,147.14,60.0,-0.11,0.0,0.0,193.1207999999616,-15.244955951999437
53,3.0,147.14,147.21,60.0,0.0,L,1.05,112.65380000003476,-15.244955951999437
54,3.0,147.21,147.25,60.0,0.09,L,1.05,64.37359999998719,-15.187019711999447
55,3.0,147.25,147.29,60.0,0.0,L,1.05,64.37359999998719,-15.187019711999447
56,3.0,147.29,147.32,60.0,0.19,L,1.05,48.28020000000183,-15.095287331999444
57,3.0,147.32,147.38,60.0,0.1,L,1.05,96.56040000000364,-14.99872693199944
58,3.0,147.38,147.53,60.0,0.0,L,1.05,241.4010000000092,-14.99872693199944
59,3.0,147.53,147.61,60.0,-0.1,L,1.05,128.74720000002011,-15.12747413199946
60,3.0,147.61,147.64,60.0,-0.04,L,1.05,48.28019999995609,-15.146786211999444
61,3.0,147.64,147.7,60.0,0.09,L,1.05,96.56040000000364,-15.05988185199944
62,3.0,147.7,147.789,60.0,0.2,L,1.05,143.2312599999978,-14.773419331999444
63,3.0,147.789,147.82,60.0,0.2,0.0,0.0,49.88954000000951,-14.673640251999426
64,3.0,147.82,147.87,60.0,0.0,0.0,0.0,80.46700000001829,-14.673640251999426
65,3.0,147.87,147.98,60.0,0.05,0.0,0.0,177.0273999999762,-14.58512655199944
66,3.0,147.98,148.1,60.0,0.0,0.0,0.0,193.1208000000073,-14.58512655199944
67,3.0,148.1,148.14,60.0,-0.15,0.0,0.0,64.37359999998719,-14.68168695199942
68,3.0,148.14,148.33,60.0,0.0,0.0,0.0,305.7746000000421,-14.68168695199942
69,3.0,148.33,148.37,60.0,0.1,L,1.03333,64.37359999998719,-14.617313351999432
70,3.0,148.37,148.46,60.0,0.0,L,1.03333,144.84060000000548,-14.617313351999432
71,3.0,148.46,148.5,60.0,-0.1,L,1.03333,64.37359999998719,-14.68168695199942
72,3.0,148.5,148.69,60.0,0.06,L,1.03333,305.7745999999963,-14.49822219199942
73,3.0,148.69,148.697,60.0,0.0,L,1.03333,11.265380000008047,-14.49822219199942
74,3.0,148.697,149.05,60.0,0.0,0.0,0.0,568.0970200000139,-14.49822219199942
75,3.0,149.05,149.12,60.0,0.04,0.0,0.0,112.65379999998902,-14.453160671999424
76,3.0,149.12,149.26,60.0,0.0,L,1.01666,225.30759999997804,-14.453160671999424
77,3.0,149.26,149.35,60.0,-0.09,L,1.01666,144.84060000000548,-14.58351721199943
78,3.0,149.35,149.39,60.0,-0.19,L,1.01666,64.37359999998719,-14.705827051999403
79,3.0,149.39,149.43,60.0,-0.15,L,1.01666,64.37360000003292,-14.802387451999454
80,3.0,149.43,149.47,60.0,0.04,L,1.01666,64.37359999998719,-14.77663801199946
81,3.0,149.47,149.512,60.0,0.0,L,1.01666,67.59228000000256,-14.77663801199946
82,3.0,149.512,149.62,60.0,0.0,0.0,0.0,173.8087200000066,-14.77663801199946
83,3.0,149.62,149.79,60.0,0.09,0.0,0.0,273.58779999997984,-14.530408991999478
84,3.0,149.79,149.83,60.0,0.0,0.0,0.0,64.37360000003292,-14.530408991999478
85,3.0,149.83,149.9,60.0,0.15,0.0,0.0,112.65379999998902,-14.361428291999497
86,3.0,149.9,149.96,60.0,0.1,0.0,0.0,96.56040000000364,-14.264867891999492
87,3.0,149.96,150.34,60.0,0.0,0.0,0.0,611.5491999999927,-14.264867891999492
88,3.0,150.34,150.43,60.0,0.09,0.0,0.0,144.84060000000548,-14.134511351999487
89,3.0,150.43,150.64,60.0,0.19,0.0,0.0,337.96139999996706,-13.49238469199955
90,3.0,150.64,150.83,60.0,0.0,0.0,0.0,305.7746000000421,-13.49238469199955
91,3.0,150.83,150.9,60.0,-0.22,0.0,0.0,112.65379999998902,-13.740223051999529
92,3.0,150.9,150.98,60.0,-0.29,0.0,0.0,128.74719999997438,-14.113589931999453
93,3.0,150.98,151.04,60.0,-0.09,0.0,0.0,96.56040000000364,-14.200494291999457
94,3.0,151.04,151.21,60.0,-0.05,0.0,0.0,273.5878000000256,-14.33728819199947
95,3.0,151.21,151.55,60.0,0.0,0.0,0.0,547.1756000000055,-14.33728819199947
96,3.0,151.55,151.72,60.0,0.09,0.0,0.0,273.58779999997984,-14.091059171999488
97,3.0,151.72,151.83,60.0,0.2,0.0,0.0,177.02740000002194,-13.737004371999443
98,3.0,151.83,151.87,60.0,0.35,0.0,0.0,64.37359999998719,-13.511696771999487
99,3.0,151.87,152.13,60.0,0.21,0.0,0.0,418.4283999999853,-12.63299713199952
100,3.0,152.13,152.17,60.0,0.09,0.0,0.0,64.37359999998719,-12.575060891999533
101,3.0,152.17,152.31,60.0,0.0,0.0,0.0,225.30760000002377,-12.575060891999533
102,3.0,152.31,152.34,60.0,-0.09,R,1.05,48.28020000000183,-12.618513071999534
103,3.0,152.34,152.38,60.0,-0.2,R,1.05,64.37359999998719,-12.747260271999508
104,3.0,152.38,152.44,60.0,-0.26,R,1.05,96.56040000000364,-12.998317311999518
105,3.0,152.44,152.5,60.0,-0.2,R,1.05,96.56040000000364,-13.191438111999526
106,3.0,152.5,152.61,60.0,-0.09,R,1.05,177.02740000002194,-13.350762771999545
107,3.0,152.61,152.8,60.0,0.0,R,1.05,305.7745999999963,-13.350762771999545
108,3.0,152.8,152.91,60.0,0.09,R,1.05,177.0273999999762,-13.191438111999569
109,3.0,152.91,152.943,60.0,-0.04,R,1.05,53.10822000002488,-13.212681399999576
110,3.0,152.943,152.99,60.0,-0.04,0.0,0.0,75.63897999999524,-13.242936991999574
111,3.0,152.99,153.08,60.0,-0.16,0.0,0.0,144.84060000000548,-13.474681951999584
112,3.0,153.08,153.16,60.0,0.0,0.0,0.0,128.74719999997438,-13.474681951999584
113,3.0,153.16,153.29,60.0,0.11,0.0,0.0,209.21419999999267,-13.244546331999592
114,3.0,153.29,153.61,60.0,0.17,L,1.05,514.9888000000348,-12.369065371999532
115,3.0,153.61,153.69,60.0,0.15,L,1.05,128.74719999997438,-12.17594457199957
116,3.0,153.69,153.76,60.0,0.09,L,1.05,112.65379999998902,-12.07455615199958
117,3.0,153.76,153.808,60.0,0.25,L,1.05,77.24832000000292,-11.881435351999572
118,3.0,153.808,153.86,60.0,0.25,0.0,0.0,83.68568000003366,-11.672221151999487
119,3.0,153.86,153.88,60.0,0.1,0.0,0.0,32.186799999970724,-11.640034351999518
120,3.0,153.88,154.05,60.0,0.2,0.0,0.0,273.5878000000256,-11.092858751999469
121,3.0,154.05,154.33,60.0,0.02,0.0,0.0,450.6152000000018,-11.002735711999469
122,3.0,154.33,154.43,60.0,-0.09,0.0,0.0,160.93399999999085,-11.147576311999458
123,3.0,154.43,154.47,60.0,-0.29,0.0,0.0,64.37359999998719,-11.33425975199942
124,3.0,154.47,154.82,60.0,-0.2,0.0,0.0,563.2689999999908,-12.460797751999404
125,3.0,154.82,154.92,60.0,-0.1,0.0,0.0,160.93399999999085,-12.621731751999391
126,3.0,154.92,155.05,60.0,-0.08,0.0,0.0,209.2142000000384,-12.789103111999424
127,3.0,155.05,155.2,60.0,-0.02,0.0,0.0,241.4009999999634,-12.837383311999416
128,3.0,155.2,155.24,60.0,0.1,0.0,0.0,64.37360000003292,-12.773009711999384
129,3.0,155.24,155.66,60.0,0.2,0.0,0.0,675.9227999999798,-11.421164111999424
130,3.0,155.66,155.73,60.0,0.0,0.0,0.0,112.65379999998902,-11.421164111999424
131,3.0,155.73,155.81,60.0,-0.1,0.0,0.0,128.74720000002011,-11.549911311999445
132,3.0,155.81,155.94,60.0,-0.19,0.0,0.0,209.21419999999267,-11.947418291999432
133,3.0,155.94,156.17,60.0,-0.1,0.0,0.0,370.1481999999835,-12.317566491999417
134,3.0,156.17,156.45,60.0,0.0,R,0.5,450.6152000000018,-12.317566491999417
135,3.0,156.45,156.57,60.0,0.04,R,0.5,193.1208000000073,-12.240318171999412
136,3.0,156.57,156.756,60.0,0.0,R,0.5,299.3372400000113,-12.240318171999412
137,3.0,156.756,156.81,60.0,0.0,0.0,0.0,86.9043600000033,-12.240318171999412
138,3.0,156.81,156.89,60.0,0.04,0.0,0.0,128.74719999997438,-12.188819291999422
139,3.0,156.89,157.1,60.0,0.0,0.0,0.0,337.9614000000128,-12.188819291999422
140,3.0,157.1,157.15,60.0,-0.09,0.0,0.0,80.46700000001829,-12.26123959199944
141,3.0,157.15,157.27,60.0,0.0,0.0,0.0,193.1208000000073,-12.26123959199944
142,3.0,157.27,157.34,60.0,0.1,0.0,0.0,112.65379999998902,-12.14858579199945
143,3.0,157.34,157.51,60.0,0.22,0.0,0.0,273.58779999997984,-11.546692631999496
144,3.0,157.51,157.78,60.0,0.2,0.0,0.0,434.52180000001647,-10.67764903199946
145,3.0,157.78,157.86,60.0,0.22,0.0,0.0,128.74720000002011,-10.394405191999418
146,3.0,157.86,158.16,60.0,0.1,0.0,0.0,482.8019999999725,-9.911603191999443
147,3.0,158.16,158.2,60.0,0.0,0.0,0.0,64.37359999998719,-9.911603191999443
148,3.0,158.2,158.23,60.0,-0.1,0.0,0.0,48.28020000000183,-9.959883391999448
149,3.0,158.23,158.57,60.0,0.0,0.0,0.0,547.1756000000055,-9.959883391999448
150,3.0,158.57,158.63,60.0,0.09,0.0,0.0,96.56040000000364,-9.872979031999444
151,3.0,158.63,158.75,60.0,0.19,0.0,0.0,193.1208000000073,-9.50604951199943
152,3.0,158.75,158.92,60.0,0.12,0.0,0.0,273.58779999997984,-9.177744151999455
153,3.0,158.92,159.11,60.0,0.17,0.0,0.0,305.7746000000421,-8.657927331999383
154,3.0,159.11,159.18,60.0,0.1,0.0,0.0,112.65379999998902,-8.545273531999394
155,3.0,159.18,159.77,60.0,0.0,0.0,0.0,949.5106000000054,-8.545273531999394
156,3.0,159.77,159.86,60.0,0.09,0.0,0.0,144.84060000000548,-8.41491699199939
157,3.0,159.86,160.05,60.0,0.13,0.0,0.0,305.7745999999963,-8.017410011999393
158,3.0,160.05,160.35,60.0,0.21,0.0,0.0,482.8019999999725,-7.003525811999452
159,3.0,160.35,160.689,60.0,0.19,L,1.06666,545.5662599999978,-5.966949917999456
160,3.0,160.689,160.75,60.0,0.19,0.0,0.0,98.16974000001134,-5.780427411999434
