,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,48.0,126.96,126.19,49.0,-0.41,0.0,0.0,1239.1917999999937,341.3274955440003
1,48.0,126.19,125.95,49.0,-0.29,0.0,0.0,386.24159999999176,336.24680916400035
2,48.0,125.95,125.7,49.0,-0.34,0.0,0.0,402.335,335.1267085240004
3,48.0,125.7,125.55,49.0,-0.27,0.0,0.0,241.4010000000092,333.7587695240004
4,48.0,125.55,125.4,49.0,-0.42,0.0,0.0,241.40099999998623,333.1069868240004
5,48.0,125.4,125.31,49.0,-0.35,0.0,0.0,144.84060000000548,332.09310262400044
6,48.0,125.31,125.05,49.0,-0.32,0.0,0.0,418.4284000000082,331.58616052400043
7,48.0,125.05,124.95,49.0,-0.37,0.0,0.0,160.93399999999085,330.2471896440004
8,48.0,124.95,124.14,49.0,-0.24,0.0,0.0,1303.5654000000036,329.65173384400043
9,48.0,124.14,124.01,49.0,-0.25,0.0,0.0,209.21419999999267,326.5231768840004
10,48.0,124.01,123.51,49.0,-0.38,0.0,0.0,804.67,326.0001413840004
11,48.0,123.51,123.06,49.0,-0.23,0.0,0.0,724.2030000000045,322.9423953840004
12,48.0,123.06,122.6,49.0,-0.27,0.0,0.0,740.2964000000128,321.2767284840004
13,48.0,122.6,122.416,49.0,-0.34,0.0,0.0,296.118559999996,319.2779282040004
14,48.0,122.416,122.19,49.0,-0.34,R,0.5,363.71083999999854,318.2711251000004
15,48.0,122.19,122.09,49.0,-0.12,R,0.5,160.93399999999085,317.0345082440004
16,48.0,122.09,121.77,49.0,-0.22,0.0,0.0,514.9888000000119,316.8413874440004
17,48.0,121.77,121.54,49.0,-0.13,0.0,0.0,370.1481999999835,315.7084120840004
18,48.0,121.54,121.35,49.0,-0.2,0.0,0.0,305.7746000000192,315.2272194240004
19,48.0,121.35,121.075,49.0,-0.12,0.0,0.0,442.5684999999863,314.6156702240004
20,48.0,121.075,120.98,49.0,-0.12,L,3.2,152.88729999999816,314.0845880240004
21,48.0,120.98,120.86,49.0,-0.23,0.0,0.0,193.1208000000073,313.90112326400043
22,48.0,120.86,120.684,49.0,-0.09,0.0,0.0,283.2438400000031,313.4569454240004
23,48.0,120.684,120.67,49.0,-0.09,L,5.4,22.53075999999323,313.20202596800044
24,48.0,120.67,120.44,49.0,-0.15,0.0,0.0,370.1482000000064,313.18174828400043
25,48.0,120.44,120.214,49.0,-0.0,0.0,0.0,363.71083999999854,312.6265259840004
26,48.0,120.35,119.89,49.0,0.15,0.0,0.0,740.29639999999,312.6265259840004
27,48.0,119.89,119.857,49.0,-0.0,0.0,0.0,53.10822000000201,313.7369705840004
28,48.0,119.857,119.78,49.0,-0.0,R,5.35,123.91917999999708,313.7369705840004
29,48.0,119.78,119.72,49.0,-0.29,R,5.35,96.56040000000364,313.7369705840004
30,48.0,119.72,119.635,49.0,-0.51,0.0,0.0,136.79389999998992,313.4569454240004
31,48.0,119.635,119.57,49.0,-0.51,L,6.73333,104.6071000000192,312.75929653400044
32,48.0,119.57,119.16,49.0,-0.38,L,6.73333,659.8293999999945,312.2258003240003
33,48.0,119.16,119.069,49.0,-0.32,0.0,0.0,146.4499399999903,309.71844860400034
34,48.0,119.069,119.01,49.0,-0.32,R,2.5,94.95105999999598,309.2498087960004
35,48.0,119.01,118.78,49.0,-0.35,R,2.5,370.1482000000064,308.9459654040004
36,48.0,118.78,118.58,49.0,-0.37,0.0,0.0,321.86800000000454,307.6504467040004
37,48.0,118.58,118.5,49.0,-0.37,L,3.3,128.74719999999724,306.4595351040004
38,48.0,118.5,118.42,49.0,-0.14,0.0,0.0,128.74719999999724,305.9831704640004
39,48.0,118.42,118.357,49.0,-0.24,0.0,0.0,101.38842000000383,305.8029243840004
40,48.0,118.357,118.13,49.0,-0.24,L,6.06,365.3201800000062,305.5595921760004
41,48.0,118.13,117.96,49.0,-0.26,L,6.06,273.58780000000274,304.6828237440004
42,48.0,117.96,117.85,49.0,-0.16,L,6.06,177.02739999999906,303.9714954640003
43,48.0,117.85,117.75,49.0,-0.33,0.0,0.0,160.93399999999085,303.6882516240003
44,48.0,117.75,117.73,49.0,-0.26,0.0,0.0,32.1867999999936,303.1571694240004
45,48.0,117.73,117.25,49.0,-0.26,R,6.1,772.4832000000064,303.0734837440004
46,48.0,117.25,117.14,49.0,-0.35,R,6.1,177.02739999999906,301.0650274240004
47,48.0,117.14,116.52,49.0,-0.29,R,6.1,997.7908000000072,300.4454315240004
48,48.0,116.52,116.24,49.0,-0.17,0.0,0.0,450.6152000000018,297.5518382040004
49,48.0,116.24,116.209,49.0,-0.18,0.0,0.0,49.88953999998664,296.7857923640004
50,48.0,116.209,116.05,49.0,-0.18,L,7.93,255.88506000000967,296.6959911920004
51,48.0,116.05,115.92,49.0,-0.21,L,7.93,209.21419999999267,296.2353980840004
52,48.0,115.92,115.73,49.0,-0.35,L,7.93,305.7745999999963,295.79604826400043
53,48.0,115.73,115.58,49.0,-0.24,L,7.93,241.4010000000092,294.72583716400044
54,48.0,115.58,115.39,49.0,-0.34,L,7.93,305.7745999999963,294.1464747640004
55,48.0,115.39,115.077,49.0,-0.0,0.0,0.0,503.72342000000384,293.1068411240004
56,48.0,115.077,114.91,49.0,-0.0,R,4.11666,268.75978000000254,293.1068411240004
57,48.0,114.91,114.84,49.0,0.2,0.0,0.0,112.65379999998902,293.1068411240004
58,48.0,114.84,114.78,49.0,-0.0,0.0,0.0,96.56040000000364,293.3321487240004
59,48.0,114.78,114.757,49.0,-0.27,0.0,0.0,37.014819999993776,293.3321487240004
60,48.0,114.757,114.73,49.0,-0.27,R,6.16666,43.45218000000165,293.2322087100004
61,48.0,114.73,114.58,49.0,-0.49,0.0,0.0,241.4010000000092,293.1148878240004
62,48.0,114.58,114.47,49.0,-0.37,0.0,0.0,177.02739999999906,291.9320229240004
63,48.0,114.47,114.25,49.0,-0.37,R,1.73333,354.0547999999981,291.2770215440004
64,48.0,114.25,114.032,49.0,-0.44,0.0,0.0,350.8361200000057,289.9670187840004
65,48.0,114.032,114.02,49.0,-0.44,L,5.53333,19.31208000000073,288.4233398560004
66,48.0,114.02,113.68,49.0,-0.23,L,5.53333,547.1755999999826,288.3383667040004
67,48.0,113.68,113.57,49.0,-0.0,L,5.53333,177.02740000002194,287.07986282400043
68,48.0,113.57,113.455,49.0,-0.3,0.0,0.0,185.0740999999917,287.07986282400043
69,48.0,113.49,113.28,49.0,-0.0,0.0,0.0,337.9613999999899,286.52464052400046
70,48.0,113.28,113.252,49.0,-0.18,0.0,0.0,45.06152000000933,286.52464052400046
71,48.0,113.252,113.15,49.0,-0.18,R,5.15,164.15267999998335,286.44352978800043
72,48.0,113.15,113.02,49.0,-0.3,R,5.15,209.21420000001555,286.14805496400044
73,48.0,113.02,112.9,49.0,-0.44,R,5.15,193.12079999998443,285.5204123640004
74,48.0,112.9,112.85,49.0,-0.33,R,5.15,80.46700000001829,284.67068084400046
75,48.0,112.85,112.77,49.0,-0.42,R,5.15,128.74719999999724,284.4051397440004
76,48.0,112.77,112.65,49.0,-0.55,0.0,0.0,193.12079999998443,283.8644015040004
77,48.0,112.65,112.535,49.0,-0.28,0.0,0.0,185.07410000001465,282.8022371040005
78,48.0,112.535,112.47,49.0,-0.28,R,5.66666,104.60709999999634,282.2840296240004
79,48.0,112.47,112.423,49.0,-0.0,0.0,0.0,75.63897999999524,281.99112974400043
80,48.0,112.423,112.34,49.0,-0.0,L,7.56666,133.57521999999744,281.99112974400043
81,48.0,112.34,112.213,49.0,-0.17,0.0,0.0,204.38618000001537,281.99112974400043
82,48.0,112.213,112.21,49.0,-0.17,L,5.93333,4.828020000000183,281.6436732380004
83,48.0,112.21,112.1,49.0,-0.35,L,5.93333,177.02739999999906,281.63546560400044
84,48.0,112.1,112.0,49.0,-0.28,L,5.93333,160.93399999999085,281.01586970400047
85,48.0,112.0,111.992,49.0,-0.28,0.0,0.0,12.874719999992864,280.5652545040005
86,48.0,111.992,111.87,49.0,-0.28,R,8.66,196.3394799999998,280.5292052880005
87,48.0,111.87,111.57,49.0,-0.0,R,8.66,482.8020000000183,279.9794547440005
88,48.0,111.57,111.39,49.0,-0.18,R,8.66,289.6811999999881,279.9794547440005
89,48.0,111.39,111.32,49.0,-0.34,0.0,0.0,112.65380000001188,279.45802858400054
90,48.0,111.32,111.263,49.0,-0.24,0.0,0.0,91.7323799999806,279.0750056640005
91,48.0,111.263,111.22,49.0,-0.24,L,6.43333,69.20162000001024,278.85484795200057
92,48.0,111.22,111.12,49.0,-0.27,L,6.43333,160.93399999999085,278.68876406400057
93,48.0,111.12,111.05,49.0,-0.4,L,6.43333,112.65380000001188,278.2542422640006
94,48.0,111.05,110.95,49.0,-0.21,L,6.43333,160.93399999999085,277.8036270640005
95,48.0,110.95,110.88,49.0,-0.5,L,6.43333,112.65380000001188,277.46566566400054
96,48.0,110.88,110.8,49.0,-0.47,0.0,0.0,128.74719999999724,276.9023966640005
97,48.0,110.8,110.71,49.0,-0.58,0.0,0.0,144.84060000000548,276.2972848240005
98,48.0,110.71,110.65,49.0,-0.29,0.0,0.0,96.5603999999808,275.45720934400043
99,48.0,110.65,110.55,49.0,-0.15,0.0,0.0,160.93400000001373,275.1771841840005
100,48.0,110.55,110.498,49.0,-0.0,0.0,0.0,83.68567999998793,274.9357831840005
101,48.0,110.498,110.48,49.0,-0.0,R,3.05,28.968120000001097,274.9357831840005
102,48.0,110.48,110.37,49.0,-0.14,R,3.05,177.02739999999906,274.9357831840005
103,48.0,110.37,110.31,49.0,-0.3,R,3.05,96.56040000000364,274.6879448240005
104,48.0,110.31,110.23,49.0,-0.17,0.0,0.0,128.74719999999724,274.3982636240005
105,48.0,110.23,110.199,49.0,-0.13,0.0,0.0,49.88954000000951,274.1793933840005
106,48.0,110.199,110.18,49.0,-0.13,R,2.61666,30.577459999985912,274.11453698200046
107,48.0,110.18,110.07,49.0,-0.16,R,2.61666,177.02740000002194,274.0747862840005
108,48.0,110.07,110.016,49.0,-0.0,R,2.61666,86.90435999998041,273.79154244400047
109,48.0,110.07,109.793,49.0,-0.0,0.0,0.0,445.7871799999788,273.79154244400047
110,48.0,109.793,109.42,49.0,-0.0,L,5.0,600.2838200000075,273.79154244400047
111,48.0,109.42,109.344,49.0,-0.24,0.0,0.0,122.30984000001226,273.79154244400047
112,48.0,109.344,109.32,49.0,-0.24,R,6.3,38.62416000000146,273.49799882800045
113,48.0,109.32,109.2,49.0,-0.5,R,6.3,193.12079999998443,273.40530084400046
114,48.0,109.2,109.11,49.0,-0.72,0.0,0.0,144.84060000000548,272.43969684400054
115,48.0,109.11,108.98,49.0,-0.61,0.0,0.0,209.21419999999267,271.39684452400047
116,48.0,108.98,108.92,49.0,-0.56,0.0,0.0,96.56040000000364,270.1206379040005
117,48.0,108.92,108.81,49.0,-0.4,0.0,0.0,177.02739999999906,269.5798996640005
118,48.0,108.81,108.763,49.0,-0.27,0.0,0.0,75.63897999999524,268.8717900640005
119,48.0,108.763,108.74,49.0,-0.27,R,4.0,37.01482000001665,268.6675648180005
120,48.0,108.74,108.66,49.0,-0.19,R,4.0,128.74719999999724,268.5676248040005
121,48.0,108.66,108.47,49.0,-0.02,R,4.0,305.7745999999963,268.32300512400053
122,48.0,108.47,108.34,49.0,-0.14,R,4.0,209.21419999999267,268.2618502040005
123,48.0,108.34,108.28,49.0,-0.2,R,4.0,96.56040000000364,267.96895032400056
124,48.0,108.28,108.19,49.0,-0.03,R,4.0,144.84060000000548,267.7758295240005
125,48.0,108.19,108.07,49.0,-0.19,0.0,0.0,193.1208000000073,267.7323773440005
126,48.0,108.07,108.02,49.0,-0.26,0.0,0.0,80.46699999999542,267.3654478240005
127,48.0,108.02,107.94,49.0,-0.2,0.0,0.0,128.74719999999724,267.1562336240005
128,48.0,107.94,107.718,49.0,-0.07,0.0,0.0,357.2734799999906,266.89873922400056
129,48.0,107.718,107.7,49.0,-0.07,L,6.23,28.968120000001097,266.6486477880006
130,48.0,107.7,107.51,49.0,-0.0,L,6.23,305.7745999999963,266.62837010400057
131,48.0,107.51,107.39,49.0,-0.0,L,6.23,193.1208000000073,266.62837010400057
132,48.0,107.39,107.16,49.0,-0.05,L,6.23,370.1482000000064,266.62837010400057
133,48.0,107.16,107.11,49.0,-0.96,L,6.23,80.46699999999542,266.44329600400056
134,48.0,107.11,106.92,49.0,-0.28,L,6.23,305.7745999999963,265.6708128040006
135,48.0,106.92,106.763,49.0,-0.22,0.0,0.0,252.66637999999432,264.8146439240006
136,48.0,106.763,106.62,49.0,-0.22,L,4.66666,230.1356200000011,264.2587778880006
137,48.0,106.62,106.525,49.0,-0.36,0.0,0.0,152.88729999999816,263.75247952400065
138,48.0,106.525,106.52,49.0,-0.36,R,4.0,8.046700000015552,263.20208524400067
139,48.0,106.52,106.43,49.0,-0.34,R,4.0,144.8405999999826,263.1731171240006
140,48.0,106.43,106.31,49.0,-0.31,R,4.0,193.1208000000073,262.6806590840007
141,48.0,106.31,106.2,49.0,-0.26,R,4.0,177.02739999999906,262.0819846040007
142,48.0,106.2,106.13,49.0,-0.12,R,4.0,112.65380000001188,261.6217133640007
143,48.0,106.13,105.51,49.0,0.0058,0.0,0.0,997.7907999999844,261.48652880400067
144,48.0,105.51,105.48,49.0,0.0058,L,8.03333,48.28020000000183,261.54440067040065
