,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7208.0,0.0,0.148,49.0,0.0,L,6.03,238.18232,0.0
1,7208.0,0.148,0.52,49.0,0.0,L,4.06666,598.67448,0.0
2,7208.0,0.52,0.725,49.0,-0.37,L,4.06666,329.9146999999999,-1.2206843899999995
3,7208.0,0.725,1.12,49.0,-0.37,0.0,0.0,635.6893000000002,-3.5727348000000005
4,7208.0,1.12,1.28,49.0,0.0,0.0,0.0,257.49439999999987,-3.5727348000000005
5,7208.0,1.28,1.305,49.0,-1.49,L,4.11666,40.23349999999986,-4.172213949999998
6,7208.0,1.305,1.51,49.0,-1.49,0.0,0.0,329.9147000000001,-9.08794298
7,7208.0,1.51,1.61,49.0,-1.33,L,4.16777,160.93400000000014,-11.22836518
8,7208.0,1.61,1.634,49.0,-2.62,L,4.16777,38.62415999999968,-12.240318171999991
9,7208.0,1.634,1.8,49.0,-2.62,0.0,0.0,267.15044000000023,-19.2396597
10,7208.0,1.8,2.4,49.0,1.5,0.0,0.0,965.6039999999996,-4.755599700000003
11,7208.0,2.4,2.55,49.0,1.34,R,4.09166,241.40099999999984,-1.5208263000000048
12,7208.0,2.55,2.572,49.0,1.52,R,4.09166,35.40548000000039,-0.982663003999999
13,7208.0,2.572,2.79,49.0,1.52,0.0,0.0,350.83611999999994,4.350046020000001
14,7208.0,2.79,3.14,49.0,0.0,0.0,0.0,563.2690000000001,4.350046020000001
15,7208.0,3.14,3.3,49.0,0.17,0.0,0.0,257.4943999999995,4.7877865
16,7208.0,3.3,3.47,49.0,0.44,0.0,0.0,273.5878000000006,5.991572820000003
17,7208.0,3.47,3.71,49.0,0.87,0.0,0.0,386.2415999999996,9.35187474
18,7208.0,3.71,3.88,49.0,0.78,0.0,0.0,273.58779999999985,11.485859579999998
19,7208.0,3.88,4.0,49.0,1.02,0.0,0.0,193.12080000000017,13.45569174
20,7208.0,4.0,4.07,49.0,0.12,R,2.00555,112.65380000000046,13.5908763
21,7208.0,4.07,4.29,49.0,0.64,R,2.00555,354.0547999999996,15.856827019999995
22,7208.0,4.29,4.295,49.0,-0.79,R,2.00555,8.046699999999827,15.793258089999998
23,7208.0,4.295,4.64,49.0,-0.79,0.0,0.0,555.2222999999996,11.407001920000004
24,7208.0,4.64,4.81,49.0,0.91,0.0,0.0,273.58779999999985,13.8966509
25,7208.0,4.81,4.9,49.0,0.97,0.0,0.0,144.8406000000012,15.301604720000013
26,7208.0,4.9,5.01,49.0,0.56,L,3.01666,177.02739999999906,16.29295816000001
27,7208.0,5.01,5.09,49.0,0.69,L,3.01666,128.7472000000001,17.18131384000001
28,7208.0,5.09,5.35,49.0,0.69,0.0,0.0,418.4283999999996,20.06846980000001
29,7208.0,5.35,5.49,49.0,-0.06,0.0,0.0,225.3076000000009,19.933285240000007
30,7208.0,5.49,5.58,49.0,0.05,0.0,0.0,144.84059999999977,20.005705540000008
31,7208.0,5.58,5.72,49.0,0.45,0.0,0.0,225.30759999999947,21.019589740000004
32,7208.0,5.72,5.87,49.0,0.43,L,4.04166,241.4010000000005,22.057614040000008
33,7208.0,5.87,5.927,49.0,0.63,L,4.04166,91.73237999999918,22.635528034000004
34,7208.0,5.927,5.96,49.0,0.63,0.0,0.0,53.10822000000058,22.97010982000001
35,7208.0,5.96,6.17,49.0,0.84,0.0,0.0,337.9613999999999,25.80898558000001
36,7208.0,6.17,6.49,49.0,0.7,0.0,0.0,514.9888000000004,29.413907180000013
37,7208.0,6.49,6.58,49.0,0.35,0.0,0.0,144.84059999999977,29.920849280000013
38,7208.0,6.58,6.67,49.0,0.0,0.0,0.0,144.84059999999977,29.920849280000013
39,7208.0,6.67,6.84,49.0,-1.4,0.0,0.0,273.58779999999985,26.09062008000001
40,7208.0,6.84,6.97,49.0,-1.58,0.0,0.0,209.2141999999998,22.785035720000018
41,7208.0,6.97,7.19,49.0,-1.39,0.0,0.0,354.054800000001,17.863674000000003
42,7208.0,7.19,7.29,49.0,-3.24,0.0,0.0,160.93399999999943,12.64941240000002
43,7208.0,7.29,7.57,49.0,-0.43,0.0,0.0,450.6152000000004,10.71176704000002
44,7208.0,7.57,7.72,49.0,-1.15,0.0,0.0,241.4009999999992,7.935655540000029
45,7208.0,7.72,7.79,49.0,-0.96,0.0,0.0,112.65380000000046,6.854179060000025
46,7208.0,7.79,7.92,49.0,-0.24,0.0,0.0,209.2141999999998,6.3520649800000255
47,7208.0,7.92,7.95,49.0,0.26,R,4.06666,48.2802000000004,6.477593500000027
48,7208.0,7.95,8.06,49.0,0.16,R,4.06666,177.0274000000005,6.760837340000028
49,7208.0,8.06,8.114,49.0,-0.47,R,4.06666,86.90436000000042,6.352386848000026
50,7208.0,8.114,8.16,49.0,-0.47,0.0,0.0,74.02963999999899,6.00444754000003
51,7208.0,8.16,8.23,49.0,-0.12,0.0,0.0,112.65380000000046,5.8692629800000296
52,7208.0,8.23,8.54,49.0,-1.48,0.0,0.0,498.8953999999979,-1.5143889399999395
53,7208.0,8.54,8.8,49.0,-0.22,0.0,0.0,418.4284000000025,-2.434931419999945
54,7208.0,8.8,8.93,49.0,0.78,0.0,0.0,209.2141999999984,-0.8030606599999579
55,7208.0,8.93,9.12,49.0,0.93,0.0,0.0,305.7745999999992,2.040643120000034
56,7208.0,9.12,9.3,49.0,-0.06,L,4.01527,289.6812000000024,1.8668344000000328
57,7208.0,9.3,9.374,49.0,-1.43,L,4.01527,119.09115999999976,0.1638308120000364
58,7208.0,9.374,9.47,49.0,-1.43,0.0,0.0,154.49664000000013,-2.045471139999965
59,7208.0,9.47,9.6,49.0,-1.33,0.0,0.0,209.2141999999984,-4.828019999999944
60,7208.0,9.6,9.7,49.0,-0.85,R,4.0236,160.93399999999943,-6.195958999999939
61,7208.0,9.7,9.83,49.0,1.08,R,4.0236,209.21420000000128,-3.9364456399999255
62,7208.0,9.83,9.926,49.0,0.51,R,4.0236,154.49664000000013,-3.148512775999925
63,7208.0,9.926,10.08,49.0,0.51,0.0,0.0,247.83835999999985,-1.8845371399999256
64,7208.0,10.08,10.3,49.0,0.0,0.0,0.0,354.054800000001,-1.8845371399999256
65,7208.0,10.3,10.43,49.0,0.51,0.0,0.0,209.2141999999984,-0.8175447199999339
66,7208.0,10.43,10.47,49.0,0.25,0.0,0.0,64.37360000000149,-0.6566107199999303
67,7208.0,10.47,10.83,49.0,0.46,0.0,0.0,579.3623999999991,2.0084563200000654
68,7208.0,10.83,10.98,49.0,-0.33,0.0,0.0,241.4010000000005,1.2118330200000635
69,7208.0,10.98,11.25,49.0,-0.2,0.0,0.0,434.5217999999993,0.3427894200000648
70,7208.0,11.25,11.43,49.0,-0.1,0.0,0.0,289.68119999999954,0.0531082200000652
71,7208.0,11.43,11.61,49.0,-0.33,0.0,0.0,289.68119999999954,-0.9028397399999332
72,7208.0,11.61,12.04,49.0,-0.67,0.0,0.0,692.0161999999995,-5.53934827999993
73,7208.0,12.04,12.12,49.0,-0.87,L,3.00416,128.7472000000001,-6.659448919999932
74,7208.0,12.12,12.29,49.0,-1.4,L,3.00416,273.58779999999985,-10.48967811999993
75,7208.0,12.29,12.38,49.0,-1.27,L,3.00416,144.8406000000026,-12.329153739999963
76,7208.0,12.38,12.44,49.0,-1.49,L,3.00416,96.56039999999794,-13.767903699999932
77,7208.0,12.44,12.443,49.0,-1.54,L,3.00416,4.828020000000183,-13.842255207999935
78,7208.0,12.443,12.72,49.0,-1.54,0.0,0.0,445.7871800000016,-20.70737777999996
79,7208.0,12.72,12.87,49.0,-1.32,0.0,0.0,241.4009999999977,-23.893870979999928
80,7208.0,12.87,12.97,49.0,-1.39,R,6.18,160.93400000000227,-26.13085357999996
81,7208.0,12.97,13.2,49.0,-1.2,R,6.18,370.1481999999978,-30.572631979999933
82,7208.0,13.2,13.25,49.0,-1.0,R,6.18,80.46700000000114,-31.377301979999945
83,7208.0,13.25,13.28,49.0,-0.6,R,6.18,48.28019999999897,-31.66698317999994
84,7208.0,13.28,13.35,49.0,0.05,R,6.18,112.65380000000046,-31.610656279999937
85,7208.0,13.35,13.38,49.0,0.95,R,6.18,48.28020000000183,-31.15199437999992
86,7208.0,13.38,13.421,49.0,0.56,R,6.18,65.98293999999773,-30.78248991599993
87,7208.0,13.421,13.44,49.0,0.56,0.0,0.0,30.577460000000205,-30.61125613999993
88,7208.0,13.44,13.54,49.0,0.95,0.0,0.0,160.93399999999943,-29.082383139999937
89,7208.0,13.54,13.73,49.0,0.1,0.0,0.0,305.77460000000207,-28.77660853999993
90,7208.0,13.73,13.8,49.0,0.47,0.0,0.0,112.65380000000046,-28.24713567999993
91,7208.0,13.8,13.9,49.0,0.87,0.0,0.0,160.93399999999943,-26.847009879999938
92,7208.0,13.9,13.93,49.0,0.0,R,4.0,48.28019999999897,-26.847009879999938
93,7208.0,13.93,14.01,49.0,0.84,R,4.0,128.7472000000001,-25.76553339999994
94,7208.0,14.01,14.057,49.0,0.79,R,4.0,75.63898000000096,-25.16798545799993
95,7208.0,14.057,14.07,49.0,0.79,0.0,0.0,20.92141999999984,-25.00270623999993
96,7208.0,14.07,14.22,49.0,0.7,0.0,0.0,241.4010000000005,-23.31289923999993
97,7208.0,14.22,14.35,49.0,-0.36,L,5.98,209.2141999999984,-24.06607035999992
98,7208.0,14.35,14.47,49.0,-0.91,L,5.98,193.1208000000016,-25.82346963999993
99,7208.0,14.47,14.6,49.0,-0.5,L,5.98,209.2141999999984,-26.86954063999993
100,7208.0,14.6,14.671,49.0,-1.13,L,5.98,114.26313999999957,-28.16071412199992
101,7208.0,14.671,14.69,49.0,-1.13,0.0,0.0,30.577460000000205,-28.50623941999992
102,7208.0,14.69,14.84,49.0,-1.35,0.0,0.0,241.4010000000005,-31.76515291999993
103,7208.0,14.84,14.9,49.0,-1.16,R,5.97721,96.5604000000008,-32.88525355999994
104,7208.0,14.9,14.952,49.0,-1.45,R,5.97721,83.68567999999935,-34.098695919999926
105,7208.0,14.952,15.2,49.0,-1.45,0.0,0.0,399.1163199999989,-39.88588255999992
106,7208.0,15.2,15.32,49.0,-1.31,0.0,0.0,193.1208000000016,-42.41576503999993
107,7208.0,15.32,15.41,49.0,-1.35,0.0,0.0,144.84059999999977,-44.37111313999993
108,7208.0,15.41,15.51,49.0,-1.53,L,5.97916,160.93399999999943,-46.83340333999992
109,7208.0,15.51,15.55,49.0,-0.59,L,5.97916,64.37360000000149,-47.21320757999992
110,7208.0,15.55,15.68,49.0,-1.32,L,5.97916,209.2141999999984,-49.9748350199999
111,7208.0,15.68,15.79,49.0,-1.32,0.0,0.0,177.02739999999906,-52.31159669999989
112,7208.0,15.79,15.85,49.0,-0.33,R,4.005,96.5604000000008,-52.630246019999895
