,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,14.0,7.13,7.45,30.0,0.0,0.0,0.0,514.9888000000004,-0.4660648640000002
1,14.0,7.45,7.66,45.0,0.02,0.0,0.0,337.9613999999999,-0.3984725840000002
2,14.0,7.66,7.73,45.0,0.07,0.0,0.0,112.65380000000046,-0.3196149239999999
3,14.0,7.73,7.77,45.0,-0.04,R,2.95,64.37359999999862,-0.3453643639999993
4,14.0,7.77,7.83,45.0,0.09,R,2.95,96.5604000000008,-0.2584600039999987
5,14.0,7.83,7.88,45.0,0.0,R,2.95,80.46699999999971,-0.2584600039999987
6,14.0,7.88,7.92,45.0,-0.15,R,2.95,64.37360000000005,-0.3550204039999988
7,14.0,7.92,7.98,45.0,-0.06,R,2.95,96.5604000000008,-0.4129566439999992
8,14.0,7.98,8.04,45.0,0.0,R,2.95,96.56039999999794,-0.4129566439999992
9,14.0,8.04,8.043,45.0,-0.04,R,2.95,4.828020000000183,-0.4148878519999993
10,14.0,8.043,8.08,45.0,-0.04,0.0,0.0,59.5455800000013,-0.4387060839999999
11,14.0,8.08,8.15,45.0,0.0,0.0,0.0,112.65380000000046,-0.4387060839999999
12,14.0,8.15,8.19,45.0,-0.04,0.0,0.0,64.37359999999862,-0.4644555239999993
13,14.0,8.19,8.32,45.0,0.0,0.0,0.0,209.21420000000128,-0.4644555239999993
14,14.0,8.32,8.36,45.0,0.05,0.0,0.0,64.37359999999862,-0.432268724
15,14.0,8.36,8.44,45.0,0.0,0.0,0.0,128.7472000000001,-0.432268724
16,14.0,8.44,8.51,45.0,0.02,0.0,0.0,112.65380000000046,-0.4097379639999999
17,14.0,8.51,8.72,45.0,0.0,0.0,0.0,337.96140000000133,-0.4097379639999999
18,14.0,8.72,8.79,45.0,-0.04,R,1.0,112.6537999999976,-0.454799483999999
19,14.0,8.79,8.888,45.0,-0.05,R,1.0,157.7153200000012,-0.5336571439999995
20,14.0,8.888,8.93,45.0,-0.05,0.0,0.0,67.5922799999997,-0.5674532839999994
21,14.0,8.93,9.02,45.0,0.14,0.0,0.0,144.84059999999977,-0.3646764439999997
