,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,46.0,84.8,84.579,60.0,-0.0,L,3.0,191.51145999999963,138.9486356699609
1,46.0,84.579,84.365,60.0,-0.0,R,3.0,344.39875999999776,138.9486356699609
2,46.0,84.365,84.145,60.0,-0.0,R,4.33333,354.0547999999981,138.9486356699609
3,46.0,84.145,83.931,60.0,-0.0,R,1.0,344.39875999999776,138.9486356699609
4,46.0,83.931,83.659,60.0,-0.0,R,2.06666,437.74047999998606,138.9486356699609
5,46.0,83.659,83.445,60.0,-0.0,L,3.75,344.3987600000207,138.9486356699609
6,46.0,84.8,83.1,60.0,-0.59,0.0,0.0,2735.878000000004,138.9486356699609
7,46.0,83.1,82.637,60.0,-0.0,0.0,0.0,745.1244199999901,122.80695546996088
8,46.0,82.637,82.41,60.0,-0.0,R,2.06666,365.3201800000062,122.80695546996088
9,46.0,82.41,81.79,60.0,0.72,0.0,0.0,997.7907999999844,122.80695546996088
10,46.0,81.79,81.53,60.0,-0.0,0.0,0.0,418.4284000000082,129.99104922996077
11,46.0,81.53,81.36,60.0,0.74,0.0,0.0,273.58780000000274,129.99104922996077
12,46.0,81.36,81.34,60.0,0.1,0.0,0.0,32.1867999999936,132.01559894996078
13,46.0,81.34,81.3,60.0,-0.0,0.0,0.0,64.37360000001006,132.04778574996078
14,46.0,81.3,81.22,60.0,-0.06,0.0,0.0,128.74719999999724,132.04778574996078
15,46.0,81.22,81.12,60.0,-0.05,0.0,0.0,160.93399999999085,131.9705374299608
16,46.0,81.12,80.7,60.0,0.51,0.0,0.0,675.9228000000027,131.8900704299608
17,46.0,80.7,80.6,60.0,0.92,0.0,0.0,160.93400000001373,135.3372767099608
18,46.0,80.6,80.37,60.0,0.43,0.0,0.0,370.1481999999835,136.81786950996093
19,46.0,80.37,80.174,60.0,0.58,0.0,0.0,315.4306399999967,138.40950676996087
20,46.0,80.174,80.14,60.0,0.58,L,4.1,54.71756000000969,140.23900448196085
21,46.0,80.14,80.04,60.0,1.37,L,4.1,160.93399999999085,140.5563663299609
22,46.0,80.04,79.88,60.0,-0.59,L,4.1,257.4944000000174,142.76116212996078
23,46.0,79.88,79.65,60.0,0.42,0.0,0.0,370.1481999999835,141.24194516996067
24,46.0,79.65,79.6,60.0,0.29,0.0,0.0,80.46700000001829,142.7965676099606
25,46.0,79.6,79.48,60.0,0.85,0.0,0.0,193.12079999998443,143.02992190996065
26,46.0,79.48,79.12,60.0,0.25,0.0,0.0,579.3623999999991,144.67144870996052
27,46.0,79.12,78.93,60.0,-0.18,0.0,0.0,305.7745999999963,146.11985470996052
28,46.0,78.93,78.69,60.0,0.54,0.0,0.0,386.2416000000146,145.56946042996051
29,46.0,78.69,78.5,60.0,1.0,0.0,0.0,305.7745999999963,147.6551650699606
30,46.0,78.5,78.27,60.0,0.7,0.0,0.0,370.1482000000064,150.71291106996054
31,46.0,78.27,78.16,60.0,0.29,0.0,0.0,177.02739999999906,153.30394846996057
32,46.0,78.16,77.82,60.0,0.32,0.0,0.0,547.1756000000055,153.81732792996058
33,46.0,77.82,77.63,60.0,0.32,0.0,0.0,305.7745999999963,155.5682898499606
34,46.0,77.63,77.527,60.0,0.73,0.0,0.0,165.76201999999105,156.5467685699606
35,46.0,77.527,77.47,60.0,0.73,R,2.05,91.73238000000347,157.75683131596054
36,46.0,77.47,77.4,60.0,0.83,R,2.05,112.65379999998902,158.42647768996056
37,46.0,77.4,77.32,60.0,0.87,R,2.05,128.74720000002011,159.36150422996047
38,46.0,77.32,77.08,60.0,0.7,0.0,0.0,386.24159999999176,160.48160486996065
39,46.0,77.08,76.87,60.0,0.49,0.0,0.0,337.9613999999899,163.1852960699606
40,46.0,76.87,76.641,60.0,0.35,0.0,0.0,368.5388599999987,164.84130692996055
41,46.0,76.7,76.287,60.0,0.69,0.0,0.0,664.6574199999947,166.13119293996056
42,46.0,76.287,76.26,60.0,0.69,R,1.0,43.45218000000165,170.71732913796052
43,46.0,76.26,76.16,60.0,0.68,R,1.0,160.93400000001373,171.01714917996054
44,46.0,76.16,76.14,60.0,-0.0,R,1.0,32.1867999999936,172.11150037996063
45,46.0,76.14,76.03,60.0,0.83,0.0,0.0,177.02739999999906,172.11150037996063
46,46.0,76.03,75.978,60.0,0.57,0.0,0.0,83.68568000001079,173.58082779996062
47,46.0,75.978,75.97,60.0,0.57,L,2.03333,12.874719999992864,174.0578361759607
48,46.0,75.97,75.8,60.0,0.63,L,2.03333,273.58780000000274,174.13122207996065
49,46.0,75.8,75.683,60.0,0.71,0.0,0.0,188.29277999998425,175.85482521996067
50,46.0,75.683,75.67,60.0,0.71,R,2.13333,20.92142000000841,177.19170395796056
51,46.0,75.67,75.59,60.0,0.56,R,2.13333,128.74719999999724,177.34024603996062
52,46.0,75.59,75.54,60.0,1.61,R,2.13333,80.46699999999542,178.0612303599606
53,46.0,75.54,75.42,60.0,-0.0,0.0,0.0,193.1208000000073,179.35674905996052
54,46.0,75.42,75.35,60.0,0.74,0.0,0.0,112.65380000001188,179.35674905996052
55,46.0,75.35,75.05,60.0,0.7,0.0,0.0,482.8019999999954,180.1903871799606
56,46.0,75.05,74.97,60.0,0.64,0.0,0.0,128.74719999999724,183.57000117996057
57,46.0,74.97,74.74,60.0,0.31,0.0,0.0,370.1482000000064,184.3939832599605
58,46.0,74.74,74.516,60.0,0.57,0.0,0.0,360.49215999998313,185.54144267996057
59,46.0,74.66,74.26,60.0,0.76,0.0,0.0,643.7359999999862,187.59624799196047
60,46.0,74.26,74.12,60.0,0.62,0.0,0.0,225.3076000000009,192.4886415919604
61,46.0,74.12,74.01,60.0,0.73,0.0,0.0,177.02739999999906,193.8855487119604
62,46.0,74.01,73.97,60.0,0.58,0.0,0.0,64.37360000001006,195.1778487319604
63,46.0,73.97,73.63,60.0,0.3,0.0,0.0,547.1756000000055,195.55121561196043
64,46.0,73.63,73.46,60.0,0.5,0.0,0.0,273.58780000000274,197.19274241196044
65,46.0,73.46,73.418,60.0,0.7,0.0,0.0,67.59227999997968,198.56068141196045
66,46.0,73.418,73.35,60.0,0.7,L,1.0,109.43512000001938,199.0338273719603
67,46.0,73.35,73.12,60.0,0.59,0.0,0.0,370.1481999999835,199.7998732119605
68,46.0,73.12,73.02,60.0,0.3,0.0,0.0,160.93400000001373,201.9837475919604
69,46.0,73.02,72.99,60.0,0.54,0.0,0.0,48.28020000000183,202.4665495919604
70,46.0,72.99,72.51,60.0,0.71,0.0,0.0,772.4831999999835,202.72726267196043
71,46.0,72.51,72.08,60.0,0.16,0.0,0.0,692.0162000000109,208.2118933919603
72,46.0,72.08,71.849,60.0,0.57,0.0,0.0,371.7575399999912,209.31911931196032
73,46.0,71.93,71.68,60.0,0.5,0.0,0.0,402.335,211.43813728996028
74,46.0,71.68,71.45,60.0,-0.0,0.0,0.0,370.1482000000064,213.44981228996028
75,46.0,71.45,71.187,60.0,0.5,0.0,0.0,423.2564200000084,213.44981228996028
