,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,28.0,136.871,136.534,49.0,-0.0,R,1.55,170.59004000003694,81.88563320999987
1,28.0,136.9,136.12,49.0,-0.41,0.0,0.0,1255.285200000002,81.88563320999987
2,28.0,136.12,135.82,49.0,-0.0,0.0,0.0,482.8020000000183,76.73896388999987
3,28.0,135.82,134.91,49.0,0.4,0.0,0.0,1464.4993999999945,76.73896388999987
4,28.0,134.91,134.46,49.0,0.06,0.0,0.0,724.2029999999817,82.59696148999984
5,28.0,134.46,133.281,49.0,0.2,0.0,0.0,1897.4118600000031,83.03148328999983
6,28.0,133.88,132.99,49.0,0.4,0.0,0.0,1432.312599999978,86.82630700999984
7,28.0,132.99,132.329,49.0,-0.0,0.0,0.0,1063.773740000002,92.55555740999976
8,28.0,132.6,131.8,49.0,-0.15,0.0,0.0,1287.4719999999725,92.55555740999976
9,28.0,131.8,131.56,49.0,-0.4,0.0,0.0,386.2416000000146,90.6243494099998
10,28.0,131.56,131.54,49.0,-0.19,0.0,0.0,32.18680000001646,89.07938300999973
11,28.0,131.54,130.72,49.0,-0.0,0.0,0.0,1319.658799999989,89.0182280899997
12,28.0,130.72,130.34,49.0,0.3,0.0,0.0,611.5491999999927,89.0182280899997
13,28.0,130.34,130.05,49.0,0.4,0.0,0.0,466.7085999999872,90.85287568999968
14,28.0,130.05,129.29,49.0,0.1,0.0,0.0,1223.098400000031,92.71971008999962
15,28.0,129.29,128.95,49.0,-0.0,0.0,0.0,547.1756000000055,93.94280848999963
16,28.0,128.95,128.35,49.0,0.18,0.0,0.0,965.6039999999908,93.94280848999963
17,28.0,128.35,127.69,49.0,-0.0,0.0,0.0,1062.1643999999944,95.68089568999964
18,28.0,127.69,127.12,49.0,-0.39,0.0,0.0,917.323799999989,95.68089568999964
19,28.0,127.12,126.74,49.0,-0.0,0.0,0.0,611.5492000000155,92.10333286999968
20,28.0,126.74,126.36,49.0,0.29,0.0,0.0,611.5491999999927,92.10333286999968
21,28.0,126.36,126.02,49.0,-0.0,0.0,0.0,547.1756000000055,93.87682554999964
22,28.0,126.02,125.626,49.0,-0.2,0.0,0.0,634.0799599999859,93.87682554999964
23,28.0,125.84,125.26,49.0,-0.0,0.0,0.0,933.4171999999973,92.60866562999968
24,28.0,125.26,124.88,49.0,-0.09,0.0,0.0,611.5492000000155,92.60866562999968
25,28.0,124.88,124.35,49.0,-0.39,0.0,0.0,852.9502000000018,92.05827134999966
26,28.0,124.35,124.075,49.0,-0.0,0.0,0.0,442.5684999999863,88.73176556999965
27,28.0,124.075,124.05,49.0,-0.0,R,1.0,40.23350000000914,88.73176556999965
28,28.0,124.05,122.178,49.0,0.39,0.0,0.0,3012.6844799999994,88.73176556999965
29,28.0,122.49,122.02,49.0,0.2,0.0,0.0,756.3897999999981,100.48123504199964
30,28.0,122.02,121.83,49.0,-0.0,0.0,0.0,305.7745999999963,101.99401464199966
31,28.0,121.83,121.64,49.0,-0.19,0.0,0.0,305.7745999999963,101.99401464199966
32,28.0,121.64,119.96,49.0,-0.0,0.0,0.0,2703.6912000000107,101.41304290199966
33,28.0,119.96,119.37,49.0,0.16,0.0,0.0,949.5105999999826,101.41304290199966
34,28.0,119.37,119.33,49.0,-0.0,0.0,0.0,64.37360000001006,102.93225986199964
35,28.0,119.33,119.14,49.0,-0.1,0.0,0.0,305.7745999999963,102.93225986199964
36,28.0,119.14,118.57,49.0,-0.0,0.0,0.0,917.3238000000118,102.62648526199963
37,28.0,118.57,118.02,49.0,0.1,0.0,0.0,885.1369999999954,102.62648526199963
38,28.0,118.02,117.85,49.0,-0.0,0.0,0.0,273.58780000000274,103.51162226199963
39,28.0,117.85,117.66,49.0,-0.19,0.0,0.0,305.7745999999963,103.51162226199963
40,28.0,117.66,117.41,49.0,-0.0,0.0,0.0,402.335,102.93065052199964
41,28.0,117.41,117.07,49.0,0.05,0.0,0.0,547.1756000000055,102.93065052199964
42,28.0,117.07,116.28,49.0,0.05,0.0,0.0,1271.378599999987,103.20423832199964
43,28.0,116.28,115.9,49.0,0.14,0.0,0.0,611.5491999999927,103.83992762199964
44,28.0,115.9,115.56,49.0,-0.0,0.0,0.0,547.1756000000055,104.69609650199962
45,28.0,115.56,115.38,49.0,-0.09,0.0,0.0,289.68120000001096,104.69609650199962
46,28.0,115.38,115.0,49.0,-0.0,0.0,0.0,611.5491999999927,104.4353834219996
47,28.0,115.0,114.81,49.0,0.09,0.0,0.0,305.7745999999963,104.4353834219996
48,28.0,114.81,114.62,49.0,-0.0,0.0,0.0,305.7745999999963,104.7105805619996
49,28.0,114.62,114.6,49.0,-0.19,0.0,0.0,32.18680000001646,104.7105805619996
50,28.0,114.6,114.34,49.0,-0.4,0.0,0.0,418.4283999999853,104.64942564199956
51,28.0,114.34,114.32,49.0,-0.19,0.0,0.0,32.18680000001646,102.97571204199964
52,28.0,114.32,114.05,49.0,-0.0,0.0,0.0,434.5217999999936,102.9145571219996
53,28.0,114.05,114.04,49.0,0.19,0.0,0.0,16.093399999985362,102.9145571219996
54,28.0,114.04,113.81,49.0,0.4,0.0,0.0,370.1482000000064,102.94513458199955
55,28.0,113.81,113.35,49.0,-0.0,0.0,0.0,740.2964000000128,104.4257273819996
56,28.0,113.35,112.09,50.0,0.1,0.0,0.0,2027.7683999999847,104.4257273819996
57,28.0,112.09,111.92,50.0,-0.0,0.0,0.0,273.58780000000274,106.45349578199958
58,28.0,111.92,111.77,50.0,-0.12,0.0,0.0,241.4010000000092,106.45349578199958
59,28.0,111.77,111.21,50.0,-0.3,0.0,0.0,901.2304000000036,106.16381458199956
60,28.0,111.21,110.96,50.0,-0.0,0.0,0.0,402.335,103.46012338199957
61,28.0,110.96,109.963,50.0,0.16,0.0,0.0,1604.5119799999998,103.46012338199957
62,28.0,110.49,109.5,50.0,0.39,0.0,0.0,1593.2465999999918,106.02734254999956
63,28.0,109.5,109.49,50.0,0.21,0.0,0.0,16.09340000000823,112.24100428999952
64,28.0,109.49,109.01,50.0,-0.0,0.0,0.0,772.4831999999835,112.27480042999954
65,28.0,109.01,108.99,50.0,0.1,0.0,0.0,32.18680000001646,112.27480042999954
66,28.0,108.99,108.75,50.0,0.3,0.0,0.0,386.24159999999176,112.30698722999956
67,28.0,108.75,108.37,50.0,-0.0,0.0,0.0,611.5491999999927,113.46571202999954
68,28.0,108.37,107.99,50.0,0.19,0.0,0.0,611.5492000000155,113.46571202999954
69,28.0,107.99,107.8,50.0,-0.0,0.0,0.0,305.7745999999963,114.62765550999956
70,28.0,107.8,107.61,50.0,-0.29,0.0,0.0,305.7745999999963,114.62765550999956
71,28.0,107.61,107.0,50.0,-0.0,0.0,0.0,981.697399999999,113.74090916999958
72,28.0,107.0,105.98,50.0,-0.4,0.0,0.0,1641.5267999999935,113.74090916999958
73,28.0,105.98,105.96,50.0,-0.2,0.0,0.0,32.18680000001646,107.1748019699996
74,28.0,105.96,105.7,50.0,-0.0,0.0,0.0,418.4283999999853,107.11042836999955
75,28.0,105.7,105.36,50.0,0.35,0.0,0.0,547.1756000000055,107.11042836999955
76,28.0,105.36,105.26,50.0,-0.0,0.0,0.0,160.93399999999085,109.0255429699996
77,28.0,105.26,104.64,50.0,-0.4,0.0,0.0,997.7908000000072,109.0255429699996
78,28.0,104.64,104.62,50.0,-0.2,0.0,0.0,32.1867999999936,105.03437976999956
79,28.0,104.62,104.21,50.0,-0.0,0.0,0.0,659.8294000000174,104.97000616999958
80,28.0,104.21,103.57,50.0,0.39,0.0,0.0,1029.9776000000008,104.97000616999958
81,28.0,103.57,103.04,50.0,-0.4,0.0,0.0,852.950199999979,108.98691880999958
82,28.0,103.04,102.62,50.0,-0.0,0.0,0.0,675.9228000000027,105.57511800999968
83,28.0,102.62,102.08,50.0,-0.24,0.0,0.0,869.04360000001,105.57511800999968
84,28.0,102.08,101.86,50.0,-0.0,0.0,0.0,354.0547999999981,103.48941336999964
85,28.0,101.86,101.701,50.0,0.2,0.0,0.0,255.88506000000967,103.48941336999964
86,28.0,101.84,101.16,50.0,0.39,0.0,0.0,1094.351200000011,104.00118348999968
87,28.0,101.16,100.9,50.0,-0.4,0.0,0.0,418.4283999999853,108.26915316999973
88,28.0,100.9,100.7,50.0,-0.0,0.0,0.0,321.86800000000454,106.59543956999978
89,28.0,100.7,100.36,50.0,0.29,0.0,0.0,547.1756000000055,106.59543956999978
90,28.0,100.36,99.39,50.0,0.08,0.0,0.0,1561.0597999999982,108.1822488099998
91,28.0,99.39,98.62,50.0,0.4,0.0,0.0,1239.1917999999937,109.4310966499998
92,28.0,98.62,98.6,50.0,-0.0,0.0,0.0,32.18680000001646,114.38786384999976
93,28.0,98.6,98.03,50.0,-0.0,0.0,0.0,917.323799999989,114.38786384999976
94,28.0,98.03,97.865,50.0,-0.2,0.0,0.0,265.54110000001003,114.38786384999976
95,28.0,98.01,97.59,50.0,-0.39,0.0,0.0,675.9228000000027,113.85678164999976
96,28.0,97.59,97.2,50.0,-0.0,0.0,0.0,627.6426000000009,111.22068272999977
97,28.0,97.2,96.72,50.0,-0.0,0.0,0.0,772.4832000000064,111.22068272999977
98,28.0,96.72,96.53,50.0,0.29,0.0,0.0,305.7745999999963,111.22068272999977
99,28.0,96.53,96.43,50.0,-0.0,0.0,0.0,160.93399999999085,112.10742906999974
100,28.0,96.43,96.24,50.0,-0.1,0.0,0.0,305.7746000000192,112.10742906999974
101,28.0,96.24,95.9,50.0,-0.0,0.0,0.0,547.1755999999826,111.80165446999972
102,28.0,95.9,95.54,50.0,0.1,0.0,0.0,579.3623999999991,111.80165446999972
