,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7508.0,218.1,218.35,55.0,0.0,0.0,0.0,402.335,0.0
1,7508.0,218.35,218.46,55.0,0.64,0.0,0.0,177.02740000002194,1.1329753600001404
2,7508.0,218.46,218.59,55.0,0.0,L,7.68,209.21419999999267,1.1329753600001404
3,7508.0,218.59,218.656,55.0,0.2,L,7.68,106.216440000004,1.3454082400001486
4,7508.0,218.656,218.88,55.0,0.2,0.0,0.0,360.49215999998313,2.066392560000115
5,7508.0,218.88,219.04,55.0,-0.54,R,3.53,257.49439999999447,0.6759228000001449
6,7508.0,219.04,219.25,55.0,-0.83,R,3.53,337.9614000000128,-2.1291568199999613
7,7508.0,219.25,219.353,55.0,-0.89,R,3.53,165.7620200000139,-3.604438798000085
8,7508.0,219.353,219.45,55.0,-0.89,0.0,0.0,156.1059799999678,-4.993782019999799
9,7508.0,219.45,219.6,55.0,-1.14,0.0,0.0,241.4010000000092,-7.745753419999902
10,7508.0,219.6,220.19,55.0,-1.24,0.0,0.0,949.5106000000054,-19.51968485999997
11,7508.0,220.19,220.355,55.0,0.0,L,2.13333,265.5410999999872,-19.51968485999997
12,7508.0,220.355,220.91,55.0,0.0,0.0,0.0,893.183700000011,-19.51968485999997
13,7508.0,220.851,221.51,55.0,-1.25,0.0,0.0,1060.5550599999867,-32.776623109999804
14,7508.0,221.51,221.87,55.0,-1.12,0.0,0.0,579.3624000000219,-39.26548199000005
15,7508.0,221.87,222.038,55.0,-1.24,R,2.93333,270.36912000001024,-42.61805907800017
16,7508.0,222.038,222.37,55.0,-1.24,0.0,0.0,534.3008799999898,-49.24338999000005
17,7508.0,222.314,223.24,55.0,0.0,0.0,0.0,1490.248840000026,-49.24338999000005
18,7508.0,223.24,223.6,55.0,-1.32,0.0,0.0,579.3623999999762,-56.89097366999973
19,7508.0,223.6,223.79,55.0,-1.18,L,2.06666,305.7745999999963,-60.49911394999969
20,7508.0,223.79,223.93,55.0,-1.18,0.0,0.0,225.30760000002377,-63.15774362999997
21,7508.0,223.93,224.87,55.0,0.0,0.0,0.0,1512.7795999999962,-63.15774362999997
22,7508.0,224.87,224.974,55.0,0.9,R,2.03333,167.37135999997585,-61.65140139000019
23,7508.0,224.974,225.34,55.0,0.9,0.0,0.0,589.0184400000223,-56.350235429999984
24,7508.0,225.34,225.49,55.0,1.34,R,0.95,241.4010000000092,-53.11546202999986
25,7508.0,225.49,226.006,55.0,1.33,R,0.95,830.4194399999857,-42.070883478000056
26,7508.0,226.006,226.07,55.0,1.33,0.0,0.0,102.99775999998865,-40.7010132700002
27,7508.0,226.07,226.31,55.0,1.19,0.0,0.0,386.2416000000146,-36.10473823000003
28,7508.0,226.31,226.48,55.0,0.09,R,1.98333,273.58779999997984,-35.85850921000005
29,7508.0,226.48,226.82,55.0,0.09,0.0,0.0,547.1756000000055,-35.36605117000005
30,7508.0,226.82,227.27,55.0,0.6,0.0,0.0,724.2030000000274,-31.02083316999988
31,7508.0,226.997,227.73,55.0,0.49,0.0,0.0,1179.6462199999607,-25.24056669200008
32,7508.0,227.73,228.08,55.0,-0.29,L,3.03333,563.2690000000366,-26.87404679200018
33,7508.0,228.08,228.082,55.0,-1.38,L,3.03333,3.2186799999696283,-26.91846457599976
34,7508.0,228.082,228.64,55.0,-1.38,0.0,0.0,898.0117199999883,-39.3110263119996
35,7508.0,228.391,229.43,55.0,0.7,0.0,0.0,1672.104260000025,-27.606296491999423
36,7508.0,229.43,229.85,55.0,0.09,0.0,0.0,675.9227999999798,-26.99796597199944
37,7508.0,229.85,230.7,55.0,0.0,0.0,0.0,1367.9389999999908,-26.99796597199944
38,7508.0,230.179,230.98,55.0,0.5,0.0,0.0,1289.0813399999802,-20.55255927199954
39,7508.0,230.98,231.36,55.0,0.23,0.0,0.0,611.5492000000384,-19.14599611199945
40,7508.0,231.36,232.57,55.0,0.05,0.0,0.0,1947.3013999999669,-18.17234541199947
41,7508.0,232.361,233.32,55.0,1.16,0.0,0.0,1543.357060000005,-0.2694035159994108
42,7508.0,233.32,234.09,55.0,0.0,0.0,0.0,1239.1918000000164,-0.2694035159994108
43,7508.0,234.09,234.34,55.0,1.34,0.0,0.0,402.335,5.12188548400059
44,7508.0,234.34,234.583,55.0,0.24,R,2.00444,391.0696199999919,6.06045257200057
45,7508.0,234.583,235.07,55.0,0.24,0.0,0.0,783.7485799999915,7.9414491640005505
46,7508.0,235.07,236.12,55.0,0.0,0.0,0.0,1689.8070000000182,7.9414491640005505
47,7508.0,236.12,236.55,55.0,0.65,0.0,0.0,692.0162000000109,12.439554464000622
48,7508.0,236.55,237.38,55.0,0.0,0.0,0.0,1335.7521999999742,12.439554464000622
49,7508.0,237.38,238.27,55.0,0.37,0.0,0.0,1432.3126000000236,17.739111084000708
50,7508.0,238.27,238.82,55.0,0.0,0.0,0.0,885.1369999999725,17.739111084000708
51,7508.0,238.82,239.46,55.0,0.3,0.0,0.0,1029.9776000000238,20.82904388400078
52,7508.0,239.46,239.76,55.0,1.08,0.0,0.0,482.8019999999725,26.04330548400048
53,7508.0,239.742,240.26,55.0,0.0,0.0,0.0,833.6381200000011,26.04330548400048
54,7508.0,240.09,240.65,55.0,1.0,0.0,0.0,901.2304000000036,35.05560948400051
55,7508.0,240.65,241.15,55.0,0.0,0.0,0.0,804.67,35.05560948400051
