,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7500.0,2.26,3.08,20.0,0.4,0.0,0.0,1319.6588000000004,5.282175748000002
1,7500.0,3.08,3.61,20.0,0.0,0.0,0.0,852.9501999999997,5.282175748000002
2,7500.0,3.61,4.05,20.0,0.29,0.0,0.0,708.1095999999999,7.335693588000002
3,7500.0,4.026,4.05,20.0,0.0,L,3.0,38.62416000000003,7.335693588000002
4,7500.0,4.05,4.249,20.0,0.0,L,3.0,320.25865999999974,7.335693588000002
5,7500.0,4.249,6.29,20.0,0.0,0.0,0.0,3284.6629400000006,7.335693588000002
6,7500.0,6.29,6.501,20.0,-0.25,R,0.16666,339.57074000000046,6.486766738
7,7500.0,6.501,6.91,20.0,-0.25,0.0,0.0,658.2200599999996,4.841216588000001
8,7500.0,6.91,7.32,30.0,0.03,0.0,0.0,659.8294000000002,5.039165408000001
9,7500.0,7.212,7.65,30.0,-0.11,0.0,0.0,704.890920000001,4.263785395999999
10,7500.0,7.65,8.9,30.0,-0.0045,0.0,0.0,2011.675,4.173260020999999
11,7500.0,8.9,9.47,30.0,0.06,0.0,0.0,917.3238000000003,4.723654300999999
12,7500.0,9.47,10.28,30.0,-0.03,0.0,0.0,1303.565399999998,4.332584680999999
13,7500.0,10.28,10.79,30.0,0.23,0.0,0.0,820.7633999999996,6.220340500999998
14,7500.0,10.79,11.36,30.0,-0.05,0.0,0.0,917.3238000000003,5.761678600999998
15,7500.0,11.36,11.74,30.0,0.0,0.0,0.0,611.5492000000012,5.761678600999998
16,7500.0,11.74,12.12,30.0,0.14,0.0,0.0,611.5491999999983,6.617847480999996
17,7500.0,12.12,12.59,30.0,-0.0079,0.0,0.0,756.389800000001,6.558092686799996
18,7500.0,12.59,13.06,30.0,0.09,0.0,0.0,756.389800000001,7.238843506799997
19,7500.0,13.06,13.59,30.0,0.0,0.0,0.0,852.950199999999,7.238843506799997
20,7500.0,13.59,14.11,30.0,0.12,0.0,0.0,836.8567999999992,8.243071666799995
21,7500.0,14.11,14.54,30.0,-0.13,0.0,0.0,692.0161999999995,7.343450606799996
22,7500.0,14.54,15.43,30.0,0.05,0.0,0.0,1432.3126000000009,8.059606906799996
23,7500.0,15.43,15.87,30.0,0.0,0.0,0.0,708.1095999999992,8.059606906799996
24,7500.0,15.87,16.32,30.0,0.22,0.0,0.0,724.2030000000017,9.6528535068
25,7500.0,16.32,17.32,30.0,0.0,0.0,0.0,1609.34,9.6528535068
26,7500.0,17.32,17.76,30.0,-0.03,0.0,0.0,708.109600000002,9.440420626799998
27,7500.0,17.76,18.14,30.0,0.16,0.0,0.0,611.5491999999983,10.418899346799996
28,7500.0,18.14,19.12,55.0,0.07,0.0,0.0,1577.1532000000009,11.522906586799998
29,7500.0,19.12,19.86,55.0,0.1,0.0,0.0,1190.9115999999974,12.713818186799996
30,7500.0,19.86,20.45,55.0,-0.01,0.0,0.0,949.5105999999996,12.618867126799996
31,7500.0,20.45,21.93,55.0,0.03,0.0,0.0,2381.8232000000007,13.333414086799996
32,7500.0,21.93,23.48,55.0,0.01,0.0,0.0,2494.477000000001,13.582861786799995
33,7500.0,23.48,24.24,55.0,0.01,0.0,0.0,1223.098399999997,13.705171626799997
34,7500.0,24.24,24.88,55.0,0.02,0.0,0.0,1029.9776000000008,13.911167146799997
35,7500.0,24.88,25.13,55.0,-0.09,0.0,0.0,402.335,13.549065646799995
36,7500.0,25.13,25.45,55.0,0.12,0.0,0.0,514.9888000000004,14.167052206799996
37,7500.0,25.45,26.13,55.0,0.03,0.0,0.0,1094.3511999999994,14.495357566799996
38,7500.0,26.13,26.83,55.0,0.05,0.0,0.0,1126.5379999999989,15.058626566799996
39,7500.0,26.83,27.12,55.0,-0.0066,0.0,0.0,466.7086000000043,15.027823799199997
40,7500.0,27.12,27.55,55.0,0.13,0.0,0.0,692.0161999999995,15.927444859199994
41,7500.0,27.55,27.84,55.0,0.02,0.0,0.0,466.7085999999986,16.020786579199992
42,7500.0,27.84,28.27,55.0,-0.04,0.0,0.0,692.0161999999995,15.743980099199993
43,7500.0,28.27,28.93,55.0,0.08,0.0,0.0,1062.1644,16.593711619199993
44,7500.0,28.93,29.18,55.0,-0.32,0.0,0.0,402.335,15.306239619199994
45,7500.0,29.18,29.54,55.0,0.16,0.0,0.0,579.3623999999991,16.233219459199994
46,7500.0,29.54,30.62,55.0,-0.02,0.0,0.0,1738.087200000003,15.885602019199991
47,7500.0,30.62,30.87,55.0,0.29,0.0,0.0,402.335,17.052373519199993
48,7500.0,30.87,31.11,55.0,-0.15,0.0,0.0,386.2415999999975,16.473011119199995
49,7500.0,31.11,31.36,55.0,0.19,0.0,0.0,402.335,17.237447619199994
50,7500.0,31.36,31.62,55.0,-0.12,0.0,0.0,418.4284000000025,16.735333539199992
51,7500.0,31.62,31.95,55.0,0.08,0.0,0.0,531.0821999999972,17.16019929919999
52,7500.0,31.95,32.23,55.0,0.16,0.0,0.0,450.6151999999961,17.881183619199984
53,7500.0,32.23,32.95,55.0,0.0,0.0,0.0,1158.7248000000095,17.881183619199984
54,7500.0,32.95,33.38,55.0,0.06,0.0,0.0,692.0161999999995,18.296393339199984
55,7500.0,33.38,34.01,55.0,0.0,0.0,0.0,1013.8841999999926,18.296393339199984
56,7500.0,34.01,34.45,55.0,-0.06,0.0,0.0,708.1096000000077,17.87152757919998
57,7500.0,34.45,34.84,55.0,0.05,0.0,0.0,627.6426000000009,18.18534887919998
58,7500.0,34.84,35.98,55.0,0.02,0.0,0.0,1834.647599999989,18.55227839919998
59,7500.0,35.98,36.55,55.0,0.0,0.0,0.0,917.3238000000003,18.55227839919998
60,7500.0,36.55,37.12,55.0,0.07,0.0,0.0,917.3238000000003,19.19440505919998
61,7500.0,37.12,37.68,55.0,-0.04,0.0,0.0,901.2304000000036,18.83391289919998
62,7500.0,37.68,37.95,55.0,0.11,0.0,0.0,434.521800000005,19.311886879199985
63,7500.0,37.95,38.23,55.0,0.0,0.0,0.0,450.6151999999904,19.311886879199985
64,7500.0,38.23,38.48,55.0,0.07,0.0,0.0,402.335,19.593521379199984
65,7500.0,38.48,39.2,55.0,0.0,0.0,0.0,1158.7248000000095,19.593521379199984
66,7500.0,39.2,39.52,55.0,0.09,0.0,0.0,514.9888000000004,20.057011299199985
67,7500.0,39.52,39.98,55.0,0.0,0.0,0.0,740.29639999999,20.057011299199985
68,7500.0,39.98,40.72,55.0,0.04,0.0,0.0,1190.911600000003,20.533375939199985
69,7500.0,40.72,41.28,55.0,0.04,0.0,0.0,901.2304000000036,20.893868099199985
70,7500.0,41.28,41.85,55.0,0.07,0.0,0.0,917.3238000000003,21.535994759199983
71,7500.0,41.85,42.23,55.0,-0.0099,0.0,0.0,611.5491999999927,21.475451388399986
72,7500.0,42.23,42.61,55.0,0.05,0.0,0.0,611.5492000000041,21.78122598839999
73,7500.0,42.61,43.02,55.0,-0.02,0.0,0.0,659.8294000000059,21.649260108399982
74,7500.0,43.02,43.37,55.0,0.04,0.0,0.0,563.2689999999908,21.874567708399983
75,7500.0,43.37,43.99,55.0,0.12,0.0,0.0,997.7908000000072,23.0719166684
76,7500.0,43.99,44.048,55.0,0.01,L,3.1,93.34171999999973,23.081250840399992
77,7500.0,44.048,44.39,55.0,0.01,0.0,0.0,550.3942799999979,23.1362902684
78,7500.0,44.39,44.88,55.0,-0.35,0.0,0.0,788.5766000000032,20.376272168399986
79,7500.0,44.88,45.011,55.0,0.31,L,2.86666,210.82354000000035,21.029825142399982
80,7500.0,45.011,45.05,55.0,0.31,0.0,0.0,62.76425999999094,21.224394348399954
81,7500.0,45.05,45.34,55.0,0.09,0.0,0.0,466.7086000000101,21.644432088399963
82,7500.0,45.319,45.64,55.0,-0.06,0.0,0.0,516.5981399999966,21.334473204399966
83,7500.0,45.64,45.87,55.0,-0.15,0.0,0.0,370.148199999995,20.779250904399973
84,7500.0,45.87,46.15,55.0,0.02,0.0,0.0,450.6152000000018,20.86937394439997
85,7500.0,46.15,46.55,55.0,-0.03,0.0,0.0,643.7359999999977,20.676253144399976
86,7500.0,46.55,46.89,55.0,0.0,0.0,0.0,547.1756000000055,20.676253144399976
87,7500.0,46.89,47.21,55.0,-0.05,0.0,0.0,514.9888000000004,20.418758744399977
88,7500.0,47.21,48.22,55.0,0.0094,0.0,0.0,1625.4333999999967,20.571549483999977
89,7500.0,48.22,48.48,55.0,0.6,0.0,0.0,418.4283999999968,23.08211988399996
90,7500.0,48.48,48.61,55.0,0.0,0.0,0.0,209.2142000000041,23.08211988399996
91,7500.0,48.61,48.8,55.0,-0.71,0.0,0.0,305.7745999999963,20.911120223999983
92,7500.0,48.8,49.27,55.0,0.0,0.0,0.0,756.3898000000096,20.911120223999983
93,7500.0,49.27,49.62,55.0,-0.02,0.0,0.0,563.2689999999908,20.798466423999987
94,7500.0,49.62,50.24,55.0,0.06,0.0,0.0,997.7908000000072,21.39714090399999
95,7500.0,50.24,50.6,55.0,0.19,0.0,0.0,579.3623999999991,22.497929463999988
96,7500.0,50.6,50.81,55.0,-0.15,R,2.0,337.96140000000133,21.990987363999984
97,7500.0,50.81,50.991,55.0,-0.01,R,2.0,291.29053999999576,21.961858309999982
98,7500.0,50.991,51.91,55.0,-0.01,0.0,0.0,1478.983459999995,21.813959963999988
99,7500.0,51.91,52.29,55.0,0.06,0.0,0.0,611.5492000000041,22.18088948399999
100,7500.0,52.29,52.394,55.0,0.01,R,1.0,167.3713599999987,22.19762661999999
101,7500.0,52.394,53.08,55.0,0.01,0.0,0.0,1104.00724,22.308027343999992
102,7500.0,53.08,54.01,55.0,0.0,0.0,0.0,1496.6861999999994,22.308027343999992
103,7500.0,54.01,54.71,55.0,0.12,0.0,0.0,1126.5380000000046,23.659872944
104,7500.0,54.71,54.9,55.0,0.65,0.0,0.0,305.7745999999963,25.64740784399997
105,7500.0,54.9,55.11,55.0,0.06,L,1.0,337.96140000000133,25.850184683999974
106,7500.0,55.11,55.27,55.0,-0.06,L,1.0,257.49440000000595,25.69568804399997
107,7500.0,55.27,55.45,55.0,-0.06,0.0,0.0,289.68119999999954,25.52187932399997
108,7500.0,55.45,56.06,55.0,0.04,0.0,0.0,981.697399999999,25.91455828399997
109,7500.0,56.06,56.74,55.0,0.01,0.0,0.0,1094.3511999999994,26.023993403999967
110,7500.0,56.74,57.27,55.0,0.03,0.0,0.0,852.9502000000018,26.279878463999967
111,7500.0,57.27,57.95,55.0,0.0,0.0,0.0,1094.3511999999994,26.279878463999967
112,7500.0,57.95,58.33,55.0,0.08,0.0,0.0,611.5491999999927,26.769117823999963
113,7500.0,58.33,58.61,55.0,0.18,0.0,0.0,450.6152000000018,27.580225183999968
114,7500.0,58.61,58.9,55.0,0.12,0.0,0.0,466.7085999999986,28.14027550399997
115,7500.0,58.9,59.27,55.0,0.24,0.0,0.0,595.4558000000073,29.569369423999984
116,7500.0,59.27,59.58,55.0,-0.03,0.0,0.0,498.8953999999922,29.419700803999987
117,7500.0,59.58,59.92,55.0,0.08,0.0,0.0,547.1756000000055,29.857441284
118,7500.0,59.92,60.6,55.0,-0.03,0.0,0.0,1094.3511999999994,29.529135923999995
119,7500.0,60.6,60.87,55.0,0.1,R,1.0,434.5217999999936,29.96365772399999
120,7500.0,60.87,61.064,55.0,0.17,R,1.0,312.2119600000042,30.494418056
121,7500.0,61.064,61.09,55.0,0.17,0.0,0.0,41.8428400000054,30.565550884000007
122,7500.0,61.09,61.36,55.0,-0.55,0.0,0.0,434.5217999999936,28.17568098400004
123,7500.0,61.36,61.64,55.0,0.5,0.0,0.0,450.6152000000018,30.428756984000053
124,7500.0,61.64,61.85,55.0,0.0,0.0,0.0,337.96140000000133,30.428756984000053
125,7500.0,61.85,62.04,55.0,0.26,0.0,0.0,305.7745999999963,31.223770944000044
126,7500.0,62.04,62.44,55.0,0.01,0.0,0.0,643.7359999999977,31.288144544000044
127,7500.0,62.44,62.68,55.0,-0.17,0.0,0.0,386.2416000000032,30.63153382400004
128,7500.0,62.68,62.99,55.0,0.1,0.0,0.0,498.8954000000036,31.13042922400004
129,7500.0,62.99,63.25,55.0,-0.04,0.0,0.0,418.4283999999968,30.96305786400004
130,7500.0,63.25,63.44,55.0,0.32,L,4.18333,305.7745999999963,31.94153658400003
131,7500.0,63.44,63.679,55.0,0.04,L,4.18333,384.6322600000069,32.09538948800003
132,7500.0,63.679,63.92,55.0,0.04,0.0,0.0,387.8509399999994,32.25052986400003
133,7500.0,63.92,64.77,55.0,-0.0088,0.0,0.0,1367.9389999999908,32.13015123200003
134,7500.0,64.77,65.086,55.0,0.01,R,1.0,508.551440000004,32.181006376000035
135,7500.0,65.086,65.52,55.0,0.01,0.0,0.0,698.453559999996,32.25085173200004
136,7500.0,65.52,65.72,30.0,0.04,0.0,0.0,321.86800000000454,32.37959893200004
137,7500.0,65.72,65.94,30.0,0.14,0.0,0.0,354.0547999999981,32.875275652000035
138,7500.0,65.94,66.47,30.0,0.02,0.0,0.0,852.9502000000018,33.045865692000035
139,7500.0,66.267,67.04,55.0,0.02,0.0,0.0,1244.0198200000166,33.29466965600004
140,7500.0,67.04,67.23,55.0,-0.0099,0.0,0.0,305.7745999999963,33.26439797060004
