,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7502.0,152.008,151.993,49.0,-0.0,L,6.08333,24.140100000023786,-40.9734262517998
1,7502.0,151.993,151.757,49.0,-0.0,R,6.08333,379.8042399999839,-40.9734262517998
2,7502.0,151.757,151.74,49.0,-0.0,L,6.08333,27.358779999993413,-40.9734262517998
3,7502.0,151.74,151.701,49.0,-0.0,R,6.08333,62.764260000025246,-40.9734262517998
4,7502.0,152.2,151.17,49.0,-0.14,0.0,0.0,1657.6202000000017,-40.9734262517998
5,7502.0,151.17,150.7,49.0,-0.4,0.0,0.0,756.3897999999981,-43.2940945317998
6,7502.0,150.7,150.32,49.0,-0.53,0.0,0.0,611.5491999999927,-46.3196537317998
7,7502.0,150.32,149.84,49.0,-0.0,0.0,0.0,772.4831999999835,-49.56086449179976
8,7502.0,149.84,149.43,49.0,-0.6,0.0,0.0,659.8293999999945,-49.56086449179976
9,7502.0,149.43,148.67,49.0,-0.0,0.0,0.0,1223.098400000031,-53.51984089179973
10,7502.0,148.67,148.01,49.0,0.35,0.0,0.0,1062.1643999999944,-53.51984089179973
11,7502.0,148.01,147.86,49.0,-0.27,0.0,0.0,241.4009999999634,-49.802265491799744
12,7502.0,147.86,147.62,49.0,-0.58,0.0,0.0,386.2416000000146,-50.45404819179964
13,7502.0,147.62,147.51,49.0,-0.58,L,1.0,177.02740000002194,-52.69424947179973
14,7502.0,147.51,146.89,49.0,-0.0,0.0,0.0,997.7908000000072,-53.721008391799856
15,7502.0,146.89,146.61,49.0,0.05,0.0,0.0,450.6151999999561,-53.721008391799856
16,7502.0,146.61,146.569,49.0,0.48,0.0,0.0,65.98294000004061,-53.49570079179988
17,7502.0,146.569,146.42,49.0,0.48,L,1.98333,239.79166000000143,-53.17898267979968
18,7502.0,146.42,146.3,49.0,-0.0,0.0,0.0,193.1207999999616,-52.02798271179967
19,7502.0,146.3,146.19,49.0,-0.49,0.0,0.0,177.02740000002194,-52.02798271179967
20,7502.0,146.19,145.87,49.0,-0.11,0.0,0.0,514.9887999999889,-52.89541697179978
21,7502.0,145.87,145.784,49.0,0.31,0.0,0.0,138.40324000002047,-53.46190465179977
22,7502.0,145.784,145.7,49.0,0.31,L,2.18333,135.18456000000512,-53.032854607799706
