,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,477.0,120.07,120.1,20.0,0.47,0.0,0.0,48.28020000000183,-106.91875597599967
1,477.0,120.1,120.12,20.0,0.49,0.0,0.0,32.18680000001646,-106.7610406559996
2,477.0,120.12,120.15,20.0,1.14,0.0,0.0,48.28020000000183,-106.21064637599956
3,477.0,120.901,123.663,49.0,0.0,R,1.0,4444.99708,2377.4194020240006
4,477.0,123.663,124.664,49.0,0.0,L,3.0,1610.9493400000076,2377.4194020240006
5,477.0,124.664,128.127,49.0,0.0,R,1.55,5573.144420000012,2377.4194020240006
6,477.0,128.127,129.116,49.0,0.0,R,1.01,1591.6372600000068,2377.4194020240006
7,477.0,129.116,129.822,49.0,0.0,L,1.06,1136.194039999982,2377.4194020240006
8,477.0,129.822,131.841,49.0,0.0,L,0.83,3249.2574600000085,2377.4194020240006
9,477.0,131.841,133.416,49.0,0.0,R,1.03,2534.710499999981,2377.4194020240006
10,477.0,133.416,136.125,49.0,0.0,L,1.0,4359.702060000005,2377.4194020240006
11,477.0,136.125,137.646,49.0,0.0,L,2.08,2447.8061399999783,2377.4194020240006
12,477.0,137.646,138.21,49.0,0.0,R,2.01416,907.6677600000344,2377.4194020240006
13,477.0,138.21,139.909,49.0,0.0,R,1.6,2734.268659999974,2377.4194020240006
14,477.0,139.909,141.679,49.0,0.0,L,1.5,2848.531800000016,2377.4194020240006
15,477.0,141.679,143.103,49.0,0.0,R,0.71,2291.7001600000103,2377.4194020240006
16,477.0,143.103,145.515,49.0,0.0,L,1.49388,3881.728079999964,2377.4194020240006
17,477.0,145.515,146.554,49.0,0.0,L,2.03833,1672.104260000025,2377.4194020240006
18,477.0,146.554,147.771,49.0,0.0,L,2.01555,1958.566779999975,2377.4194020240006
19,477.0,147.771,148.76,49.0,0.0,R,2.005,1591.6372600000068,2377.4194020240006
20,477.0,148.76,152.089,49.0,0.0,L,0.5,5357.492860000012,2377.4194020240006
21,477.0,152.089,152.944,49.0,0.0,R,2.0,1375.9856999999834,2377.4194020240006
22,477.0,152.944,153.716,49.0,0.0,L,2.06,1242.4104800000318,2377.4194020240006
23,477.0,153.716,157.844,49.0,0.0,L,2.11666,6643.355519999977,2377.4194020240006
24,477.0,157.844,159.214,49.0,0.0,R,2.01833,2204.795800000007,2377.4194020240006
25,477.0,159.214,163.331,49.0,0.0,R,1.0,6625.652779999984,2377.4194020240006
26,477.0,163.331,166.916,49.0,0.0,L,2.00833,5769.483900000013,2377.4194020240006
27,477.0,166.916,169.601,49.0,0.0,R,2.00166,4321.077900000004,2377.4194020240006
28,477.0,169.601,170.89,49.0,0.0,R,1.0,2074.439259999979,2377.4194020240006
29,477.0,170.89,171.56,49.0,0.0,R,2.46,1078.2578000000256,2377.4194020240006
30,477.0,171.56,171.67,45.0,0.0,L,6.0,177.0273999999762,2377.4194020240006
31,477.0,171.67,171.76,45.0,0.0,L,6.0,144.84060000000548,2377.4194020240006
32,477.0,171.76,172.465,45.0,0.0,L,8.46166,1134.58470000002,2377.4194020240006
33,477.0,172.465,173.214,45.0,0.0,R,8.0,1205.3956599999922,2377.4194020240006
34,477.0,173.214,173.541,45.0,0.0,L,3.23,526.2541799999971,2377.4194020240006
35,477.0,173.541,173.836,45.0,0.0,R,2.08,474.7553000000256,2377.4194020240006
36,477.0,173.836,174.612,45.0,0.0,L,4.98333,1248.847839999971,2377.4194020240006
37,477.0,174.612,175.514,45.0,0.0,R,1.66666,1451.6246800000245,2377.4194020240006
38,477.0,175.514,175.747,45.0,0.0,L,5.68833,374.97622000000655,2377.4194020240006
39,477.0,175.747,176.011,45.0,0.0,R,3.3,424.8657599999704,2377.4194020240006
40,477.0,176.011,176.579,45.0,0.0,L,3.13,914.1051200000194,2377.4194020240006
41,477.0,176.579,177.7,45.0,0.0,L,1.51166,1804.070139999969,2377.4194020240006
