,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,477.0,346.928,340.56,50.0,-0.0,L,1.05833,880.308980000041,2377.4194020240006
1,477.0,340.56,339.192,50.0,-0.0,L,1.01,2201.577119999992,2377.4194020240006
2,477.0,339.192,336.813,50.0,-0.0,L,2.11,3828.619860000031,2377.4194020240006
3,477.0,336.813,329.416,50.0,-0.0,L,2.03,11904.287979999985,2377.4194020240006
4,477.0,329.416,328.313,50.0,-0.0,L,0.53,1775.102020000014,2377.4194020240006
5,477.0,328.313,324.94,50.0,-0.0,R,0.5,5428.303819999985,2377.4194020240006
6,477.0,324.94,321.314,50.0,-0.0,L,0.5,5835.466839999962,2377.4194020240006
7,477.0,321.314,318.498,50.0,-0.0,L,1.01666,4531.90144000005,2377.4194020240006
8,477.0,318.498,315.569,50.0,-0.0,R,0.5,4713.756859999958,2377.4194020240006
9,477.0,315.569,314.054,50.0,-0.0,L,1.06,2438.1501000000694,2377.4194020240006
10,477.0,314.054,313.022,50.0,-0.0,L,1.01,1660.8388799999714,2377.4194020240006
11,477.0,313.022,311.413,50.0,-0.0,R,2.0,2589.4280599999684,2377.4194020240006
12,477.0,311.413,310.19,50.0,-0.0,R,2.4,1968.222820000021,2377.4194020240006
13,477.0,310.19,308.7,50.0,-0.0,L,2.2,2397.9166000000146,2377.4194020240006
14,477.0,308.7,306.967,50.0,-0.0,L,2.16,2788.9862200000066,2377.4194020240006
15,477.0,306.967,304.821,50.0,-0.0,R,2.0,3453.6436399999325,2377.4194020240006
16,477.0,304.821,303.275,50.0,-0.0,R,2.0,2488.039640000079,2377.4194020240006
17,477.0,303.275,301.345,50.0,-0.0,L,2.0,3106.02619999992,2377.4194020240006
18,477.0,301.345,300.612,50.0,-0.0,L,1.5,1179.6462200000065,2377.4194020240006
19,477.0,300.612,300.099,50.0,-0.0,L,2.0,825.5914200000541,2377.4194020240006
20,477.0,300.099,297.174,50.0,-0.0,R,1.83,4707.319500000018,2377.4194020240006
21,477.0,297.174,296.658,50.0,-0.0,L,3.36,830.41943999994,2377.4194020240006
22,477.0,296.658,296.052,50.0,-0.0,R,5.06,975.2600399999912,2377.4194020240006
23,477.0,296.052,295.408,50.0,-0.0,L,4.1,1036.4149600000087,2377.4194020240006
24,477.0,295.408,293.443,50.0,-0.0,R,2.0,3162.353100000051,2377.4194020240006
25,477.0,293.443,292.323,50.0,-0.0,L,2.5,1802.460800000008,2377.4194020240006
26,477.0,292.323,292.024,40.0,-0.0,R,6.33,481.19265999996486,2377.4194020240006
27,477.0,292.024,291.672,40.0,-0.0,R,5.1,566.4876799999605,2377.4194020240006
28,477.0,291.672,290.48,40.0,-0.0,L,5.86,1918.333280000012,2377.4194020240006
29,477.0,290.48,289.889,40.0,-0.0,R,2.0,951.1199400000132,2377.4194020240006
30,477.0,289.889,289.608,40.0,-0.0,L,3.5,452.2245400000095,2377.4194020240006
31,477.0,289.608,289.054,40.0,-0.0,R,3.2,891.574360000049,2377.4194020240006
32,477.0,289.054,288.17,40.0,-0.0,L,2.0,1422.656559999932,2377.4194020240006
