,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,485.0,0.0,0.15,20.0,-0.09,0.0,0.0,241.401,-0.2172608999999999
1,485.0,0.15,0.3,20.0,-0.32,0.0,0.0,241.401,-0.9897441
2,485.0,0.3,0.49,20.0,-0.56,0.0,0.0,305.7746,-2.70208186
3,485.0,0.49,0.83,20.0,-0.88,0.0,0.0,547.1755999999999,-7.517227139999999
4,485.0,0.541,0.605,20.0,0.0,L,6.0,102.99775999999991,-7.517227139999999
5,485.0,0.605,0.94,20.0,-0.66,0.0,0.0,539.1288999999999,-11.07547788
6,485.0,0.94,1.079,20.0,-0.99,L,2.06,223.69826,-13.290090654
7,485.0,1.079,1.36,20.0,-0.99,0.0,0.0,452.2245400000002,-17.767113600000002
8,485.0,1.297,1.55,20.0,-0.5,0.0,0.0,407.1630200000002,-19.8029287
9,485.0,1.55,1.62,20.0,0.0,R,2.08,112.65380000000007,-19.8029287
10,485.0,1.62,1.691,20.0,-0.38,R,2.08,114.26313999999992,-20.237128632
11,485.0,1.691,1.77,20.0,-0.38,0.0,0.0,127.13785999999992,-20.7202525
12,485.0,1.77,2.0,20.0,-0.78,0.0,0.0,370.1482,-23.60740846
13,485.0,2.0,2.08,20.0,-0.37,L,1.0,128.7472000000001,-24.0837731
14,485.0,2.08,2.149,20.0,0.0,L,1.0,111.04445999999992,-24.0837731
15,485.0,2.149,2.36,20.0,0.0,0.0,0.0,339.5707399999998,-24.0837731
16,485.0,2.36,2.48,20.0,0.3,0.0,0.0,193.12080000000017,-23.5044107
17,485.0,2.48,2.52,20.0,0.6,0.0,0.0,64.37360000000005,-23.1181691
18,485.0,2.52,2.78,20.0,0.12,0.0,0.0,418.4283999999996,-22.61605502
19,485.0,2.78,2.89,20.0,0.55,0.0,0.0,177.0274000000005,-21.64240432
20,485.0,2.89,3.05,20.0,0.99,0.0,0.0,257.4943999999995,-19.09320976
21,485.0,3.05,3.16,20.0,0.81,R,4.0,177.0274000000005,-17.659287819999996
22,485.0,3.16,3.179,20.0,0.62,R,4.0,30.57745999999949,-17.469707568
23,485.0,3.179,3.41,20.0,0.62,0.0,0.0,371.7575400000005,-15.164810819999998
24,485.0,3.41,3.59,20.0,0.99,0.0,0.0,289.68119999999954,-12.296966940000004
25,485.0,3.59,3.99,20.0,0.85,0.0,0.0,643.7360000000006,-6.825210939999998
26,485.0,3.99,4.184,20.0,0.82,R,4.01416,312.2119599999999,-4.265072867999999
27,485.0,4.184,4.24,20.0,0.82,0.0,0.0,90.12304000000007,-3.5260639399999985
28,485.0,4.24,4.31,20.0,0.37,0.0,0.0,112.65379999999902,-3.109244880000002
29,485.0,4.31,4.45,20.0,0.27,0.0,0.0,225.3076000000009,-2.5009143599999994
30,485.0,4.45,4.52,20.0,0.49,0.0,0.0,112.65379999999902,-1.948910740000004
31,485.0,4.52,4.58,20.0,1.18,0.0,0.0,96.5604000000008,-0.8094980199999948
32,485.0,4.58,4.81,20.0,1.04,0.0,0.0,370.1481999999992,3.0400432599999974
33,485.0,4.81,4.911,20.0,0.68,L,1.03,162.54333999999994,4.145337971999997
34,485.0,4.911,4.92,20.0,0.68,0.0,0.0,14.484060000000548,4.243829580000001
35,485.0,4.92,5.15,20.0,0.14,0.0,0.0,370.1482000000007,4.762037060000002
36,485.0,5.15,5.26,20.0,0.0,L,6.0,177.02739999999906,4.762037060000002
37,485.0,5.26,5.356,20.0,0.19,L,6.0,154.49664000000013,5.055580676000002
38,485.0,5.356,5.37,20.0,0.19,0.0,0.0,22.530760000000377,5.098389120000002
39,485.0,5.37,5.56,20.0,0.1,0.0,0.0,305.7745999999992,5.4041637200000014
40,485.0,5.56,5.6,20.0,0.09,0.0,0.0,64.37360000000005,5.4620999600000015
41,485.0,5.6,5.64,20.0,0.79,0.0,0.0,64.37360000000005,5.970651400000002
42,485.0,5.64,5.73,20.0,0.79,R,1.0,144.8406000000012,7.114892140000012
43,485.0,5.73,5.785,20.0,0.5,R,1.0,88.51369999999953,7.557460640000009
44,485.0,5.785,5.81,20.0,0.5,0.0,0.0,40.23349999999914,7.758628140000005
45,485.0,5.81,5.96,20.0,0.27,0.0,0.0,241.4010000000005,8.410410840000006
46,485.0,5.96,6.001,20.0,0.0,R,1.0,65.9829400000006,8.410410840000006
47,485.0,6.001,6.02,20.0,0.0,0.0,0.0,30.577459999998776,8.410410840000006
48,485.0,6.02,6.07,20.0,0.9,0.0,0.0,80.46700000000114,9.134613840000016
49,485.0,6.07,6.21,20.0,0.89,0.0,0.0,225.30759999999947,11.139851480000011
