,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,22.0,9.55,9.64,30.0,0.02,0.0,0.0,144.84059999999977,34.13490606999999
1,22.0,9.64,9.71,30.0,0.25,0.0,0.0,112.65380000000046,34.416540569999995
2,22.0,9.71,9.91,30.0,0.0,0.0,0.0,321.86799999999886,34.416540569999995
3,22.0,9.91,10.11,30.0,0.12,0.0,0.0,321.86799999999886,34.80278216999999
4,22.0,10.11,10.25,30.0,0.0,0.0,0.0,225.3076000000009,34.80278216999999
5,22.0,10.25,10.32,30.0,0.2,0.0,0.0,112.65380000000046,35.028089769999994
6,22.0,10.32,10.53,30.0,0.57,0.0,0.0,337.9613999999985,36.95446974999999
7,22.0,10.53,10.68,30.0,0.29,0.0,0.0,241.4010000000005,37.65453264999999
8,22.0,10.68,10.75,30.0,0.66,0.0,0.0,112.65380000000046,38.39804772999999
9,22.0,10.75,10.89,30.0,0.73,0.0,0.0,225.3076000000009,40.04279320999999
10,22.0,10.89,11.0,30.0,-0.27,0.0,0.0,177.02739999999906,39.56481923
11,22.0,11.0,11.04,30.0,0.0,0.0,0.0,64.37359999999862,39.56481923
12,22.0,11.04,11.076,30.0,-0.25,L,0.75,57.93624000000219,39.41997863
13,22.0,11.076,11.17,25.0,-0.25,0.0,0.0,151.27795999999904,39.04178373
14,22.0,11.17,11.21,25.0,0.0,0.0,0.0,64.37360000000149,39.04178373
15,22.0,11.21,11.296,25.0,0.18,L,4.0,138.40323999999762,39.290909562
16,22.0,11.296,11.59,25.0,0.18,0.0,0.0,473.1459600000008,40.14257229
17,22.0,11.59,11.62,25.0,0.0,0.0,0.0,48.28019999999897,40.14257229
18,22.0,11.62,12.21,25.0,-0.03,0.0,0.0,949.5106000000026,39.85771911
19,22.0,11.929,12.195,25.0,0.0,L,0.5,428.08444,39.85771911
20,22.0,12.195,12.27,25.0,-0.03,0.0,0.0,120.70049999999884,39.82150896
21,22.0,12.27,12.43,25.0,-0.29,0.0,0.0,257.4944000000002,39.0747752
22,22.0,12.43,12.49,25.0,0.0,L,4.38333,96.5604000000008,39.0747752
23,22.0,12.49,12.58,40.0,0.0,0.0,0.0,144.84059999999977,39.0747752
24,22.0,12.58,12.96,40.0,0.87,0.0,0.0,611.5492000000012,44.39525324000001
25,22.0,12.96,13.069,40.0,0.77,R,3.0,175.41805999999997,45.74597230200001
26,22.0,13.069,13.37,40.0,0.77,0.0,0.0,484.4113399999974,49.47593961999999
27,22.0,13.203,13.67,40.0,0.55,0.0,0.0,751.5617800000008,53.60952940999999
28,22.0,13.467,13.67,40.0,0.0,R,1.56666,326.696019999999,53.60952940999999
29,22.0,13.67,13.795,40.0,0.0,R,1.56666,201.1675,53.60952940999999
30,22.0,13.795,14.07,40.0,0.0,0.0,0.0,442.5685000000005,53.60952940999999
31,22.0,14.07,14.096,40.0,0.51,L,2.25,41.84283999999968,53.82292789399999
32,22.0,14.096,15.32,40.0,0.51,0.0,0.0,1969.83216,63.86907190999999
33,22.0,15.32,15.46,40.0,0.0,0.0,0.0,225.3076000000009,63.86907190999999
34,22.0,15.46,15.69,40.0,-0.5,0.0,0.0,370.1481999999978,62.01833091
35,22.0,15.69,15.91,40.0,0.0,0.0,0.0,354.054800000001,62.01833091
36,22.0,15.91,16.19,40.0,0.26,0.0,0.0,450.6152000000018,63.18993043
37,22.0,16.19,16.46,40.0,0.6,0.0,0.0,434.5217999999993,65.79706123
38,22.0,16.46,17.42,40.0,0.49,0.0,0.0,1544.9664000000014,73.36739659
39,22.0,17.275,17.53,40.0,0.0,0.0,0.0,410.3817000000041,73.36739659
40,22.0,17.53,18.23,40.0,-0.39,0.0,0.0,1126.5379999999989,68.97389839
41,22.0,18.159,18.6,40.0,0.0,0.0,0.0,709.718940000004,68.97389839
42,22.0,18.6,18.96,40.0,0.33,0.0,0.0,579.3623999999991,70.88579431
43,22.0,18.96,19.13,40.0,0.0,L,2.18333,273.587799999997,70.88579431
44,22.0,19.13,19.142,40.0,0.53,L,2.18333,19.31208000000073,70.988148334
45,22.0,19.142,19.43,40.0,0.53,0.0,0.0,463.4899200000004,73.44464491000001
46,22.0,19.43,19.771,40.0,-0.11,R,1.56666,548.7849400000017,72.84098147600001
47,22.0,19.771,19.78,40.0,-0.11,0.0,0.0,14.484060000000548,72.82504901000001
48,22.0,19.78,19.98,40.0,0.2,0.0,0.0,321.86799999999886,73.46878501000002
49,22.0,19.98,20.262,40.0,0.29,R,2.13333,453.83388,74.78490326200001
50,22.0,20.262,20.31,40.0,0.29,0.0,0.0,77.24831999999721,75.00892339
51,22.0,20.31,20.5,40.0,0.39,0.0,0.0,305.77460000000207,76.20144433000002
52,22.0,20.5,20.91,40.0,0.37,0.0,0.0,659.8294000000002,78.64281311000002
53,22.0,20.91,21.04,40.0,0.12,L,2.25,209.2141999999984,78.89387015000001
54,22.0,21.04,21.146,40.0,0.22,L,2.25,170.59004000000263,79.26916823800002
55,22.0,21.146,21.23,40.0,0.22,0.0,0.0,135.1845599999994,79.56657427000002
56,22.0,21.23,21.27,40.0,0.0,0.0,0.0,64.37359999999862,79.56657427000002
