Cumulative Distance (feet),BEG MP,END MP,Curvature (degrees),LENGTH (FT),Change in Bearing (deg),Beg Heading (deg),End Heading (deg),BEG HEADING (Rad),END HEADING (Rad)
0,0,1.029147727,0,5433.9,0,238,238,4.153883549,4.153883549
5433.9,1.029147727,1.10742803,-5,413.32,-20.67,238,217.3,4.153883549,3.7926004
5847.22,1.10742803,1.30430303,0,1039.5,0,217.3,217.3,3.7926004,3.7926004
6886.72,1.30430303,1.467854167,-3,863.55,-25.91,217.3,191.4,3.7926004,3.340560131
7750.27,1.467854167,1.767189394,0,1580.49,0,191.4,191.4,3.340560131,3.340560131
9330.76,1.767189394,2.017221591,-2,1320.17,-26.4,191.4,165,3.340560131,2.879793217
10650.93,2.017221591,2.460789773,0,2342.04,0,165,165,2.879793217,2.879793217
12992.97,2.460789773,2.671793561,-2.5,1114.1,-27.85,165,137.2,2.879793217,2.394591693
14107.07,2.671793561,2.950698864,0,1472.62,0,137.2,137.2,2.394591693,2.394591693
15579.69,2.950698864,3.5578125,3,3205.56,96.17,137.2,233.3,2.394591693,4.071853075
18785.25,3.5578125,4.116689394,0,2950.87,0,233.3,233.3,4.071853075,4.071853075
21736.12,4.116689394,4.149537879,-1,173.44,-1.73,233.3,231.6,4.071853075,4.042182479
21909.56,4.149537879,6.052583333,0,10048.08,0,231.6,231.6,4.042182479,4.042182479
31957.64,6.052583333,6.922181818,-1.25,4591.48,-57.39,231.6,174.2,4.042182479,3.040363505
36549.12,6.922181818,7.394842803,0,2495.65,0,174.2,174.2,3.040363505,3.040363505
39044.77,7.394842803,7.854299242,-1,2425.93,-24.26,174.2,150,3.040363505,2.617993833
41470.7,7.854299242,8.230962121,0,1988.78,0,150,150,2.617993833,2.617993833
43459.48,8.230962121,8.328429924,-1,514.63,-5.15,150,144.8,2.617993833,2.527236714
43974.11,8.328429924,9.009498106,0,3596.04,0,144.8,144.8,2.527236714,2.527236714
47570.15,9.009498106,9.056278409,-2,247,-4.94,144.8,139.9,2.527236714,2.441715582
47817.15,9.056278409,9.725028409,0,3531,0,139.9,139.9,2.441715582,2.441715582
51348.15,9.725028409,10.63374053,-1,4798,-47.98,139.9,91.9,2.441715582,1.603957555
56146.15,10.63374053,11.76374053,0,5966.4,0,91.9,91.9,1.603957555,1.603957555
62112.55,11.76374053,12.03722538,-3,1444,-43.32,91.9,48.6,1.603957555,0.848230002
63556.55,12.03722538,13.25655303,0,6438.05,0,48.6,48.6,0.848230002,0.848230002
