Cumulative Distance (feet),BEG MP,END MP,Elevation (feet),LENGTH (FT),LENGTH (M),ELEV (M),Elevation Change (feet),GRADE_TO_NEXT
0,0,0.6,424.75,3164.2,964.44816,129.4638,0,0
3164.2,0.6,1.03,424.75,2250,685.8,129.4638,11.25,0.5
5414.2,1.03,1.89,436,4550,1386.84,132.8928,0,0
9964.2,1.89,2.91,436,5390.67,1643.076216,132.8928,48.52,0.9
15354.87,2.91,4.07,484.52,6131.75,1868.9574,147.681696,-24.53,-0.4
21486.62,4.07,4.52,459.99,2377.58,724.686384,140.204952,11.89,0.5
23864.2,4.52,5.46,471.88,4953.8,1509.91824,143.829024,-49.54,-1
28818,5.46,6.41,422.34,5014.08,1528.291584,128.729232,50.14,1
33832.08,6.41,7.35,472.48,4986.76,1519.964448,144.011904,19.95,0.4
38818.84,7.35,8.04,492.43,3645.36,1111.105728,150.092664,-14.58,-0.4
42464.2,8.04,8.34,477.85,1592.89,485.512872,145.64868,11.15,0.7
44057.09,8.34,9.16,489,4307.11,1312.807128,149.0472,0,0
48364.2,9.16,9.43,489,1450,441.96,149.0472,8.7,0.6
49814.2,9.43,9.58,497.7,750,228.6,151.69896,0,0
50564.2,9.58,13.09,497.7,18530.4,5648.06592,151.69896,-72.7,-0.39
69094.6,13.09,13.26,425,900,274.32,129.54,0,0
