LINE_SEGMENT,TRACK_NUMBER,BEG MP,GRADE_TO_NEXT
1,1,38.65,0
1,1,38.77,-0.3
1,1,39.93,-0.13
1,1,39.99,0.4
1,1,40.09,0
1,1,40.28,-0.03
1,1,40.54,0.25
1,1,40.66,-0.34
1,1,40.81,0
1,1,40.87,0.14
1,1,40.98,0.57
1,1,41.07,0.38
1,1,41.32,0.31
1,1,41.55,0.2
1,1,41.74,0.21
1,1,41.91,0.12
1,1,42.15,0.14
1,1,42.23,-0.15
1,1,42.34,-0.13
1,1,42.4,-0.22
1,1,42.59,-0.3
1,1,42.63,-0.15
1,1,42.74,-0.19
1,1,42.86,-0.4
1,1,42.87,-0.03
1,1,42.93,0.1
1,1,43.03,-0.03
1,1,43.21,0.24
1,1,43.42,0.08
1,1,43.57,-0.2
1,1,43.82,-0.08
1,1,43.97,-0.01
1,1,44.18,-0.03
1,1,44.39,-0.29
1,1,44.43,0.1
1,1,44.48,-0.06
1,1,44.6,-0.13
1,1,44.71,-0.24
1,1,44.9,-0.14
1,1,45.13,-0.12
1,1,45.2,-0.19
1,1,45.24,-0.19
1,1,45.3,-0.08
1,1,45.45,-0.06
1,1,45.7,-0.36
1,1,45.75,-0.3
1,1,45.83,-0.17
1,1,46.02,0.04
1,1,46.21,0.18
1,1,46.36,0.25
1,1,46.4,0.01
1,1,46.7,-0.1
1,1,46.76,0.05
1,1,46.95,-0.02
1,1,47.02,-0.02
1,1,47.19,-0.02
1,1,47.27,0.05
1,1,47.34,9.90E-03
1,1,47.53,0.08
1,1,47.72,0.25
1,1,47.76,0.09
1,1,47.8,0.29
1,1,47.86,0.2
1,1,47.88,0.19
1,1,47.91,0.15
1,1,47.99,-0.15
1,1,48.02,0.1
1,1,48.29,0.16
1,1,48.4,0.17
1,1,48.48,0.12
1,1,48.67,0.01
1,1,49.05,-0.25
1,1,49.11,-0.27
1,1,49.16,-0.3
1,1,49.2,-0.07
1,1,49.56,-0.14
1,1,49.6,0
1,1,49.62,0.02
1,1,49.77,0
1,1,50,0.01
1,1,50.09,-0.22
1,1,50.18,-0.19
1,1,50.26,-0.39
1,1,50.32,-0.5
1,1,50.34,-0.26
1,1,50.39,-0.26
1,1,50.45,-0.21
1,1,50.64,-0.19
1,1,50.68,-0.1
1,1,50.7,-0.19
1,1,50.73,-0.09
1,1,50.77,-0.15
1,1,50.81,0
1,1,50.85,0.1
1,1,50.87,0
1,1,50.88,0.09
1,1,50.9,0.05
1,1,50.94,0.09
1,1,51.07,0.21
1,1,51.09,0.24
1,1,51.17,0.37
1,1,51.43,0.09
1,1,51.83,0.27
1,1,51.93,0.23
1,1,52.08,0.21
1,1,52.59,0.27
1,1,52.67,0.24
1,1,52.8,-0.05
1,1,52.93,-0.1
1,1,53.02,-0.16
1,1,53.22,-0.4
1,1,53.4,-0.36
1,1,53.59,-0.33
1,1,53.75,-0.44
1,1,53.78,-0.24
1,1,53.86,-0.1
1,1,53.97,0.02
1,1,54.05,0.06
1,1,54.24,0.36
1,1,54.35,0.29
1,1,54.37,0.39
1,1,54.46,0.31
1,1,54.65,0.37
1,1,54.82,0.12
1,1,54.92,-9.80E-03
1,1,55.11,-0.05
1,1,55.24,-0.03
1,1,55.3,0.01
1,1,55.39,0.13
1,1,55.45,0.3
1,1,55.52,0.39
1,1,55.64,0.64
1,1,55.68,0.06
1,1,55.73,0.3
1,1,55.81,0.23
1,1,55.87,0.15
1,1,55.96,0.09
1,1,56.06,0.13
1,1,56.11,0.14
1,1,56.23,0.13
1,1,56.28,0.17
1,1,56.38,0
1,1,56.43,0.49
1,1,56.49,0.19
1,1,56.53,0.23
1,1,56.59,0.24
1,1,56.62,0.2
1,1,56.64,0.29
1,1,56.66,0.25
1,1,56.7,0.31
1,1,56.72,0.19
1,1,56.81,0.19
1,1,56.93,0.17
1,1,57,0.1
1,1,57.13,-0.03
1,1,57.23,-0.3
1,1,57.63,-0.16
1,1,57.74,0.09
1,1,57.84,0.38
1,1,57.95,-0.05
1,1,58.02,0.46
1,1,58.33,0.19
