LS,BMP,EMP,BegState,EndState,PASS SPEED,FREIGHT SPEED,TRACKS
1,38.11,40.18,"AURORA PASSEN, IL","MONTGOMERY, IL",75,50,2
1,38.11,40.18,"AURORA PASSEN, IL","MONTGOMERY, IL",75,50,2
1,40.18,45.67,"MONTGOMERY, IL","BRISTOL, IL",79,60,2
1,40.18,45.67,"MONTGOMERY, IL","BRISTOL, IL",79,60,2
1,40.18,45.67,"MONTGOMERY, IL","BRISTOL, IL",79,60,2
1,40.18,45.67,"MONTGOMERY, IL","BRISTOL, IL",79,60,2
1,40.18,45.67,"MONTGOMERY, IL","BRISTOL, IL",79,60,2
1,45.67,51.66,"BRISTOL, IL","PLANO, IL",79,60,2
1,45.67,51.66,"BRISTOL, IL","PLANO, IL",79,60,2
1,45.67,51.66,"BRISTOL, IL","PLANO, IL",79,60,2
1,45.67,51.66,"BRISTOL, IL","PLANO, IL",79,60,2
1,45.67,51.66,"BRISTOL, IL","PLANO, IL",79,60,2
1,45.67,51.66,"BRISTOL, IL","PLANO, IL",79,60,2
1,51.66,56.03,"PLANO, IL","SANDWICH, IL",79,60,2
1,51.66,56.03,"PLANO, IL","SANDWICH, IL",79,60,2
1,51.66,56.03,"PLANO, IL","SANDWICH, IL",79,60,2
1,51.66,56.03,"PLANO, IL","SANDWICH, IL",79,60,2
1,51.66,56.03,"PLANO, IL","SANDWICH, IL",79,60,2
1,56.03,59.39,"SANDWICH, IL","SOMONAUK, IL",79,60,2
1,56.03,59.39,"SANDWICH, IL","SOMONAUK, IL",79,60,2
1,56.03,59.39,"SANDWICH, IL","SOMONAUK, IL",79,60,2
1,59.39,65.48,"SOMONAUK, IL","LELAND, IL",79,60,2
1,59.39,65.48,"SOMONAUK, IL","LELAND, IL",79,60,2
1,59.39,65.48,"SOMONAUK, IL","LELAND, IL",79,60,2
1,59.39,65.48,"SOMONAUK, IL","LELAND, IL",79,60,2
1,59.39,65.48,"SOMONAUK, IL","LELAND, IL",79,60,2
1,59.39,65.48,"SOMONAUK, IL","LELAND, IL",79,60,2
