,index,BEG MP,END MP,LENGTH (FT),GRADE_TO_NEXT,Curvature (degrees),SPEED
0,33,6.75,61.87,291033.6,0.0,0.0,0.0
1,0,55.17,56.95,9398.4,0.52,0.0,
2,0,55.26,55.33,369.6,0.0,10.0,0.0
3,1,55.33,55.34,52.8,0.0,0.0,0.0
4,2,55.34,55.4,316.8,0.0,6.0,0.0
5,3,55.4,55.42,105.6,0.0,0.0,0.0
6,4,55.42,55.48,316.8,0.0,7.083333333,0.0
7,5,55.48,55.5,105.6,0.0,0.0,0.0
8,6,55.5,55.58,422.4,0.0,6.0,0.0
9,7,55.58,55.74,844.8,0.0,0.0,0.0
10,8,55.74,55.82,422.4,0.0,2.0,0.0
11,9,55.82,55.94,633.6,0.0,0.0,0.0
12,10,55.94,55.96,105.6,0.0,6.0,0.0
13,11,55.96,56.5,2851.2,0.0,0.0,0.0
14,12,56.5,56.69,1003.2,0.0,12.5,0.0
15,13,56.69,56.73,211.2,0.0,11.5,0.0
16,14,56.73,57.2,2481.6,0.0,4.25,0.0
17,1,56.95,57.5,2904.0,0.82,0.0,
18,15,57.2,57.24,211.2,0.0,0.0,0.0
19,16,57.24,57.52,1478.4,0.0,6.25,0.0
20,2,57.5,57.65,792.0,1.61,0.0,
21,17,57.52,57.58,316.8,0.0,0.0,0.0
22,18,57.58,57.7,633.6,0.0,5.33,0.0
23,3,57.65,58.0,1848.0,0.75,0.0,
24,19,57.7,58.28,3062.4,0.0,0.0,0.0
25,4,58.0,59.0,5280.0,0.95,0.0,
26,20,58.28,58.41,686.4,0.0,3.0,0.0
27,21,58.41,58.58,897.6,0.0,0.0,0.0
28,22,58.58,58.78,1056.0,0.0,5.25,0.0
29,23,58.78,58.89,580.8,0.0,0.0,0.0
30,24,58.89,58.92,158.4,0.0,2.0,0.0
31,25,58.92,59.08,844.8,0.0,0.0,0.0
32,5,59.0,60.0,5280.0,1.2,0.0,
33,26,59.08,59.17,475.2,0.0,6.33,0.0
34,27,59.17,59.48,1636.8,0.0,0.0,0.0
35,28,59.48,59.7,1161.6,0.0,2.0,0.0
36,29,59.7,60.8,5808.0,0.0,0.0,0.0
37,6,60.0,60.84,4435.2,1.25,0.0,
38,30,60.8,60.85,264.0,0.0,2.133333333,0.0
39,7,60.84,61.0,844.8,-0.3,0.0,
40,31,60.85,61.63,4118.4,0.0,0.0,0.0
41,8,61.0,61.35,1848.0,1.01,0.0,
42,9,61.35,61.7,1848.0,0.87,0.0,
43,32,61.63,61.75,633.6,0.0,2.0,0.0
44,10,61.7,62.0,1584.0,0.02,0.0,
45,34,61.87,62.08,1108.8,0.0,3.0,0.0
46,11,62.0,62.83,4382.4,1.2,0.0,
47,35,62.08,62.59,2692.8,0.0,0.0,0.0
48,36,62.59,62.71,633.6,0.0,2.0,0.0
49,37,62.71,63.38,3537.6,0.0,0.0,0.0
50,12,62.83,63.0,897.6,0.66,0.0,
51,13,63.0,63.41,2164.8,1.1,0.0,
52,38,63.38,63.5,633.6,0.0,3.0,0.0
53,14,63.41,63.54,686.4,0.49,0.0,
54,39,63.5,63.86,1900.8,0.0,0.0,0.0
55,15,63.54,64.0,2428.8,0.75,0.0,
56,40,63.86,64.0,739.2,0.0,4.0,0.0
57,41,64.0,64.2,1056.0,0.0,0.0,0.0
58,16,64.0,64.4,2112.0,-1.0,0.0,
59,42,64.2,64.32,633.6,0.0,2.95,0.0
60,43,64.32,64.8,2534.4,0.0,0.0,0.0
61,17,64.4,64.53,686.4,0.0,0.0,
62,18,64.53,64.83,1584.0,-0.43,0.0,
63,44,64.8,64.97,897.6,0.0,3.0,0.0
64,19,64.83,65.0,897.6,-0.65,0.0,
65,45,64.97,65.45,2534.4,0.0,0.0,0.0
66,20,65.0,65.21,1108.8,0.6,0.0,
