,LINE_SEGMENT,BEG MP,END MP,SPEED,LENGTH (FT),CURVE NUMBER,DIRECTION,DEG OF CURVE,GRADE_TO_NEXT,index,SPEED_INDI,LENGTH (M),ELEV (M)
0,1.0,38.11,38.564,50.0,0.0,0.0,0.0,0.0,0.0,0.0,non_speed,730.640360000001,0.0
1,1.0,38.564,38.65,50.0,1412.0,38,L,2.0,0.0,0.0,non_speed,138.40323999999762,0.0
2,1.0,38.65,38.77,50.0,1412.0,38,L,2.0,0.0,0.0,non_speed,193.1208000000073,0.0
3,1.0,38.77,38.832,50.0,1412.0,38,L,2.0,-0.3,0.0,non_speed,99.77907999999616,-0.29933723999998846
4,1.0,38.832,39.93,50.0,0.0,0.0,0.0,0.0,-0.3,1.0,non_speed,1767.0553199999983,-5.6005031999999835
5,1.0,39.93,39.99,50.0,0.0,0.0,0.0,0.0,-0.13,2.0,non_speed,96.56040000000365,-5.726031719999988
6,1.0,39.99,40.09,50.0,0.0,0.0,0.0,0.0,0.4,3.0,non_speed,160.93400000000227,-5.082295719999979
7,1.0,40.09,40.28,50.0,0.0,0.0,0.0,0.0,0.0,4.0,non_speed,305.7745999999963,-5.082295719999979
8,1.0,40.28,40.54,60.0,0.0,0.0,0.0,0.0,-0.03,5.0,non_speed,418.42839999999677,-5.207824239999978
9,1.0,40.54,40.66,60.0,0.0,0.0,0.0,0.0,0.25,6.0,non_speed,193.12079999999588,-4.725022239999988
10,1.0,40.66,40.81,60.0,0.0,0.0,0.0,0.0,-0.34,7.0,non_speed,241.40100000000913,-5.545785640000019
11,1.0,40.81,40.87,60.0,0.0,0.0,0.0,0.0,0.0,8.0,non_speed,96.56039999999221,-5.545785640000019
12,1.0,40.87,40.98,60.0,0.0,0.0,0.0,0.0,0.14,9.0,non_speed,177.02739999999906,-5.29794728000002
13,1.0,40.98,41.07,60.0,0.0,0.0,0.0,0.0,0.57,10.0,non_speed,144.84060000000548,-4.472355859999989
14,1.0,41.07,41.32,60.0,0.0,0.0,0.0,0.0,0.38,11.0,non_speed,402.335,-2.943482859999989
15,1.0,41.32,41.55,60.0,0.0,0.0,0.0,0.0,0.31,12.0,non_speed,370.148199999995,-1.7960234400000046
16,1.0,41.55,41.74,60.0,0.0,0.0,0.0,0.0,0.2,13.0,non_speed,305.77460000000775,-1.184474239999989
17,1.0,41.74,41.91,60.0,8612.0,43,R,0.5,0.21,1.0,non_speed,273.5877999999913,-0.6099398600000073
18,1.0,41.91,42.15,60.0,8612.0,43,R,0.5,0.12,1.0,non_speed,386.2416000000032,-0.14644994000000355
19,1.0,42.15,42.23,60.0,8612.0,43,R,0.5,0.14,1.0,non_speed,128.74719999999724,0.03379613999999259
20,1.0,42.23,42.34,60.0,8612.0,43,R,0.5,-0.15,1.0,non_speed,177.02740000001052,-0.23174496000002315
21,1.0,42.34,42.4,60.0,8612.0,43,R,0.5,-0.13,1.0,non_speed,96.56039999999221,-0.357273480000013
22,1.0,42.4,42.59,60.0,8612.0,43,R,0.5,-0.22,1.0,non_speed,305.77460000000775,-1.0299776000000302
23,1.0,42.59,42.63,60.0,8612.0,43,R,0.5,-0.3,1.0,non_speed,64.37359999999862,-1.2230984000000262
24,1.0,42.63,42.74,60.0,8612.0,43,R,0.5,-0.15,1.0,non_speed,177.02739999999906,-1.4886395000000248
25,1.0,42.74,42.86,60.0,8612.0,43,R,0.5,-0.19,1.0,non_speed,193.12079999999588,-1.855569020000017
26,1.0,42.86,42.87,60.0,8612.0,43,R,0.5,-0.4,1.0,non_speed,16.093399999996798,-1.9199426200000043
27,1.0,42.87,42.93,60.0,8612.0,43,R,0.5,-0.03,1.0,non_speed,96.56040000000365,-1.9489107400000054
28,1.0,42.93,43.03,60.0,8612.0,43,R,0.5,0.1,1.0,non_speed,160.93400000000227,-1.787976740000003
29,1.0,43.03,43.21,60.0,8612.0,43,R,0.5,-0.03,1.0,non_speed,289.68119999999954,-1.874881100000003
30,1.0,43.21,43.288,60.0,8612.0,43,R,0.5,0.24,1.0,non_speed,125.52851999999332,-1.573612652000019
31,1.0,43.288,43.42,60.0,0.0,0.0,0.0,0.0,0.24,27.0,non_speed,212.43288000000803,-1.0637737399999998
32,1.0,43.42,43.57,60.0,0.0,0.0,0.0,0.0,0.08,28.0,non_speed,241.4009999999977,-0.8706529400000016
