,LINE_SEGMENT,BEG MP,END MP,SPEED,LENGTH (FT),CURVE NUMBER,DIRECTION,DEG OF CURVE,GRADE_TO_NEXT,index,SPEED_INDI,LENGTH (M),ELEV (M)
0,13.0,0.0,0.14,49.0,0.0,0.0,0.0,0.0,0.0,0.0,non_speed,225.3076,0.0
1,13.0,0.14,0.18,49.0,0.0,0.0,0.0,0.0,-0.13,0.0,non_speed,64.37359999999997,-0.08368567999999996
2,13.0,0.18,0.25,49.0,0.0,0.0,0.0,0.0,-0.09,1.0,non_speed,112.6538,-0.18507409999999996
3,13.0,0.25,0.33,49.0,3640.0,0,L,1.5,0.0,0.0,non_speed,128.74720000000002,-0.18507409999999996
4,13.0,0.33,0.4,49.0,3640.0,0,L,1.5,0.18,0.0,non_speed,112.6538,0.01770274000000005
5,13.0,0.4,0.59,49.0,3640.0,0,L,1.5,0.27,0.0,non_speed,305.7745999999999,0.8432941599999999
6,13.0,0.59,0.862,49.0,3640.0,0,L,1.5,0.0,0.0,non_speed,437.74048,0.8432941599999999
7,13.0,0.862,1.49,49.0,0.0,0.0,0.0,0.0,0.0,5.0,non_speed,1010.6655199999999,0.8432941599999999
8,13.0,1.49,2.04,49.0,0.0,0.0,0.0,0.0,-0.41,6.0,non_speed,885.1370000000001,-2.78576754
9,13.0,2.04,2.21,49.0,0.0,0.0,0.0,0.0,-0.05,7.0,non_speed,273.58779999999985,-2.92256144
10,13.0,2.21,2.5,49.0,1958.0,2,R,2.0,0.36,1.0,non_speed,466.70860000000005,-1.24241048
11,13.0,2.5,2.517,49.0,1958.0,2,R,2.0,0.1,1.0,non_speed,27.358779999999843,-1.2150517
12,13.0,2.517,3.36,49.0,0.0,0.0,0.0,0.0,0.1,9.0,non_speed,1356.6736199999998,0.14162191999999996
13,13.0,3.36,4.01,49.0,0.0,0.0,0.0,0.0,0.38,10.0,non_speed,1046.071,4.11669172
14,13.0,4.01,4.46,49.0,0.0,0.0,0.0,0.0,0.09,11.0,non_speed,724.2030000000002,4.76847442
